| Season    | Winner                                       | Team                  | Position | Age |
| 1932–33   | Carl Voss                                    | Detroit Red Wings     | C        | 25  |
| 1933–34   | Russ Blinco                                  | Montreal Maroons      | C        | 25  |
| 1934–35   | Sweeney Schriner                             | New York Americans    | LW       | 22  |
| 1935–36   | Mike Karakas                                 | Chicago Black Hawks   | G        | 23  |
| 1936–37   | Syl Apps                                     | Toronto Maple Leafs   | C        | 21  |
| 1937–38   | Cully Dahlstrom                              | Chicago Black Hawks   | C        | 24  |
| 1938–39   | Frank Brimsek                                | Boston Bruins         | G        | 24  |
| 1939–40   | Kilby MacDonald                              | New York Rangers      | LW       | 25  |
| 1940–41   | Johnny Quilty                                | Montreal Canadiens    | C        | 19  |
| 1941–42   | Grant Warwick                                | New York Rangers      | RW       | 19  |
| 1942–43   | Gaye Stewart                                 | Toronto Maple Leafs   | RW       | 19  |
| 1943–44   | Gus Bodnar                                   | Toronto Maple Leafs   | C        | 20  |
| 1944–45   | Frank McCool                                 | Toronto Maple Leafs   | G        | 25  |
| 1945–46   | Edgar Laprade                                | New York Rangers      | C        | 25  |
| 1946–47   | Howie Meeker                                 | Toronto Maple Leafs   | RW       | 21  |
| 1947–48   | Jim McFadden                                 | Detroit Red Wings     | C        | 27  |
| 1948–49   | Pentti Lund                                  | New York Rangers      | RW       | 22  |
| 1949–50   | Jack Gelineau                                | Boston Bruins         | G        | 24  |
| 1950–51   | Terry Sawchuk                                | Detroit Red Wings     | G        | 20  |
| 1951–52   | Bernie Geoffrion                             | Montreal Canadiens    | RW       | 20  |
| 1952–53   | Gump Worsley                                 | New York Rangers      | G        | 23  |
| 1953–54   | Camille Henry                                | New York Rangers      | C        | 20  |
| 1954–55   | Ed Litzenberger                              | Chicago Black Hawks   | RW       | 22  |
| 1955–56   | Glenn Hall                                   | Detroit Red Wings     | G        | 23  |
| 1956–57   | Larry Regan                                  | Boston Bruins         | RW       | 26  |
| 1957–58   | Frank Mahovlich                              | Toronto Maple Leafs   | LW       | 19  |
| 1958–59   | Ralph Backstrom                              | Montreal Canadiens    | C        | 20  |
| 1959–60   | Bill Hay                                     | Chicago Black Hawks   | C        | 23  |
| 1960–61   | Dave Keon                                    | Toronto Maple Leafs   | C        | 20  |
| 1961–62   | Bobby Rousseau                               | Montreal Canadiens    | RW       | 21  |
| 1962–63   | Kent Douglas                                 | Toronto Maple Leafs   | D        | 26  |
| 1963–64   | Jacques Laperriere                           | Montreal Canadiens    | D        | 21  |
| 1964–65   | Roger Crozier                                | Detroit Red Wings     | G        | 22  |
