"Z","Element","Observed or predicted","Isolated (widely known)","Observer","First isolator","Notes"
"15","Phosphorus","1669","1669","H. Brand","H. Brand","Prepared from urine, it was the first element to be chemically discovered."
"27","Cobalt","1732","","G. Brandt","","Proved that the blue color of glass is due to a new kind of metal and not bismuth as thought previously."
"78","Platinum","1735","1735","A. de Ulloa","A. de Ulloa","First description of a metal found in South American gold was in 1557 by Julius Caesar Scaliger. Ulloa published his findings in 1748, but Sir Charles Wood also investigated the metal in 1741. First reference to it as a new metal was made by William Brownrigg in 1750."
"28","Nickel","1751","1751","F. Cronstedt","F. Cronstedt","Found by attempting to extract copper from the mineral known as fake copper (now known as niccolite)."
"83","Bismuth","1753","","C.F. Geoffroy","","Definitively identified by Claude François Geoffroy in 1753."
"12","Magnesium","1755","1808","J. Black","H. Davy","Black observed that magnesia alba (MgO) was not quicklime (CaO). Davy isolated the metal electrochemically from magnesia."
"1","Hydrogen","1766","1500","H. Cavendish","Paracelsus","Cavendish was the first to distinguish H
2 from other gases, although Paracelsus around 1500, Robert Boyle, and Joseph Priestley had observed its production by reacting strong acids with metals. Lavoisier named it in 1793."
"8","Oxygen","1771","1771","W. Scheele","W. Scheele","Obtained it by heating mercuric oxide and nitrates in 1771, but did not publish his findings until 1777. Joseph Priestley also prepared this new air by 1774, but only Lavoisier recognized it as a true element; he named it in 1777."
"7","Nitrogen","1772","1772","D. Rutherford","D. Rutherford","He discovered Nitrogen while he was studying at the University of Edinburgh. He showed that the air in which animals had breathed, even after removal of the exhaled carbon dioxide, was no longer able to burn a candle. Carl Wilhelm Scheele, Henry Cavendish, and Joseph Priestley also studied the element at about the same time, and Lavoisier named it in 1775-6."
"17","Chlorine","1774","1774","W. Scheele","W. Scheele","Obtained it from hydrochloric acid, but thought it was an oxide. Only in 1808 did Humphry Davy recognize it as an element."
"25","Manganese","1774","1774","W. Scheele","G. Gahn","Distinguished pyrolusite as the calx of a new metal. Ignatius Gottfred Kaim also discovered the new metal in 1770, as did Scheele in 1774. It was isolated by reduction of manganese dioxide with carbon."
"56","Barium","1772","1808","W. Scheele","H. Davy","Scheele distinguished a new earth (BaO) in pyrolusite and Davy isolated the metal by electrolysis."
"42","Molybdenum","1778","1781","W. Scheele","J. Hjelm","Scheele recognised the metal as a constituent of molybdena."
"52","Tellurium","1782","","F.-J.M. von Reichenstein","H. Klaproth","Muller observed it as an impurity in gold ores from Transylvania."
"74","Tungsten","1781","1783","T. Bergman","J. and F. Elhuyar","Bergman obtained from scheelite an oxide of a new element. The Elhuyars obtained tungstic acid from wolframite and reduced it with charcoal."
"38","Strontium","1787","1808","W. Cruikshank","H. Davy","Cruikshank and Adair Crawford in 1790 concluded that strontianite contained a new earth. It was eventually isolated electrochemically in 1808 by Humphry Davy."
"","","1789","","A. Lavoisier","","The first modern list of chemical elements – containing, among others, 23 elements of those known then. He also redefined the term \"element\". Until then, no metals except mercury were considered elements."
"40","Zirconium","1789","1824","H. Klaproth","J. Berzelius","Klaproth identified a new element in zirconia."
"92","Uranium","1789","1841","H. Klaproth","E.-M. Péligot","Mistakenly identified a uranium oxide obtained from pitchblende as the element itself and named it after the recently discovered planet Uranus."
"22","Titanium","1791","1825","W. Gregor","J. Berzelius","Gregor found an oxide of a new metal in ilmenite; Martin Heinrich Klaproth independently discovered the element in rutile in 1795 and named it. The pure metallic form was only obtained in 1910 by Matthew A. Hunter."
"39","Yttrium","1794","1840","J. Gadolin","G. Mosander","Discovered in gadolinite, but Mosander showed later that its ore, yttria, contained more elements."
"4","Beryllium","1798","1828","N. Vauquelin","F. Wöhler and A. Bussy","Vauquelin discovered the oxide in beryl and emerald, and Klaproth suggested the present name around 1808."
"23","Vanadium","1801","1830","M. del Río","N.G.Sefström","Río found the metal in vanadinite but retracted the claim after Hippolyte Victor Collet-Descotils disputed it. Sefström isolated and named it, and later it was shown that Río had been right in the first place."
"41","Niobium","1801","1864","C. Hatchett","W. Blomstrand","Hatchett found the element in columbite ore and named it columbium. Heinrich Rose proved in 1844 that the element is distinct from tantalum, and renamed it niobium which was officially accepted in 1949."
"73","Tantalum","1802","","G. Ekeberg","","Ekeberg found another element in minerals similar to columbite and in 1844, Heinrich Rose proved that it was distinct from niobium."
"46","Palladium","1803","1803","H. Wollaston","H. Wollaston","Wollaston discovered it in samples of platinum from South America, but did not publish his results immediately. He had intended to name it after the newly discovered asteroid, Ceres, but by the time he published his results in 1804, cerium had taken that name. Wollaston named it after the more recently discovered asteroid Pallas."
"58","Cerium","1803","1839","H. Klaproth, J. Berzelius, and W. Hisinger","G. Mosander","Berzelius and Hisinger discovered the element in ceria and named it after the newly discovered asteroid (then considered a planet), Ceres. Klaproth discovered it simultaneously and independently in some tantalum samples. Mosander proved later that the samples of all three researchers had at least another element in them, lanthanum."
"76","Osmium","1803","1803","S. Tennant","S. Tennant","Tennant had been working on samples of South American platinum in parallel with Wollaston and discovered two new elements, which he named osmium and iridium."
"77","Iridium","1803","1803","S. Tennant","S. Tennant","Tennant had been working on samples of South American platinum in parallel with Wollaston and discovered two new elements, which he named osmium and iridium, and published the iridium results in 1804."
"45","Rhodium","1804","1804","H. Wollaston","H. Wollaston","Wollaston discovered and isolated it from crude platinum samples from South America."
"19","Potassium","1807","1807","H. Davy","H. Davy","Davy discovered it by using electrolysis on potash."
"11","Sodium","1807","1807","H. Davy","H. Davy","Davy discovered it a few days after potassium, by using electrolysis on sodium hydroxide."
"20","Calcium","1808","1808","H. Davy","H. Davy","Davy discovered the metal by electrolysis of quicklime."
"5","Boron","1808","1808","L. Gay-Lussac and L.J. Thénard","H. Davy","On June 21, 1808, Lussac and Thénard announced a new element in sedative salt, Davy announced the isolation of a new substance from boracic acid soon afterwards."
"9","Fluorine","1810","1886","A.-M. Ampère","H. Moissan","André-Marie Ampère predicted an element analogous to chlorine obtainable from hydrofluoric acid, and between 1812 and 1886 many researchers tried to obtain this element. It was eventually isolated by Moissan."
"53","Iodine","1811","1811","B. Courtois","B. Courtois","Courtois discovered it in the ashes of seaweed."
"3","Lithium","1817","1821","A. Arfwedson","W. T. Brande","Arfwedson discovered the alkali in petalite."
"48","Cadmium","1817","1817","S. L Hermann, F. Stromeyer, and J.C.H. Roloff","S. L Hermann, F. Stromeyer, and J.C.H. Roloff","All three found an unknown metal in a sample of zinc oxide from Silesia, but the name that Stromeyer gave became the accepted one."
"34","Selenium","1817","1817","J. Berzelius and G. Gahn","J. Berzelius and G. Gahn","While working with lead they discovered a substance that they thought was tellurium, but realized after more investigation that it is different."
"14","Silicon","1824","1824","J. Berzelius","J. Berzelius","Humphry Davy thought in 1800 that silica was an element, not a compound, and in 1808 suggested the present name. In 1811 Louis-Joseph Gay-Lussac and Louis-Jacques Thénard probably prepared impure silicon, but Berzelius is credited with the discovery for obtaining the pure element in 1824."
"13","Aluminium","1825","1825","H.C.Ørsted","H.C.Ørsted","Antoine Lavoisier predicted in 1787 that alumine is the oxide of an undiscovered element, and in 1808 Humphry Davy tried to decompose it. Although he failed, he suggested the present name. Hans Christian Ørsted was the first to isolate metallic aluminium in 1825."
"35","Bromine","1825","1825","J. Balard and L. Gmelin","J. Balard and L. Gmelin","They both discovered the element in the autumn of 1825 and published the results the next year."
"90","Thorium","1829","","J. Berzelius","","Berzelius obtained the oxide of a new earth in thorite."
"57","Lanthanum","1838","","G. Mosander","","Mosander found a new element in samples of ceria and published his results in 1842, but later he showed that this lanthana contained four more elements."
"68","Erbium","1842","","G. Mosander","","Mosander managed to split the old yttria into yttria proper and erbia, and later terbia too."
"65","Terbium","1842","1842","G. Mosander","G. Mosander","In 1842 Mosander split yttria into two more earths, erbia and terbia"
"44","Ruthenium","1807","1844","J. Sniadecki","J. Sniadecki","Sniadecki isolated the element in 1807, but his work was not ratified. Gottfried Wilhelm Osann thought that he found three new metals in Russian platinum samples, and in 1844 Karl Karlovich Klaus confirmed that there was a new element. Klaus is usually recognized as the discoverer of the element."
"55","Caesium","1860","1882","R. Bunsen and R. Kirchhoff","C. Setterberg","Bunsen and Kirchhoff were the first to suggest finding new elements by spectrum analysis. They discovered caesium by its two blue emission lines in a sample of Dürkheim mineral water. The pure metal was eventually isolated in 1882 by Setterberg."
"37","Rubidium","1861","","R. Bunsen and G. R. Kirchhoff","R. Bunsen","Bunsen and Kirchhoff discovered it just a few months after caesium, by observing new spectral lines in the mineral lepidolite. Bunsen never obtained a pure sample of the metal, which was later obtained by Hervesy."
"81","Thallium","1861","1862","W. Crookes","C.-A. Lamy","Shortly after the discovery of rubidium, Crookes found a new green line in a selenium sample; later that year, Lamy found the element to be metallic."
"49","Indium","1863","1867","F. Reich and T. Richter","T. Richter","Reich and Richter First identified it in sphalerite by its bright indigo-blue spectroscopic emission line. Richter isolated the metal several years later."
"2","Helium","1868","1895","P. Janssen and N. Lockyer","W. Ramsay, T. Cleve, and N. Langlet","Janssen and Lockyer observed independently a yellow line in the solar spectrum that did not match any other element.
Years later, Ramsay, Cleve, and Langlet observed independently the element trapped in cleveite about the same time."
"","","1869","","D. I. Mendeleev","","Mendeleev arranges the 63 elements known at that time into the first modern periodic table and correctly predicts several others."
"31","Gallium","1875","","P. E. L. de Boisbaudran","P. E. L. de Boisbaudran","Boisbaudran observed on a pyrenea blende sample some emission lines corresponding to the eka-aluminium that was predicted by Mendeleev in 1871 and subsequently isolated the element by electrolysis."
"70","Ytterbium","1878","1907","J.C.G. de Marignac","G. Urbain","On October 22, 1878, Marignac reported splitting terbia into two new earths, terbia proper and ytterbia."
"67","Holmium","1878","","M. Delafontaine","","Delafontaine found it in samarskite and next year, Per Teodor Cleve split Marignac's erbia into erbia proper and two new elements, thulium and holmium."
"69","Thulium","1879","1879","T. Cleve","T. Cleve","Cleve split Marignac's erbia into erbia proper and two new elements, thulium and holmium."
"21","Scandium","1879","1879","F. Nilson","F. Nilson","Nilson split Marignac's ytterbia into pure ytterbia and a new element that matched 1871 Mendeleev's predicted eka-boron."
"62","Samarium","1879","1879","P.E.L. de Boisbaudran","P.E.L. de Boisbaudran","Boisbaudran noted a new earth in samarskite and named it samaria after the mineral."
"64","Gadolinium","1880","1886","J. C. G. de Marignac","F. L. de Boisbaudran","Marignac initially observed the new earth in terbia, and later Boisbaudran obtained a pure sample from samarskite."
"59","Praseodymium","1885","","A. von Welsbach","","Von Welsbach discovered two new distinct elements in ceria: praseodymium and neodymium."
"60","Neodymium","1885","","A. von Welsbach","","Von Welsbach discovered two new distinct elements in ceria: praseodymium and neodymium."
