Year	Local Radio Station	Local Radio Announcers	Foreign Language Radio Station	Foreign Language Radio Announcers	Local Television Station	Local Television Announcers	Cable Television Station	Cable Television Announcers
1939	WHN	Red Barber\nAl Helfer	None	None	None	None	None	None
1940	WHN	Red Barber\nAl Helfer	None	None	None	None	None	None
1941	WHN	Red Barber\nAl Helfer	None	None	None	None	None	None
1942	WHN	Red Barber\nAlan Hale	None	None	None	None	None	None
1943	WHN	Red Barber\nConnie Desmond	None	None	None	None	None	None
1944	WHN	Red Barber\nConnie Desmond	None	None	None	None	None	None
1945	WHN	Red Barber\nConnie Desmond	None	None	None	None	None	None
1946	WHN	Red Barber\nConnie Desmond	None	None	None	None	None	None
1947	WHN	Red Barber\nConnie Desmond	None	None	None	None	None	None
1948	WMGM	Red Barber\nConnie Desmond\nErnie Harwell	None	None	None	None	None	None
1949	WMGM	Red Barber\nConnie Desmond\nErnie Harwell	None	None	None	None	None	None
1950	WMGM	Red Barber\nConnie Desmond\nVin Scully	None	None	WOR-TV	Red Barber\nConnie Desmond\nVin Scully	None	None
1951	WMGM	Red Barber\nConnie Desmond\nVin Scully	None	None	WOR-TV	Red Barber\nConnie Desmond\nVin Scully	None	None
1952	WMGM	Red Barber\nConnie Desmond\nVin Scully	None	None	WOR-TV	Red Barber\nConnie Desmond\nVin Scully	None	None
1953	WMGM	Red Barber\nConnie Desmond\nVin Scully	WHOM	Buck Canel\nHerb Marine	WOR-TV	Red Barber\nConnie Desmond\nVin Scully	None	None
1954	WMGM	Connie Desmond\nVin Scully\nAndré Baruch	WHOM	Buck Canel\nHerb Marine	WOR-TV	Connie Desmond\nVin Scully\nAndré Baruch	None	None
1955	WMGM	Connie Desmond\nVin Scully\nAndré Baruch\nAl Helfer	WHOM	Buck Canel\nHerb Marine	WOR-TV	Connie Desmond\nVin Scully\nAndré Baruch\nAl Helfer	None	None
1956	WMGM	Connie Desmond\nVin Scully\nAl Helfer	WHOM	Buck Canel\nHerb Marine	WOR-TV	Connie Desmond\nVin Scully\nAl Helfer	None	None
1957	WMGM	Vin Scully\nAl Helfer\nJerry Doggett	WHOM	Buck Canel\nHerb Marine	WOR-TV	Vin Scully\nAl Helfer\nJerry Doggett	None	None
1958	KMPC	Vin Scully\nJerry Doggett	KWKW	René Cárdenas\nMilt Nava	KTTV	Vin Scully\nJerry Doggett	None	None
1959	KMPC	Vin Scully\nJerry Doggett	KWKW	Jaime Jarrín\nRené Cárdenas\nMiguel Alonzo	KTTV	Vin Scully\nJerry Doggett	None	None
1960	KFI	Vin Scully\nJerry Doggett	KWKW	Jaime Jarrín\nRené Cárdenas\nMiguel Alonzo	KTTV	Vin Scully\nJerry Doggett	None	None
1961	KFI	Vin Scully\nJerry Doggett	KWKW	Jaime Jarrín\nRené Cárdenas\nMiguel Alonzo	KTTV	Vin Scully\nJerry Doggett	None	None
1962	KFI	Vin Scully\nJerry Doggett	KWKW	Jaime Jarrín\nJose Garcia	KTTV	Vin Scully\nJerry Doggett	None	None
1963	KFI	Vin Scully\nJerry Doggett	KWKW	Jaime Jarrín\nJose Garcia	KTTV	Vin Scully\nJerry Doggett	None	None
1964	KFI	Vin Scully\nJerry Doggett	KWKW	Jaime Jarrín\nJose Garcia	KTTV	Vin Scully\nJerry Doggett	None	None
1965	KFI	Vin Scully\nJerry Doggett	KWKW	Jaime Jarrín\nJose Garcia	KTTV	Vin Scully\nJerry Doggett	None	None
1966	KFI	Vin Scully\nJerry Doggett	KWKW	Jaime Jarrín\nJose Garcia	KTTV	Vin Scully\nJerry Doggett	None	None
1967	KFI	Vin Scully\nJerry Doggett	KWKW	Jaime Jarrín\nJose Garcia	KTTV	Vin Scully\nJerry Doggett	None	None
1968	KFI	Vin Scully\nJerry Doggett	KWKW	Jaime Jarrín\nJose Garcia	KTTV	Vin Scully\nJerry Doggett	None	None
1969	KFI	Vin Scully\nJerry Doggett	KWKW	Jaime Jarrín\nJose Garcia	KTTV	Vin Scully\nJerry Doggett	None	None
1970	KFI	Vin Scully\nJerry Doggett\nMike Walden	KWKW	Jaime Jarrín\nJose Garcia	KTTV	Vin Scully\nJerry Doggett	None	None
1971	KFI	Vin Scully\nJerry Doggett	KWKW	Jaime Jarrín\nJose Garcia	KTTV	Vin Scully\nJerry Doggett	None	None
1972	KFI	Vin Scully\nJerry Doggett	KWKW	Jaime Jarrín\nJose Garcia	KTTV	Vin Scully\nJerry Doggett	None	None
1973	KFI	Vin Scully\nJerry Doggett	KWKW	Jaime Jarrín\nRudy Hoyos	KTTV	Vin Scully\nJerry Doggett	None	None
1974	KABC	Vin Scully\nJerry Doggett	KWKW	Jaime Jarrín\nRudy Hoyos	KTTV	Vin Scully\nJerry Doggett	None	None
1974	KABC	Vin Scully\nJerry Doggett	KWKW	Jaime Jarrín\nRudy Hoyos	KTTV	Vin Scully\nJerry Doggett	None	None
1975	KABC	Vin Scully\nJerry Doggett	KWKW	Jaime Jarrín\nRudy Hoyos	KTTV	Vin Scully\nJerry Doggett	None	None
1976	KABC	Vin Scully\nJerry Doggett	KWKW	Jaime Jarrín\nRudy Hoyos	KTTV	Vin Scully\nJerry Doggett	None	None
1977	KABC	Vin Scully\nJerry Doggett\nRoss Porter	XEGM	Jaime Jarrín\nRudy Hoyos	KTTV	Vin Scully\nJerry Doggett\nRoss Porter	None	None
1978	KABC	Vin Scully\nJerry Doggett\nRoss Porter	XEGM	Jaime Jarrín\nRudy Hoyos	KTTV	Vin Scully\nJerry Doggett\nRoss Porter	None	None
1979	KABC	Vin Scully\nJerry Doggett\nRoss Porter	KTNQ	Jaime Jarrín\nRudy Hoyos	KTTV	Vin Scully\nJerry Doggett\nRoss Porter	None	None
1980	KABC	Vin Scully\nJerry Doggett\nRoss Porter	KTNQ	Jaime Jarrín\nRudy Hoyos	KTTV	Vin Scully\nJerry Doggett\nRoss Porter	ONTV	Geoff Witcher\nAl Downing
1981	KABC	Vin Scully\nJerry Doggett\nRoss Porter	KTNQ	Jaime Jarrín\nRudy Hoyos	KTTV	Vin Scully\nJerry Doggett\nRoss Porter	ONTV	Geoff Witcher\nAl Downing
1982	KABC	Vin Scully\nJerry Doggett\nRoss Porter	KTNQ	Jaime Jarrín\nRené Cárdenas	KTTV	Vin Scully\nJerry Doggett\nRoss Porter	ONTV	Geoff Witcher\nAl Downing
1983	KABC	Vin Scully\nJerry Doggett\nRoss Porter	KTNQ	Jaime Jarrín\nRené Cárdenas	KTTV	Vin Scully\nJerry Doggett\nRoss Porter	ONTV	Geoff Witcher\nAl Downing
1984	KABC	Vin Scully\nJerry Doggett\nRoss Porter	KTNQ	Jaime Jarrín\nRené Cárdenas	KTTV	Vin Scully\nJerry Doggett\nRoss Porter	ONTV	Eddie Doucette\nAl Downing
1985	KABC	Vin Scully\nJerry Doggett\nRoss Porter	KTNQ	Jaime Jarrín\nRené Cárdenas	KTTV	Vin Scully\nJerry Doggett\nRoss Porter	Dodgervision	Eddie Doucette\nAl Downing\nRick Monday
1986	KABC	Vin Scully\nJerry Doggett\nRoss Porter	KTNQ	Jaime Jarrín\nRené Cárdenas	KTTV	Vin Scully\nJerry Doggett\nRoss Porter	Dodgervision	Eddie Doucette\nAl Downing\nRick Monday
1987	KABC	Vin Scully\nJerry Doggett\nRoss Porter	KWKW	Jaime Jarrín\nRené Cárdenas	KTTV	Vin Scully\nJerry Doggett\nRoss Porter	Dodgervision	Eddie Doucette\nAl Downing\nRick Monday
1988	KABC	Vin Scully\nRoss Porter\nDon Drysdale	KWKW	Jaime Jarrín\nRené Cárdenas	KTTV	Vin Scully\nRoss Porter\nDon Drysdale	Z Channel	Rick Monday\nTony Hernandez
1989	KABC	Vin Scully\nRoss Porter\nDon Drysdale	KWKW	Jaime Jarrín\nRené Cárdenas	KTTV	Vin Scully\nRoss Porter\nDon Drysdale	Z Channel	Eddie Doucette\nDon Sutton
1990	KABC	Vin Scully\nRoss Porter\nDon Drysdale	KWKW\nKAZN	Jaime Jarrín\nRené Cárdenas\nTito Rondon\nRichard Choi	KTTV	Vin Scully\nRoss Porter\nDon Drysdale	SportsChannel	Joel Meyers\nRon Cey
1991	KABC	Vin Scully\nRoss Porter\nDon Drysdale	KWKW\nKAZN	Jaime Jarrín\nRené Cárdenas\nRichard Choi	KTTV	Vin Scully\nRoss Porter\nDon Drysdale	SportsChannel	Al Downing\nJoel Meyers\nDuke Snider
1992	KABC	Vin Scully\nRoss Porter\nDon Drysdale	KWKW\nKYPA	Jaime Jarrín\nRené Cárdenas\nRichard Choi	KTTV	Vin Scully\nRoss Porter\nDon Drysdale	SportsChannel	Don Drysdale\nRoss Porter
1993	KABC	Vin Scully\nRoss Porter\nDon Drysdale	KWKW\nKYPA	Jaime Jarrín\nRené Cárdenas\nRichard Choi	KTLA	Vin Scully\nRoss Porter\nDon Drysdale	None	None
1994	KABC	Vin Scully\nRoss Porter\nRick Monday	KWKW\nKYPA	Jaime Jarrín\nRené Cárdenas\nRichard Choi	KTLA	Vin Scully\nRoss Porter\nRick Monday	None	None
1995	KABC	Vin Scully\nRoss Porter\nRick Monday	KWKW\nKYPA	Jaime Jarrín\nRené Cárdenas\nRichard Choi	KTLA	Vin Scully\nRoss Porter\nRick Monday	None	None
1996	KABC	Vin Scully\nRoss Porter\nRick Monday	KWKW\nKYPA	Jaime Jarrín\nRené Cárdenas\nRichard Choi	KTLA	Vin Scully\nRoss Porter\nRick Monday	None	None
1997	KABC	Vin Scully\nRoss Porter\nRick Monday	KWKW\nKYPA	Jaime Jarrín\nRené Cárdenas\nRichard Choi	KTLA	Vin Scully\nRoss Porter\nRick Monday	Fox Sports West 2	Vin Scully\nRoss Porter
1998	KXTA	Vin Scully\nRoss Porter\nRick Monday	KWKW\nKYPA	Jaime Jarrín\nRené Cárdenas\nPepe Yñiguez\nRichard Choi	KTLA	Vin Scully\nRoss Porter\nRick Monday	Fox Sports West 2	Vin Scully\nRoss Porter
