Name	County	Population\n(2012 est.)	Population\n(2010)	Land area
Aberdeen	Grays Harbor	16,529	16,896	10.65 sq mi (27.6 km2)
Airway Heights	Spokane	6,363	6,114	5.63 sq mi (14.6 km2)
Algona	King	3,074	3,015	1.29 sq mi (3.3 km2)
Anacortes	Skagit	15,928	15,778	11.75 sq mi (30.4 km2)
Arlington	Snohomish	18,317	17,926	9.25 sq mi (24.0 km2)
Asotin	Asotin	1,270	1,251	1.05 sq mi (2.7 km2)
Auburn	King\nPierce	73,505	70,180	29.62 sq mi (76.7 km2)
Bainbridge Island	Kitsap	23,263	23,025	27.61 sq mi (71.5 km2)
Battle Ground	Clark	18,044	17,571	7.16 sq mi (18.5 km2)
Bellevue	King	126,439	122,363	31.97 sq mi (82.8 km2)
Bellingham	Whatcom	82,234	80,885	27.08 sq mi (70.1 km2)
Benton City	Benton	3,134	3,038	2.46 sq mi (6.4 km2)
Bingen	Klickitat	724	712	0.62 sq mi (1.6 km2)
Black Diamond	King	4,237	4,151	6.01 sq mi (15.6 km2)
Blaine	Whatcom	4,744	4,684	5.63 sq mi (14.6 km2)
Bonney Lake	Pierce	17,964	17,374	7.94 sq mi (20.6 km2)
Bothell	King\nSnohomish	34,651	33,505	12.11 sq mi (31.4 km2)
Bremerton	Kitsap	39,251	37,729	28.41 sq mi (73.6 km2)
Brewster	Okanogan	2,386	2,370	1.19 sq mi (3.1 km2)
Bridgeport	Douglas	2,444	2,409	1.05 sq mi (2.7 km2)
Brier	Snohomish	6,251	6,087	2.13 sq mi (5.5 km2)
Buckley	Pierce	4,402	4,354	3.87 sq mi (10.0 km2)
Burien	King	49,410	33,313	7.42 sq mi (19.2 km2)
Burlington	Skagit	8,470	8,388	4.26 sq mi (11.0 km2)
Camas	Clark	20,490	19,355	13.49 sq mi (34.9 km2)
Carnation	King	1,823	1,786	1.16 sq mi (3.0 km2)
Cashmere	Chelan	3,104	3,063	1.03 sq mi (2.7 km2)
Castle Rock	Cowlitz	1,983	1,982	1.59 sq mi (4.1 km2)
Centralia	Lewis	16,505	16,336	7.42 sq mi (19.2 km2)
Chehalis	Lewis	7,298	7,259	5.53 sq mi (14.3 km2)
Chelan	Chelan	3,945	3,890	6.29 sq mi (16.3 km2)
Cheney	Spokane	11,018	10,590	4.27 sq mi (11.1 km2)
Chewelah	Stevens	2,606	2,607	2.98 sq mi (7.7 km2)
Clarkston	Asotin	7,283	7,229	2.01 sq mi (5.2 km2)
Cle Elum	Kittitas	1,907	1,872	3.82 sq mi (9.9 km2)
Clyde Hill	King	3,047	2,984	1.06 sq mi (2.7 km2)
Colfax	Whitman	2,839	2,805	3.79 sq mi (9.8 km2)
College Place	Walla Walla	8,884	8,765	2.66 sq mi (6.9 km2)
Colville	Stevens	4,669	4,673	2.93 sq mi (7.6 km2)
Connell	Franklin	5,421	4,209	7.87 sq mi (20.4 km2)
Cosmopolis	Grays Harbor	1,643	1,649	1.33 sq mi (3.4 km2)
Covington	King	18,298	17,575	5.86 sq mi (15.2 km2)
Davenport	Lincoln	1,718	1,734	1.82 sq mi (4.7 km2)
Dayton	Columbia	2,509	2,526	1.43 sq mi (3.7 km2)
Deer Park	Spokane	3,673	3,652	6.88 sq mi (17.8 km2)
Des Moines	King	30,449	29,673	6.50 sq mi (16.8 km2)
DuPont	Pierce	8,808	8,199	5.86 sq mi (15.2 km2)
Duvall	King	7,183	6,695	2.47 sq mi (6.4 km2)
East Wenatchee	Douglas	13,439	13,190	3.80 sq mi (9.8 km2)
Edgewood	Pierce	9,501	9,387	8.41 sq mi (21.8 km2)
Edmonds	Snohomish	40,400	39,709	8.91 sq mi (23.1 km2)
Electric City	Grant	1,004	968	1.70 sq mi (4.4 km2)
Ellensburg	Kittitas	18,348	18,174	6.92 sq mi (17.9 km2)
Elma	Grays Harbor	3,095	3,107	1.89 sq mi (4.9 km2)
Entiat	Chelan	1,129	1,112	2.11 sq mi (5.5 km2)
Enumclaw	King\nPierce	11,327	10,669	4.26 sq mi (11.0 km2)
Ephrata	Grant	7,916	7,664	10.09 sq mi (26.1 km2)
Everett	Snohomish	104,655	103,019	33.45 sq mi (86.6 km2)
Everson	Whatcom	2,513	2,481	1.24 sq mi (3.2 km2)
Federal Way	King	91,933	89,306	22.26 sq mi (57.7 km2)
Ferndale	Whatcom	11,998	11,415	6.61 sq mi (17.1 km2)
