"Game","Date","Opponent","Location","Score","OT","Attendance","Record"
"1","January 8, 2005","Philadelphia Wings","Arrowhead Pond","W 13–10","","5,732","1–0"
"2","January 22, 2005","Rochester Knighthawks","Arrowhead Pond","L 11–15","","4,053","1–1"
"3","January 28, 2005","@ Minnesota Swarm","Xcel Energy Center","W 8–7","","12,514","2–1"
"4","January 29, 2005","Calgary Roughnecks","Arrowhead Pond","L 12–13","","4,159","2–2"
"5","February 4, 2005","@ Arizona Sting","Jobing.com Arena","L 10–17","","6,313","2–3"
"6","February 11, 2005","@ Buffalo Bandits","HSBC Arena","L 9–20","","8,805","2–4"
"7","February 18, 2005","@ Calgary Roughnecks","Pengrowth Saddledome","L 15–18","","9,550","2–5"
"8","March 4, 2005","Colorado Mammoth","Arrowhead Pond","L 12–13","","4,500","2–6"
"9","March 13, 2005","Toronto Rock","Arrowhead Pond","L 6–14","","4,499","2–7"
"10","March 19, 2005","@ Colorado Mammoth","Pepsi Center","L 8–16","","16,270","2–8"
"11","March 25, 2005","@ San Jose Stealth","HP Pavilion at San Jose","L 14–15","","5,022","2–9"
"12","March 26, 2005","San Jose Stealth","Arrowhead Pond","W 13–12","OT","4,834","3–9"
"13","April 2, 2005","@ Colorado Mammoth","Pepsi Center","W 10–6","","18,326","4–9"
"14","April 9, 2005","Minnesota Swarm","Arrowhead Pond","L 11–12","OT","4,967","4–10"
"15","April 15, 2005","Arizona Sting","Arrowhead Pond","L 12–14","","5,891","4–11"
"16","April 16, 2005","@ Arizona Sting","Jobing.com Arena","W 11–10","","7,731","5–11"
