Name	Full name	Caps	Goals	First cap	Opponent	Club
Cafu	Marcos Evangelista de Moraes	142	5	12 September 1990	Spain	São Paulo
Roberto Carlos	Roberto Carlos da Silva Rocha	125	11	26 February 1992	United States	União São João
Ronaldo	Ronaldo Luís Nazário de Lima	98	62	23 March 1994	Argentina	Cruzeiro
Dida	Nélson de Jesus Silva	91	0	7 July 1995	Ecuador	Cruzeiro
Zé Roberto	José Roberto da Silva Júnior	84	6	12 August 1995	South Korea	Portuguesa
Emerson	Émerson Ferreira da Rosa	73	6	10 September 1997	Ecuador	Bayer Leverkusen
Rogério Ceni	Rogério Ceni	17	0	16 December 1997	Mexico	São Paulo
Juninho	Antônio Augusto Ribeiro Reis Júnior	40	6	28 March 1999	South Korea	Vasco da Gama
Ronaldinho	Ronaldo de Assis Moreira	97	33	26 June 1999	Latvia	Grêmio
Ricardinho	Ricardo Luiz Pozzi Rodrigues	23	1	28 March 2000	Colombia	Corinthians
Edmilson	Edmílson José Gomes de Moraes	42	1	18 July 2000	Paraguay	São Paulo
Lucio	Lucimar Ferreira da Silva	105	5	15 November 2000	Colombia	Internacional
Adriano	Adriano Leite Ribeiro	48	27	15 November 2000	Colombia	Flamengo
Mineiro	Carlos Luciano da Silva	24	0	25 April 2001	Peru	Ponte Preta
Júlio Baptista	Júlio César Baptista	47	5	14 June 2001	Japan	São Paulo
Cris	Cristiano Marques Gomes	17	1	1 July 2001	Uruguay	Cruzeiro
Juan	Juan Silveira dos Santos	79	7	15 July 2001	Peru	Flamengo
Luisão	Ânderson Luís da Silva	44	1	23 July 2001	Honduras	Cruzeiro
Tinga	Paulo César Fonseca do Nascimento	4	0	9 August 2001	Panama	Grêmio
Gilberto Silva	Gilberto Aparecido da Silva	93	3	7 November 2001	Bolivia	Atletico Mineiro
Kaká	Ricardo Izecson dos Santos Leite	87	29	31 January 2002	Bolivia	São Paulo
Kléberson	José Kléberson Pereira	32	2	31 January 2002	Bolivia	Atletico Paranaense
Kléber	Kléber de Carvalho Corrêa	21	1	31 January 2002	Bolivia	Corinthians
Diego	Diego Ribas da Cunha	33	4	30 April 2003	Mexico	Santos
Luis Fabiano	Luís Fabiano Clemente	45	28	11 June 2003	Nigeria	São Paulo
Gilberto	Gilberto da Silva Melo'	35	1	11 June 2003	Nigeria	Grêmio
Robinho	Róbson de Souza	90	26	13 July 2003	Mexico	Santos
Maicon	Maicon Douglas Sisenando	66	6	13 July 2003	Mexico	Cruzeiro
Nilmar	Nilmar Honorato da Silva	24	9	13 July 2003	Mexico	Internacional
Alex	Alex Rodrigo Dias da Costa	18	0	13 July 2003	Mexico	Santos
Adriano	Adriano Correia Claro	17	0	13 July 2003	Mexico	Coritiba
Gomes	Heurelho da Silva Gomes	11	0	13 July 2003	Mexico	Cruzeiro
Mancini	Alessandro Faiolhe Amantino	6	0	28 April 2004	Hungary	AS Roma
Edu Dracena	Eduardo Luis Abonízio de Souza	3	0	20 May 2004	France	Cruzeiro
Júlio César	Júlio César Soares de Espíndola	74	0	8 July 2004	Chile	Flamengo
Ricardo Oliveira	Ricardo Oliveira	11	3	8 July 2004	Chile	Valencia FC
