"Year","Title","Rol","Format","Related Links"
"2010","Niñas mal (telenovela)","Piti","Telenovela","http://www.novelamtv.com/"
"2010","Soy tu fan (México)","Actor","Serie","https://www.youtube.com/watch?v=hnCb5GG0E2U"
"2010","Yo Te Estaré Cuidando","Camilo","Short Film",""
"2009","Infinito","","Short Film",""
"2009","Me Mueves 2° Temporada","Arturo","Serie","https://www.youtube.com/watch?v=fNE5WHZ_tt8&feature=related"
"2008","Me Mueves 1° Temporada","Arturo","Serie","https://www.youtube.com/watch?v=lj2Q6rrOK1k"
"2008","La Carretera Es Blanca Y Llana","Peru","Short Film","https://www.youtube.com/watch?v=GKehxHZ16rs"
"2007","La Zona","Alejandro","Feature Film","https://www.youtube.com/watch?v=W5SzXJe-NMk"
"2006–2008","Skimo","Fito","Serie","https://www.youtube.com/watch?v=w_6cn3BajE0&feature=related"
"2006","La Vida Inmune","Malhora","Feature Film","https://www.youtube.com/watch?v=PQt4RU3usnw"
"2005","Cuentos De Pelos","","Serie",""
"2005","Quinceañera","","Feature Film",""
"2004","El Divan De Valentina","Dj","Serie",""
"2001","Perros Patinadores","","Short Film",""
"1997–2001","Bizbirije","Differentes personajes en \"No es Justo\" y \"Ponte Bizbo\"","Capsulas","https://www.youtube.com/watch?v=M7YCuvFbFJ0"
