"#","Title","Producer(s)","Featured guest(s)","Time"
"1","\"The C-Quel\"","Pillo Jamel, The Heatmakerz","","3:36"
"2","\"2000 B.C. (Before Can-I-Bus)\"","Ty Fyffe, Laze","","3:31"
"3","\"Life Liquid\"","Juju","Journalist","4:24"
"4","\"Shock Therapy\" (interlude)","","","1:10"
"5","\"Watch Who U Beef Wit\"","Chaos","","4:30"
"6","\"I'll Buss 'Em U Punish 'Em\"","DJ Clue, Duro","Rakim","4:07"
"7","\"Mic-Nificent\"","Daniel \"Danny P\" Pierre","","3:13"
"8","\"Die Slow\"","Ty Fyffe","Journalist","4:00"
"9","\"Doomsday News\"","Chaos","","3:33"
"10","\"Lost @ \"C\"\"","Taiwan Green, Irv Gotti","","4:59"
"11","\"Phuk U\"","Mike \"Punch\" Harper","","4:04"
"12","\"Horsemen\"","","Pharoahe Monch","1:22"
"13","\"Horsementality\"","Chaos","Ras Kass, Killah Priest, Kurupt","5:59"
"14","\"100 Bars\"","Mike \"Punch\" Harper","","4:58"
"15","\"Chaos\"","Chaos","","2:29"
