"Pos.","Athlete","Run 1","Run 2","Total"
"","Aronne Pieruz","50.39","58.25","1:48.64"
"","Filip Trejbal","50.68","58.84","1:49.52"
"","Adam Cole","51.40","58.51","1:49.91"
"4.","Tague Thorson","51.20","59.13","1:50.33"
"5.","Jan Urfer","51.54","59.10","1:50.64"
"6.","Charles Christianson","51.75","58.91","1:50.66"
"7.","Francesco Ghedina","51.37","59.39","1:50.94"
"8.","Luca Moretti","52.05","58.89","1:51.17"
"9.","Cameron Barnes","51.66","59.51","1:51.37"
"10.","Martin Vráblík","52.77","58.60","1:51.48"
