"Year","Venue","Individual","Sprint","Pursuit","Mass start","Relay"
"1993","Borovets, Bulgaria","","","","","18"
"1995","Antholz-Anterselva, Italy","67","","","","12"
"1996","Ruhpolding, Germany","20","48","","","11"
"1997","Brezno-Osrblie, Slovakia","33","64","","","12"
"1998","Pokljuka, Slovenia","","","11","",""
"1999","Kontiolahti, Finland and Oslo, Norway","28","5","4","7","5"
"2000","Oslo, Norway and Lahti, Finland","15","15","7","7","6"
"2001","Pokljuka, Slovenia","30","21","19","17","9"
"2003","Khanty-Mansiysk, Russia","15","26","35","","12"
"2004","Oberhof, Germany","42","30","43","","13"
