"Year","Starts","Wins","Top 5","Top 10","Poles","Avg. Start","Avg. Finish","Winnings","Position","Team(s)"
"1986","2","0","0","0","0","21.0","29.0","$535","110th","#31 Grissom Racing Enterprises"
"1987","2","0","0","0","0","17.0","21.5","$975","49th","#39 Grissom Racing Enterprises"
"1988","29","0","1","4","0","23.6","20.4","$45,391","13th","#39 Grissom Racing Enterprises"
"1989","29","0","2","5","0","23.1","18.9","$71,822","12th","#9/#19 Falcon Racing"
"1990","31","4","11","15","1","14.8","13.2","$166,842","3rd","#31 Grissom Racing Enterprises"
"1991","31","1","7","13","1","20.5","15.7","$152,206","10th","#31 Grissom Racing Enterprises"
"1992","31","1","2","7","1","19.7","16.7","$170,716","12th","#31 Grissom Racing Enterprises"
"1993","28","2","11","18","0","21.5","10.3","$336,432","1st","#31 Grissom Racing Enterprises"
"1994","11","0","1","1","0","27.5","26.6","$39,475","43rd","#31 Grissom Racing Enterprises"
"1995","15","2","4","7","0","23.9","15.6","$110,105","26th","#29 Diamond Ridge Motorsports"
"1996","8","1","3","4","0","25.9","14.1","$90,942","45th","#29 Diamond Ridge Motorsports"
"1997","1","0","0","0","0","43.0","39.0","$4,425","114th","#5 Labonte Motorsports"
"1998","2","0","0","0","1","22.0","23.0","$16,444","77th","#12 Spencer Motor Ventures
#59 ST Motorsports"
"1999","12","0","0","0","0","35.5","30.6","$128,750","52nd","#74 BACE Motorsports
#12 Spencer Motor Ventures
#22 AllCar Motorsports
#44 Labonte Motorsports
#63 HVP Motorsports
#11 Jarrett/Favre Motorsports"
"2000","1","0","0","0","0","43.0","37.0","$7,925","109th","#8 Petty Enterprises"
"2001","1","0","0","0","0","21.0","26.0","$27,000","151st","#45 Petty Enterprises"
"2002","7","0","0","0","0","30.6","30.4","$86,830","56th","#34 Frank Cicci Racing"
"2003","6","0","0","0","0","37.0","27.8","$83,825","67th","#07 DLP Racing
#61/#36 DCT Motorsports"
"2004","26","0","0","0","0","37.3","28.6","$482,604","28th","#36 DCT Motorsports
#24/#93 GIC-Mixon Motorsports"
"2005","31","0","0","0","0","40.3","32.2","$602,395","23rd","#49 Jay Robinson Racing"
"2006","2","0","0","0","0","42.0","30.5","$72,136","98th","#49 Jay Robinson Racing"
"2007","1","0","0","0","0","43.0","25.0","$45,800","133rd","#34 Frank Cicci Racing"
"2008","1","0","0","0","0","43.0","43.0","$42,651","148th","#90 MSRP Motorsports"
"2009","1","0","0","0","0","43.0","43.0","$20,927","149th","#0 JD Motorsports"
