"Season","Winning Team","Score","Losing Team","Score","Location","Stadium"
"1970–71","Baltimore Colts (1)","27","Oakland Raiders","17","Baltimore, Maryland","Memorial Stadium"
"1971–72","Miami Dolphins (1)","21","Baltimore Colts","0","Miami, Florida","Miami Orange Bowl"
"1972–73","Miami Dolphins (2)","21","Pittsburgh Steelers","17","Pittsburgh, Pennsylvania","Three Rivers Stadium"
"1973–74","Miami Dolphins (3)","27","Oakland Raiders","10","Miami, Florida","Miami Orange Bowl"
"1974–75","Pittsburgh Steelers (1)","24","Oakland Raiders","13","Oakland, California","Oakland Coliseum"
"1975–76","Pittsburgh Steelers (2)","16","Oakland Raiders","10","Pittsburgh, Pennsylvania","Three Rivers Stadium"
"1976–77","Oakland Raiders (1)","24","Pittsburgh Steelers","7","Oakland, California","Oakland Coliseum"
"1977–78","Denver Broncos (1)","20","Oakland Raiders","17","Denver, Colorado","Mile High Stadium"
"1978–79","Pittsburgh Steelers (3)","34","Houston Oilers","5","Pittsburgh, Pennsylvania","Three Rivers Stadium"
"1979–80","Pittsburgh Steelers (4)","27","Houston Oilers","13","Pittsburgh, Pennsylvania","Three Rivers Stadium"
"1980–81","Oakland Raiders (2)","34","San Diego Chargers","27","San Diego, California","Jack Murphy Stadium"
"1981–82","Cincinnati Bengals (1)","27","San Diego Chargers","7","Cincinnati, Ohio","Riverfront Stadium"
"1982–83","Miami Dolphins (4)","14","New York Jets","0","Miami, Florida","Miami Orange Bowl"
"1983–84","Los Angeles Raiders (3)","30","Seattle Seahawks","14","Los Angeles, California","Los Angeles Memorial Coliseum"
"1984–85","Miami Dolphins (5)","45","Pittsburgh Steelers","28","Miami, Florida","Miami Orange Bowl"
"1985–86","New England Patriots (1)","31","Miami Dolphins","14","Miami, Florida","Miami Orange Bowl"
"1986–87","Denver Broncos (2)","23","Cleveland Browns","20","Cleveland, Ohio","Cleveland Municipal Stadium"
"1987–88","Denver Broncos (3)","38","Cleveland Browns","33","Denver, Colorado","Mile High Stadium"
"1988–89","Cincinnati Bengals (2)","21","Buffalo Bills","10","Cincinnati, Ohio","Riverfront Stadium"
"1989–90","Denver Broncos (4)","37","Cleveland Browns","21","Denver, Colorado","Mile High Stadium"
"1990–91","Buffalo Bills (1)","51","Los Angeles Raiders","3","Orchard Park, New York","Ralph Wilson Stadium"
"1991–92","Buffalo Bills (2)","10","Denver Broncos","7","Orchard Park, New York","Ralph Wilson Stadium"
"1992–93","Buffalo Bills (3)","29","Miami Dolphins","10","Miami, Florida","Joe Robbie Stadium"
"1993–94","Buffalo Bills (4)","30","Kansas City Chiefs","13","Orchard Park, New York","Ralph Wilson Stadium"
"1994–95","San Diego Chargers (1)","17","Pittsburgh Steelers","13","Pittsburgh, Pennsylvania","Three Rivers Stadium"
"1995–96","Pittsburgh Steelers (5)","20","Indianapolis Colts","16","Pittsburgh, Pennsylvania","Three Rivers Stadium"
"1996–97","New England Patriots (2)","20","Jacksonville Jaguars","6","Foxborough, Massachusetts","Foxboro Stadium"
"1997–98","Denver Broncos (5)","24","Pittsburgh Steelers","21","Pittsburgh, Pennsylvania","Three Rivers Stadium"
"1998–99","Denver Broncos (6)","23","New York Jets","10","Denver, Colorado","Mile High Stadium"
"1999–00","Tennessee Titans (1)","33","Jacksonville Jaguars","14","Jacksonville, Florida","Jacksonville Municipal Stadium"
"2000–01","Baltimore Ravens (1)","16","Oakland Raiders","3","Oakland, California","Oakland Coliseum"
"2001–02","New England Patriots (3)","24","Pittsburgh Steelers","17","Pittsburgh, Pennsylvania","Heinz Field"
"2002–03","Oakland Raiders (4)","41","Tennessee Titans","24","Oakland, California","Network Associates Coliseum"
"2003–04","New England Patriots (4)","24","Indianapolis Colts","14","Foxborough, Massachusetts","Gillette Stadium"
"2004–05","New England Patriots (5)","41","Pittsburgh Steelers","27","Pittsburgh, Pennsylvania","Heinz Field"
"2005–06","Pittsburgh Steelers (6)","34","Denver Broncos","17","Denver, Colorado","Invesco Field at Mile High"
"2006–07","Indianapolis Colts (2)","38","New England Patriots","34","Indianapolis, Indiana","RCA Dome"
"2007–08","New England Patriots (6)","21","San Diego Chargers","12","Foxborough, Massachusetts","Gillette Stadium"
"2008–09","Pittsburgh Steelers (7)","23","Baltimore Ravens","14","Pittsburgh, Pennsylvania","Heinz Field"
"2009–10","Indianapolis Colts (3)","30","New York Jets","17","Indianapolis, Indiana","Lucas Oil Stadium"
"2010–11","Pittsburgh Steelers (8)","24","New York Jets","19","Pittsburgh, Pennsylvania","Heinz Field"
"2011–12","New England Patriots (7)","23","Baltimore Ravens","20","Foxborough, Massachusetts","Gillette Stadium"
"2012–13","Baltimore Ravens (2)","28","New England Patriots","13","Foxborough, Massachusetts","Gillette Stadium"
"2013–14","Denver Broncos (7)","26","New England Patriots","16","Denver, Colorado","Sports Authority Field at Mile High"
