"interval name","size (steps)","size (cents)","midi","just ratio","just (cents)","midi","error"
"perfect fifth","42","700","play (help·info)","3:2","701.96","play (help·info)","−1.96"
"septendecimal tritone","36","600","","17:12","603.00","","−3.00"
"septimal tritone","35","583.33","play (help·info)","7:5","582.51","play (help·info)","+0.82"
"tridecimal tritone","34","566.67","play (help·info)","18:13","563.38","","+3.28"
"11th harmonic","33","550","play (help·info)","11:8","551.32","play (help·info)","−1.32"
"(15:11) augmented fourth","32","533.33","play (help·info)","15:11","536.95","","−3.62"
"perfect fourth","30","500","play (help·info)","4:3","498.04","play (help·info)","+1.96"
"septimal narrow fourth","28","466.66","play (help·info)","21:16","470.78","play (help·info)","−4.11"
"17:13 narrow fourth","28","466.66","play (help·info)","17:13","464.43","","+2.24"
"tridecimal major third","27","450","play (help·info)","13:10","454.21","play (help·info)","−4.21"
"septendecimal supermajor third","27","450","play (help·info)","22:17","446.36","","+3.64"
"septimal major third","26","433.33","play (help·info)","9:7","435.08","play (help·info)","−1.75"
"undecimal major third","25","416.67","play (help·info)","14:11","417.51","play (help·info)","−0.84"
"major third","23","383.33","play (help·info)","5:4","386.31","play (help·info)","−2.98"
"tridecimal neutral third","22","366.67","play (help·info)","16:13","359.47","","+7.19"
"neutral third","21","350","play (help·info)","11:9","347.41","play (help·info)","+2.59"
"septendecimal supraminor third","20","333.33","","17:14","336.13","","−2.80"
"minor third","19","316.67","play (help·info)","6:5","315.64","play (help·info)","+1.03"
"tridecimal minor third","17","283.33","play (help·info)","13:11","289.21","play (help·info)","−5.88"
"septimal minor third","16","266.67","play (help·info)","7:6","266.87","play (help·info)","−0.20"
"tridecimal 5/4 tone","15","250","play (help·info)","15:13","247.74","","+2.26"
"septimal whole tone","14","233.33","play (help·info)","8:7","231.17","play (help·info)","+2.16"
"septendecimal whole tone","13","216.67","","17:15","216.69","","−0.02"
"whole tone, major tone","12","200","play (help·info)","9:8","203.91","play (help·info)","−3.91"
"whole tone, minor tone","11","183.33","play (help·info)","10:9","182.40","play (help·info)","+0.93"
"greater undecimal neutral second","10","166.67","play (help·info)","11:10","165.00","play (help·info)","+1.66"
"lesser undecimal neutral second","9","150","play (help·info)","12:11","150.64","play (help·info)","−0.64"
"greater tridecimal 2/3 tone","8","133.33","","13:12","138.57","","−5.24"
"great limma","8","133.33","","27:25","133.24","","+0.09"
"lesser tridecimal 2/3rd tone","8","133.33","play (help·info)","14:13","128.30","","+5.04"
"septimal diatonic semitone","7","116.67","play (help·info)","15:14","119.44","play (help·info)","−2.78"
"diatonic semitone","7","116.67","play (help·info)","16:15","111.73","play (help·info)","+4.94"
"greater septendecimal semitone","6","100","","17:16","104.95","","-4.95"
"lesser septendecimal semitone","6","100","","18:17","98.95","","+1.05"
"septimal chromatic semitone","5","83.33","play (help·info)","21:20","84.47","play (help·info)","−1.13"
"chromatic semitone","4","66.67","play (help·info)","25:24","70.67","play (help·info)","−4.01"
"septimal third-tone","4","66.67","play (help·info)","28:27","62.96","","+3.71"
"septimal quarter tone","3","50","play (help·info)","36:35","48.77","play (help·info)","+1.23"
"septimal diesis","2","33.33","play (help·info)","49:48","35.70","play (help·info)","−2.36"
"undecimal comma","1","16.67","play (help·info)","100:99","17.40","","−0.73"
