"Name","Character","Unicode code point (decimal)","Standard","DTD","Old ISO subset","Description"
"quot","\"","U+0022 (34)","HTML 2.0","HTMLspecial","ISOnum","quotation mark (APL quote)"
"amp","&","U+0026 (38)","HTML 2.0","HTMLspecial","ISOnum","ampersand"
"apos","'","U+0027 (39)","XHTML 1.0","HTMLspecial","ISOnum","apostrophe (apostrophe-quote); see below"
"lt","<","U+003C (60)","HTML 2.0","HTMLspecial","ISOnum","less-than sign"
"gt",">","U+003E (62)","HTML 2.0","HTMLspecial","ISOnum","greater-than sign"
"nbsp","","U+00A0 (160)","HTML 3.2","HTMLlat1","ISOnum","no-break space (non-breaking space)"
"iexcl","¡","U+00A1 (161)","HTML 3.2","HTMLlat1","ISOnum","inverted exclamation mark"
"cent","¢","U+00A2 (162)","HTML 3.2","HTMLlat1","ISOnum","cent sign"
"pound","£","U+00A3 (163)","HTML 3.2","HTMLlat1","ISOnum","pound sign"
"curren","¤","U+00A4 (164)","HTML 3.2","HTMLlat1","ISOnum","currency sign"
"yen","¥","U+00A5 (165)","HTML 3.2","HTMLlat1","ISOnum","yen sign (yuan sign)"
"brvbar","¦","U+00A6 (166)","HTML 3.2","HTMLlat1","ISOnum","broken bar (broken vertical bar)"
"sect","§","U+00A7 (167)","HTML 3.2","HTMLlat1","ISOnum","section sign"
"uml","¨","U+00A8 (168)","HTML 3.2","HTMLlat1","ISOdia","diaeresis (spacing diaeresis); see Germanic umlaut"
"copy","©","U+00A9 (169)","HTML 3.2","HTMLlat1","ISOnum","copyright symbol"
"ordf","ª","U+00AA (170)","HTML 3.2","HTMLlat1","ISOnum","feminine ordinal indicator"
"laquo","«","U+00AB (171)","HTML 3.2","HTMLlat1","ISOnum","left-pointing double angle quotation mark (left pointing guillemet)"
"not","¬","U+00AC (172)","HTML 3.2","HTMLlat1","ISOnum","not sign"
"shy","","U+00AD (173)","HTML 3.2","HTMLlat1","ISOnum","soft hyphen (discretionary hyphen)"
"reg","®","U+00AE (174)","HTML 3.2","HTMLlat1","ISOnum","registered sign (registered trademark symbol)"
"macr","¯","U+00AF (175)","HTML 3.2","HTMLlat1","ISOdia","macron (spacing macron, overline, APL overbar)"
"deg","°","U+00B0 (176)","HTML 3.2","HTMLlat1","ISOnum","degree symbol"
"plusmn","±","U+00B1 (177)","HTML 3.2","HTMLlat1","ISOnum","plus-minus sign (plus-or-minus sign)"
"sup2","²","U+00B2 (178)","HTML 3.2","HTMLlat1","ISOnum","superscript two (superscript digit two, squared)"
"sup3","³","U+00B3 (179)","HTML 3.2","HTMLlat1","ISOnum","superscript three (superscript digit three, cubed)"
"acute","´","U+00B4 (180)","HTML 3.2","HTMLlat1","ISOdia","acute accent (spacing acute)"
"micro","µ","U+00B5 (181)","HTML 3.2","HTMLlat1","ISOnum","micro sign"
"para","¶","U+00B6 (182)","HTML 3.2","HTMLlat1","ISOnum","pilcrow sign (paragraph sign)"
"middot","·","U+00B7 (183)","HTML 3.2","HTMLlat1","ISOnum","middle dot (Georgian comma, Greek middle dot)"
"cedil","¸","U+00B8 (184)","HTML 3.2","HTMLlat1","ISOdia","cedilla (spacing cedilla)"
"sup1","¹","U+00B9 (185)","HTML 3.2","HTMLlat1","ISOnum","superscript one (superscript digit one)"
"ordm","º","U+00BA (186)","HTML 3.2","HTMLlat1","ISOnum","masculine ordinal indicator"
"raquo","»","U+00BB (187)","HTML 3.2","HTMLlat1","ISOnum","right-pointing double angle quotation mark (right pointing guillemet)"
"frac14","¼","U+00BC (188)","HTML 3.2","HTMLlat1","ISOnum","vulgar fraction one quarter (fraction one quarter)"
"frac12","½","U+00BD (189)","HTML 3.2","HTMLlat1","ISOnum","vulgar fraction one half (fraction one half)"
"frac34","¾","U+00BE (190)","HTML 3.2","HTMLlat1","ISOnum","vulgar fraction three quarters (fraction three quarters)"
"iquest","¿","U+00BF (191)","HTML 3.2","HTMLlat1","ISOnum","inverted question mark (turned question mark)"
"Agrave","À","U+00C0 (192)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter A with grave accent (Latin capital letter A grave)"
"Aacute","Á","U+00C1 (193)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter A with acute accent"
"Acirc","Â","U+00C2 (194)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter A with circumflex"
"Atilde","Ã","U+00C3 (195)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter A with tilde"
"Auml","Ä","U+00C4 (196)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter A with diaeresis"
"Aring","Å","U+00C5 (197)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter A with ring above (Latin capital letter A ring)"
"AElig","Æ","U+00C6 (198)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter AE (Latin capital ligature AE)"
"Ccedil","Ç","U+00C7 (199)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter C with cedilla"
"Egrave","È","U+00C8 (200)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter E with grave accent"
"Eacute","É","U+00C9 (201)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter E with acute accent"
"Ecirc","Ê","U+00CA (202)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter E with circumflex"
"Euml","Ë","U+00CB (203)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter E with diaeresis"
"Igrave","Ì","U+00CC (204)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter I with grave accent"
"Iacute","Í","U+00CD (205)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter I with acute accent"
"Icirc","Î","U+00CE (206)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter I with circumflex"
"Iuml","Ï","U+00CF (207)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter I with diaeresis"
"ETH","Ð","U+00D0 (208)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter Eth"
"Ntilde","Ñ","U+00D1 (209)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter N with tilde"
"Ograve","Ò","U+00D2 (210)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter O with grave accent"
"Oacute","Ó","U+00D3 (211)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter O with acute accent"
"Ocirc","Ô","U+00D4 (212)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter O with circumflex"
"Otilde","Õ","U+00D5 (213)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter O with tilde"
"Ouml","Ö","U+00D6 (214)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter O with diaeresis"
"times","×","U+00D7 (215)","HTML 3.2","HTMLlat1","ISOnum","multiplication sign"
"Oslash","Ø","U+00D8 (216)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter O with stroke (Latin capital letter O slash)"
"Ugrave","Ù","U+00D9 (217)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter U with grave accent"
"Uacute","Ú","U+00DA (218)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter U with acute accent"
"Ucirc","Û","U+00DB (219)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter U with circumflex"
"Uuml","Ü","U+00DC (220)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter U with diaeresis"
"Yacute","Ý","U+00DD (221)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter Y with acute accent"
"THORN","Þ","U+00DE (222)","HTML 2.0","HTMLlat1","ISOlat1","Latin capital letter THORN"
"szlig","ß","U+00DF (223)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter sharp s (ess-zed); see German Eszett"
"agrave","à","U+00E0 (224)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter a with grave accent"
"aacute","á","U+00E1 (225)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter a with acute accent"
"acirc","â","U+00E2 (226)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter a with circumflex"
"atilde","ã","U+00E3 (227)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter a with tilde"
"auml","ä","U+00E4 (228)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter a with diaeresis"
"aring","å","U+00E5 (229)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter a with ring above"
"aelig","æ","U+00E6 (230)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter ae (Latin small ligature ae)"
"ccedil","ç","U+00E7 (231)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter c with cedilla"
"egrave","è","U+00E8 (232)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter e with grave accent"
"eacute","é","U+00E9 (233)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter e with acute accent"
"ecirc","ê","U+00EA (234)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter e with circumflex"
"euml","ë","U+00EB (235)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter e with diaeresis"
"igrave","ì","U+00EC (236)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter i with grave accent"
"iacute","í","U+00ED (237)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter i with acute accent"
"icirc","î","U+00EE (238)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter i with circumflex"
"iuml","ï","U+00EF (239)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter i with diaeresis"
"eth","ð","U+00F0 (240)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter eth"
"ntilde","ñ","U+00F1 (241)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter n with tilde"
"ograve","ò","U+00F2 (242)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter o with grave accent"
"oacute","ó","U+00F3 (243)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter o with acute accent"
"ocirc","ô","U+00F4 (244)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter o with circumflex"
"otilde","õ","U+00F5 (245)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter o with tilde"
"ouml","ö","U+00F6 (246)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter o with diaeresis"
"divide","÷","U+00F7 (247)","HTML 3.2","HTMLlat1","ISOnum","division sign (obelus)"
"oslash","ø","U+00F8 (248)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter o with stroke (Latin small letter o slash)"
"ugrave","ù","U+00F9 (249)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter u with grave accent"
"uacute","ú","U+00FA (250)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter u with acute accent"
"ucirc","û","U+00FB (251)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter u with circumflex"
"uuml","ü","U+00FC (252)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter u with diaeresis"
"yacute","ý","U+00FD (253)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter y with acute accent"
"thorn","þ","U+00FE (254)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter thorn"
"yuml","ÿ","U+00FF (255)","HTML 2.0","HTMLlat1","ISOlat1","Latin small letter y with diaeresis"
"OElig","Œ","U+0152 (338)","HTML 4.0","HTMLspecial","ISOlat2","Latin capital ligature oe"
"oelig","œ","U+0153 (339)","HTML 4.0","HTMLspecial","ISOlat2","Latin small ligature oe"
"Scaron","Š","U+0160 (352)","HTML 4.0","HTMLspecial","ISOlat2","Latin capital letter s with caron"
"scaron","š","U+0161 (353)","HTML 4.0","HTMLspecial","ISOlat2","Latin small letter s with caron"
"Yuml","Ÿ","U+0178 (376)","HTML 4.0","HTMLspecial","ISOlat2","Latin capital letter y with diaeresis"
"fnof","ƒ","U+0192 (402)","HTML 4.0","HTMLsymbol","ISOtech","Latin small letter f with hook (function, florin)"
"circ","ˆ","U+02C6 (710)","HTML 4.0","HTMLspecial","ISOpub","modifier letter circumflex accent"
"tilde","˜","U+02DC (732)","HTML 4.0","HTMLspecial","ISOdia","small tilde"
"Alpha","Α","U+0391 (913)","HTML 4.0","HTMLsymbol","","Greek capital letter Alpha"
"Beta","Β","U+0392 (914)","HTML 4.0","HTMLsymbol","","Greek capital letter Beta"
"Gamma","Γ","U+0393 (915)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek capital letter Gamma"
"Delta","Δ","U+0394 (916)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek capital letter Delta"
"Epsilon","Ε","U+0395 (917)","HTML 4.0","HTMLsymbol","","Greek capital letter Epsilon"
"Zeta","Ζ","U+0396 (918)","HTML 4.0","HTMLsymbol","","Greek capital letter Zeta"
"Eta","Η","U+0397 (919)","HTML 4.0","HTMLsymbol","","Greek capital letter Eta"
"Theta","Θ","U+0398 (920)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek capital letter Theta"
"Iota","Ι","U+0399 (921)","HTML 4.0","HTMLsymbol","","Greek capital letter Iota"
"Kappa","Κ","U+039A (922)","HTML 4.0","HTMLsymbol","","Greek capital letter Kappa"
"Lambda","Λ","U+039B (923)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek capital letter Lambda"
"Mu","Μ","U+039C (924)","HTML 4.0","HTMLsymbol","","Greek capital letter Mu"
"Nu","Ν","U+039D (925)","HTML 4.0","HTMLsymbol","","Greek capital letter Nu"
"Xi","Ξ","U+039E (926)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek capital letter Xi"
"Omicron","Ο","U+039F (927)","HTML 4.0","HTMLsymbol","","Greek capital letter Omicron"
"Pi","Π","U+03A0 (928)","HTML 4.0","HTMLsymbol","","Greek capital letter Pi"
"Rho","Ρ","U+03A1 (929)","HTML 4.0","HTMLsymbol","","Greek capital letter Rho"
"Sigma","Σ","U+03A3 (931)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek capital letter Sigma"
"Tau","Τ","U+03A4 (932)","HTML 4.0","HTMLsymbol","","Greek capital letter Tau"
"Upsilon","Υ","U+03A5 (933)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek capital letter Upsilon"
"Phi","Φ","U+03A6 (934)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek capital letter Phi"
"Chi","Χ","U+03A7 (935)","HTML 4.0","HTMLsymbol","","Greek capital letter Chi"
"Psi","Ψ","U+03A8 (936)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek capital letter Psi"
"Omega","Ω","U+03A9 (937)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek capital letter Omega"
"alpha","α","U+03B1 (945)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter alpha"
"beta","β","U+03B2 (946)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter beta"
"gamma","γ","U+03B3 (947)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter gamma"
"delta","δ","U+03B4 (948)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter delta"
"epsilon","ε","U+03B5 (949)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter epsilon"
"zeta","ζ","U+03B6 (950)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter zeta"
"eta","η","U+03B7 (951)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter eta"
"theta","θ","U+03B8 (952)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter theta"
"iota","ι","U+03B9 (953)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter iota"
"kappa","κ","U+03BA (954)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter kappa"
"lambda","λ","U+03BB (955)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter lambda"
"mu","μ","U+03BC (956)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter mu"
"nu","ν","U+03BD (957)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter nu"
"xi","ξ","U+03BE (958)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter xi"
"omicron","ο","U+03BF (959)","HTML 4.0","HTMLsymbol","NEW","Greek small letter omicron"
"pi","π","U+03C0 (960)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter pi"
"rho","ρ","U+03C1 (961)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter rho"
"sigmaf","ς","U+03C2 (962)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter final sigma"
"sigma","σ","U+03C3 (963)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter sigma"
