"Distribution","x86","x86-64","ia64","ppc","ppc64","sparc32","sparc64","arm","hppa","mips","sh","s390","s390x","alpha","m68k"
"Arch Linux","Yes (>=i686)","Yes","No","Discontinued unofficial port","No","No","No","Yes
Unofficial","No","No","No","No","No","No","No"
"BackTrack","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"Bodhi Linux","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"BOSS Linux","Yes","Yes","No","Yes","Yes","No","No","?","No","No","No","No","No","No","No"
"CentOS","Yes","Yes","Discontinued
3.5-3.8
4.1-4.7","Beta
4.0","No","Beta
4.2","No","No","No","No","No","Discontinued
3.5-3.8
4.1-4.7","Discontinued
3.5-3.8
4.1-4.7","Discontinued
4.2-4.3","No"
"Chakra","No","Yes","No","No","No","No","No","?","No","No","No","No","No","No","No"
"CRUX","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
"Debian","Yes","Yes
4.0+","Discontinued
3.0-7.0","Yes
2.2+","Yes","Discontinued on Lenny","Yes","Yes
2.2+","Discontinued
3.0-5.0","Yes
3.0+","In progress","Discontinued
3.0-7","Yes
7+","Discontinued
2.1-5.0","Discontinued
2.0-3.1"
"Fedora","Yes","Yes","Discontinued from
Fedora 9","Yes","Yes","No","Still active but slow in development, Last available is
Fedora 12
, Working on
Fedora 18","Yes","No","Inactive from
Fedora 13","No","No","Yes","No","No"
"Finnix","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"Frugalware","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Gentoo","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Kali Linux","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"MEPIS","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"MintPPC","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"OES2-Linux","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"OpenELEC","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"openSUSE","Yes","Yes","No","No","No","No","partial","partial","No","No","No","No","No","No","No"
"OpenWrt","Yes","No","No","Yes","No","No","No","Yes","No","Yes","Yes","No","No","No","No"
"Oracle Linux","Yes","Yes","Discontinued
5","No","No","No","No","No","No","No","No","No","No","No","No"
"Red Flag Linux","Yes","Yes","Discontinued
3","No","Discontinued
3","No","No","No","No","No","No","No","No","No","No"
"Red Hat Linux","Yes","No","Discontinued
7.1-7.2","Test release
5.1","No","Discontinued
4.0-4.2
5.1-6.2","Test release
5.1","No","No","Test release
5.1","No","Discontinued
7.2","Discontinued
7.1","Discontinued
2.1-7.1","Test release
5.1"
"Red Hat Enterprise Linux","Discontinued
2.1-6","Yes
3+","Discontinued
2.1-5","Yes
3+","Yes
3+","No","No","No","No","No","No","Discontinued
3-4","Yes
3+","No","No"
"Rxart Desktop","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Porteus","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Scientific Linux","Yes","Yes","Discontinued
3-4","No","No","No","No","No","No","No","No","No","No","No","No"
"SHR","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"Slackware","Yes","Yes","No","No","No","Discontinued
?","No","Yes","No","No","No","Discontinued
?","Discontinued
?","Discontinued
8.1","No"
"Source Mage GNU/Linux","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
"SUSE Linux Enterprise Server","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No"
"Tor-ramdisk","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No"
"Ubuntu/Kubuntu/Xubuntu/Lubuntu","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No"
"XBMC","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"Yellow Dog Linux","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"Distribution","x86","x86-64","ia64","ppc","ppc64","sparc32","sparc64","arm","hppa","mips","sh","s390","s390x","alpha","m68k"
