"Year","Title","Genre","Publisher","Notes"
"1903","Betty Zane","Historical","Charles Francis Press",""
"1906","Spirit of the Border","Historical","A. L. Burt & Company","Sequel to Betty Zane"
"1908","The Last of the Plainsmen","Western","Outing Publishing","Inspired by Charles \"Buffalo\" Jones"
"1909","The Last Trail","Western","Outing Publishing","Sequel to Spirit of the Border"
"1909","The ShortStop","Baseball","A. C. McClurg",""
"1910","The Heritage of the Desert","Western","Harper & Brothers",""
"1910","The Young Forester","Western","Harper & Brothers",""
"1911","The Young Pitcher","Baseball","Harper & Brothers",""
"1911","The Young Lion Hunter","Western","Harper & Brothers",""
"1912","Riders of the Purple Sage","Western","Harper & Brothers",""
"1912","Ken Ward in the Jungle","Western","Harper & Brothers",""
"1913","Desert Gold","Western","Harper & Brothers",""
"1914","The Light of Western Stars","Western","Harper & Brothers",""
"1915","The Lone Star Ranger","Western","Harper & Brothers",""
"1915","The Rainbow Trail","Western","Harper & Brothers","Sequel to Riders of the Purple Sage"
"1916","The Border Legion","Western","Harper & Brothers",""
"1917","Wildfire","Western","Harper & Brothers",""
"1918","The UP Trail","Western","Harper & Brothers",""
"1919","The Desert of Wheat","Western","Harper & Brothers",""
"1919","Tales of Fishes","Fishing","Harper & Brothers",""
"1920","The Man of the Forest","Western","Grosset & Dunlap",""
"1920","The Redheaded Outfield and other Baseball Stories","Baseball","Harper & Brothers",""
"1921","The Mysterious Rider","Western","Harper & Brothers",""
"1921","To the Last Man","Western","Harper & Brothers",""
"1922","The Day of the Beast","Fiction","Harper & Brothers",""
"1922","Tales of Lonely Trails","Adventure","Harper & Brothers",""
"1923","Wanderer of the Wasteland","Western","Harper & Brothers",""
"1923","Tappan's Burro","Western","Harper & Brothers",""
"1924","The Call of the Canyon","Western","Harper & Brothers",""
"1924","Roping Lions in the Grand Canyon","Adventure","Harper & Brothers",""
"1924","Tales of Southern Rivers","Fishing","Harper & Brothers",""
"1925","The Thundering Herd","Western","Harper & Brothers",""
"1925","The Vanishing American","Western","Harper & Brothers",""
"1925","Tales of Fishing Virgin Seas","Fishing","Harper & Brothers",""
"1926","Under the Tonto Rim","Western","Harper & Brothers",""
"1926","Tales of the Angler's Eldorado, New Zealand","Fishing","Harper & Brothers",""
"1927","Forlorn River","Western","Harper & Brothers",""
"1927","Tales of Swordfish and Tuna","Fishing","Harper & Brothers",""
"1928","Nevada","Western","Harper & Brothers","Sequel to Forlorn River"
"1928","Wild Horse Mesa","Western","Harper & Brothers",""
"1928","Don, the Story of a Lion Dog","Western","Harper & Brothers",""
"1928","Avalanche","Western","Harper & Brothers",""
"1928","Tales of Fresh Water Fishing","Fishing","Harper & Brothers",""
"1929","Fighting Caravans","Western","Harper & Brothers",""
"1929","Stairs of Sand","Western","Harper & Brothers",""
"1930","The Wolf Tracker","Western","Harper & Brothers",""
