Player	For	Against	Result	Date
Eric Cantona	Leeds United	Tottenham Hotspur	5–0	25 August 1992
Mark Robins	Norwich City	Oldham Athletic	3–2[citation needed]	8 November 1992
John Hendrie	Middlesbrough	Blackburn Rovers	3–2	5 December 1992
Andy Sinton	Queens Park Rangers	Everton	4–2	28 December 1992
Brian Deane	Sheffield United	Ipswich Town	3–0	16 January 1993
Teddy Sheringham	Tottenham Hotspur	Ipswich Town	4–0	20 February 1993
Gordon Strachan	Leeds United	Blackburn Rovers	5–2	10 April 1993
Les Ferdinand	Queens Park Rangers	Nottingham Forest	4–3	10 April 1993
Chris Bart-Williams	Sheffield Wednesday	Southampton	5–2	12 April 1993
Les Ferdinand	Queens Park Rangers	Everton	5–3[citation needed]	12 April 1993
Chris Sutton	Norwich City	Leeds United	4–2	14 April 1993
Mark Walters	Liverpool	Coventry City	4–0	17 April 1993
Rod Wallace	Leeds United	Coventry City	3–3	8 May 1993
Matthew Le Tissier	Southampton	Oldham Athletic	4–3	8 May 1993
