Lower Mississippi Periods	Lower Yazoo Phases	Lower Yazoo\nDates	Tensas/Natchez Phases	Cahokia Phases	Cahokia Dates	Ohio/Miss. River\nConfluence Phases	Ohio/Miss. Dates
Historic	Russell	1650–1750 CE	Tensas / Natchez	Vacant\nQuarter	1350 CE -\nEuropean Contact	Jackson	1500-1650 CE
Plaquemine Mississippian culture\nLate Plaquemine/Mississippian\nMiddle Plaquemine/Mississippian\nEarly Plaquemine/Mississippian	Wasp Lake	1400-1650 CE	Transylvania / Emerald	Vacant\nQuarter	1350 CE -\nEuropean Contact	Jackson	1500-1650 CE
Plaquemine Mississippian culture\nLate Plaquemine/Mississippian\nMiddle Plaquemine/Mississippian\nEarly Plaquemine/Mississippian	Lake George	1300-1400 CE	Fitzhugh / Foster	Sand Prairie	1275-1350 CE	Medley Phase	1300-1500 CE
Plaquemine Mississippian culture\nLate Plaquemine/Mississippian\nMiddle Plaquemine/Mississippian\nEarly Plaquemine/Mississippian	Winterville	1200-1300 CE	Routh / Anna	Moorehead	1200-1275 CE	Dorena	1100-1300 CE
Transitional Coles Creek	Crippen Point	1050-1200 CE	Preston / Gordon	Lohmann\nSterling	1050-1200 CE	Dorena	1100-1300 CE
Coles Creek culture\nLate Coles Creek\nMiddle Coles Creek\nEarly Coles Creek	Kings Crossing	950-1050 CE	Balmoral	Terminal Late\nWoodland	900–1050 CE	James Bayou	900-1100 CE
Coles Creek culture\nLate Coles Creek\nMiddle Coles Creek\nEarly Coles Creek	Aden	800-950 CE	Ballina	Terminal Late\nWoodland	900–1050 CE	James Bayou	900-1100 CE
Coles Creek culture\nLate Coles Creek\nMiddle Coles Creek\nEarly Coles Creek	Bayland	600-800 CE	Sundown	Late\nWoodland	400–900 CE	Cane Hills\nBerkley	600–900 CE\n400–600 CE
Baytown/Troyville\nBaytown 2\nBaytown 1	Deasonville	500-600 CE	Marsden	Late\nWoodland	400–900 CE	Cane Hills\nBerkley	600–900 CE\n400–600 CE
Baytown/Troyville\nBaytown 2\nBaytown 1	Little Sunflower	400-500 CE	Indian Bayou	Late\nWoodland	400–900 CE	Cane Hills\nBerkley	600–900 CE\n400–600 CE
Marksville culture\nLate Marksville\nEarly Marksville	Issaquena	200-400 CE	Issaquena	Middle\nWoodland	200 BCE - 400 CE	La Plant\nBurkett	100 BCE-400 CE\n550-100 BCE
Marksville culture\nLate Marksville\nEarly Marksville	Anderson\nLanding	0-200 CE	Point Lake/\nGrand Gulf	Middle\nWoodland	200 BCE - 400 CE	La Plant\nBurkett	100 BCE-400 CE\n550-100 BCE
Tchefuncte culture	Tuscola	400 BCE-0 CE	Panther Lake	Middle\nWoodland	200 BCE - 400 CE	La Plant\nBurkett	100 BCE-400 CE\n550-100 BCE
Jaketown	Poverty Point	700- 400 BCE	Frasier	Early Woodland	700-200 BCE	O'Bryan Ridge	700-550 BCE
-	Poverty Point	1000-700 BCE	-	Late Archaic	1000 - 200 BCE	O'Bryan Ridge	700-550 BCE
