"Season","League","Gold","Silver","Bronze","Winning manager"
"1937–38","League of Norway","Fredrikstad*","Lyn","—","—"
"1938–39","League of Norway","Fredrikstad","Skeid","—","—"
"1947–48","League of Norway","Freidig","Sparta","—","—"
"1948–49","Main League","Fredrikstad","Vålerenga","—",""
"1949–50","Main League","Fram Larvik","Fredrikstad","—",""
"1950–51","Main League","Fredrikstad","Odd","—",""
"1951–52","Main League","Fredrikstad","Brann","—",""
"1952–53","Main League","Larvik Turn","Skeid","—",""
"1953–54","Main League","Fredrikstad","Skeid","—",""
"1954–55","Main League","Larvik Turn","Fredrikstad","—",""
"1955–56","Main League","Larvik Turn","Fredrikstad","—",""
"1956–57","Main League","Fredrikstad*","Odd","—",""
"1957–58","Main League","Viking","Skeid","—","Georg Monsen
William Danielsen
Jens Opsahl"
"1958–59","Main League","Lillestrøm","Fredrikstad","—","Karl Gudmundson
Rolf Brubak"
"1959–60","Main League","Fredrikstad*","Lillestrøm","Eik-Tønsberg",""
"1960–61","Main League","Fredrikstad","Eik-Tønsberg","Vålerenga",""
"1961–62","Main League","Brann","Steinkjer","Fredrikstad","Oddvar Hansen"
"1963","First Division","Brann","Lyn","Skeid","Oddvar Hansen"
"1964","First Division","Lyn","Fredrikstad","Sarpsborg","John Sveinsson"
"1965","First Division","Vålerenga","Lyn","Sarpsborg","Anton Ploderer"
"1966","First Division","Skeid","Fredrikstad","Lyn",""
"1967","First Division","Rosenborg","Skeid","Lyn","Knut Næss"
"1968","First Division","Lyn*","Rosenborg","Viking","Knut Osnes"
"1969","First Division","Rosenborg","Fredrikstad","Strømsgodset","George Curtis"
"1970","First Division","Strømsgodset*","Rosenborg","Ham-Kam","Einar Larsen"
"1971","First Division","Rosenborg*","Lyn","Viking","Nils Arne Eggen"
"1972","First Division","Viking","Fredrikstad","Strømsgodset","Kjell Schou-Andreassen"
"1973","First Division","Viking","Rosenborg","Start","Sverre Andersen"
"1974","First Division","Viking","Molde","Vålerenga","Stuart Williams"
"1975","First Division","Viking","Brann","Start","Olav Nilsen"
"1976","First Division","Lillestrøm","Mjøndalen","Brann","Joar Hoff"
"1977","First Division","Lillestrøm*","Bodø/Glimt","Molde","Joe Hooley"
"1978","First Division","Start","Lillestrøm","Viking","Karsten Johannessen"
"1979","First Division","Viking*","Moss","Start","Tony Knapp"
"1980","First Division","Start","Bryne","Lillestrøm","Karsten Johannessen"
"1981","First Division","Vålerenga","Viking","Rosenborg","Leif Eriksen"
"1982","First Division","Viking","Bryne","Lillestrøm","Kjell Schou-Andreassen"
"1983","First Division","Vålerenga","Lillestrøm","Start","Gunder Bengtsson"
"1984","First Division","Vålerenga","Viking","Start","Gunder Bengtsson
Per Anders Sjøvold"
"1985","First Division","Rosenborg","Lillestrøm","Vålerenga","Arne Dokken
Bjørn Hansen"
"1986","First Division","Lillestrøm","Mjøndalen","Kongsvinger","Tom Lund"
"1987","First Division","Moss","Molde","Kongsvinger","Nils Arne Eggen"
"1988","First Division","Rosenborg*","Lillestrøm","Molde","Nils Arne Eggen"
"1989","First Division","Lillestrøm","Rosenborg","Tromsø","David Hay"
"1990","First Division","Rosenborg","Tromsø","Molde","Nils Arne Eggen"
"1991","Tippeligaen","Viking","Rosenborg","Start","Benny Lennartsson"
"1992","Tippeligaen","Rosenborg*","Kongsvinger","Start","Nils Arne Eggen"
"1993","Tippeligaen","Rosenborg","Bodø/Glimt","Lillestrøm","Nils Arne Eggen"
"1994","Tippeligaen","Rosenborg","Lillestrøm","Viking","Nils Arne Eggen"
"1995","Tippeligaen","Rosenborg*","Molde","Bodø/Glimt","Nils Arne Eggen"
"1996","Tippeligaen","Rosenborg","Lillestrøm","Viking","Nils Arne Eggen"
"1997","Tippeligaen","Rosenborg","Brann","Strømsgodset","Nils Arne Eggen"
"1998","Tippeligaen","Rosenborg","Molde","Stabæk","Trond Sollied"
"1999","Tippeligaen","Rosenborg*","Molde","Brann","Nils Arne Eggen"
"2000","Tippeligaen","Rosenborg","Brann","Viking","Nils Arne Eggen"
"2001","Tippeligaen","Rosenborg","Lillestrøm","Viking","Nils Arne Eggen"
"2002","Tippeligaen","Rosenborg","Molde","Lyn","Nils Arne Eggen"
"2003","Tippeligaen","Rosenborg*","Bodø/Glimt","Stabæk","Åge Hareide"
"2004","Tippeligaen","Rosenborg","Vålerenga","Brann","Ola By Rise"
"2005","Tippeligaen","Vålerenga","Start","Lyn","Kjetil Rekdal"
"2006","Tippeligaen","Rosenborg","Brann","Vålerenga","Knut Tørum
Per-Mathias Høgmo"
"2007","Tippeligaen","Brann","Stabæk","Viking","Mons Ivar Mjelde"
"2008","Tippeligaen","Stabæk","Fredrikstad","Tromsø","Jan Jönsson"
"2009","Tippeligaen","Rosenborg","Molde","Stabæk","Erik Hamrén"
"2010","Tippeligaen","Rosenborg","Vålerenga","Tromsø","Nils Arne Eggen
Erik Hamrén"
"2011","Tippeligaen","Molde","Tromsø","Rosenborg","Ole Gunnar Solskjær"
"2012","Tippeligaen","Molde","Strømsgodset","Rosenborg","Ole Gunnar Solskjær"
"2013","Tippeligaen","Strømsgodset","Rosenborg","Haugesund","Ronny Deila"
