No. in\nseries	No. in\nseason	Title	Directed by	Written by	Original air date
1	1	"Dream House / UFO Encounter"	Allan Kroeker	Will Dixon / James Nadler	September 28, 1996
2	2	"Possession / Man Out of Time"	John Bell / Allan Kroeker	James Nadler / Larry Raskin	October 5, 1996
3	3	"Reptilian Revenge / Ghostly Voices"	Giles Walker / Allan Kroeker	Will Dixon / Richard Oleksiak	October 12, 1996
4	4	"Creeping Darkness / Power"	John Bell / Allan Kroeker	David Preston / Gerald Wexler	October 19, 1996
5	5	"Free Fall / Presence"	Milan Cheylov / John Bell	Larry Raskin / Ian Weir	October 26, 1996
6	6	"The Infestation / Human Apportation"	Giles Walker / John Bell	Damian Kindler / Denise Fordham	November 2, 1996
7	7	"The Underneath / Phantom Limb"	Milan Cheylov / Allan Kroeker	Robert C. Cooper / Sherman Snukal	November 9, 1996
8	8	"The Transient / Two Lost Old Men"	Giles Walker	Damian Kindler / Ian Weir	November 16, 1996
9	9	"UFO Duplication / Clara's Friend"	Marc Voizard	Robert C. Cooper / Will Dixon	November 23, 1996
10	10	"The Hunter / The Healer"	John Bell	Damian Kindler / Larry Raskin	November 30, 1996
11	11	"The Curse / Angel on a Plane"	Marc Voizard / Ken Girotti	Will Dixon / Ian Weir	January 18, 1997
12	12	"Anasazi Cave / Devil's Triangle"	Marc Voizard / Ken Girotti	Sherman Snukal / Damian Kindler	January 25, 1997
13	13	"The Undead / The Stalker"	Clay Boris	Will Dixon / Alex Pugsley	February 1, 1997
14	14	"The Forbidden North / Reincarnation"	Ken Girotti	Damian Kindler / Peter Aykroyd	February 8, 1997
15	15	"The Greenhouse Effect / The Buzz"	Clay Boris	Damian Kindler / Sherman Snukal	February 15, 1997
16	16	"The Light"	Milan Cheylov	Will Dixon	February 22, 1997
17	17	"The 13th Floor / The Believer"	Clay Boris / Craig Pryce	Jean Hurtubise / Damian Kindler	April 12, 1997
18	18	"The Fog / House on Garden Street"	Clay Boris	Robert C. Cooper / Chris Dickie	April 19, 1997
19	19	"Second Sight / Chocolate Soldier"	Milan Cheylov	Sherman Snukal / Will Dixon	April 26, 1997
20	20	"Fire Within / Fate"	Aaron Schuster	Richard Oleksiak / Damian Kindler	May 3, 1997
21	21	"Death at Sunset / Collision"	Ross Clyde	Jeremy Hole / Sherman Snukal	May 10, 1997
22	22	"Perestroika"	Giles Walker	Will Dixon	May 17, 1997
