"Rank","NPC","Gold","Silver","Bronze","Total"
"1","China (CHN)","95","71","65","231"
"2","Russia (RUS)","36","38","28","102"
"3","Great Britain (GBR)*","34","43","43","120"
"4","Ukraine (UKR)","32","24","28","84"
"5","Australia (AUS)","32","23","30","85"
"6","United States (USA)","31","29","38","98"
"7","Brazil (BRA)","21","14","8","43"
"8","Germany (GER)","18","26","22","66"
"9","Poland (POL)","14","13","9","36"
"10","Netherlands (NED)","10","10","19","39"
"Total (75 NPCs)","Total (75 NPCs)","503","503","516","1522"
