"Version","Date","Development cycle","Size (in kb)","Download","Notes"
"0.1","9 June 1993","Beta","?","evolt",""
"0.2","14 June 1993","Beta","?","?","Changelog"
"0.3","16 June 1993","Beta","?","?","Changelog"
"0.4","18 June 1993","Beta","?","?","Changelog"
"0.5","24 June 1993","Beta","?","?","Changelog"
"0.6","30 June 1993","Beta","?","?","changelog"
"0.8","5 November 1993","Beta","N/A","N/A","Changelog (Distinct version discontinued)"
"0.9","12 November 1993","Beta-pre","?","[2]",""
"0.9","16 November 1993","Beta","?","[3]","Changelog"
"0.9","22 November 1993","WINSOCK alpha r9.2","?","[4]",""
"1.0","17 February 1994","Release","?","evolt",""
"1.01","?","Release","?","?",""
"1.01a","17 March 1994","release","521","[5], evolt","Changelog"
"2.0","N/A","Alpha","N/A","N/A","development ceased"
