Edition	Year	Men's winner	Time (h:m:s)	Women's winner	Time (h:m:s)
34th	2013	Sean Hehir (IRL)	2:18:19	Maria McCambridge (IRL)	2:38:51
33rd	2012	Geoffrey Ndungu (KEN)	2:11:09	Magdalene Mukunza (KEN)	2:30:46
32nd	2011	Geoffrey Ndungu (KEN)	2:08:33	Helalia Johannes (NAM)	2:30:33
31st	2010	Moses Kangogo Kibet (KEN)	2:08:58	Tatyana Aryasova (RUS)	2:26:13
30th	2009	Feyisa Lilesa (ETH)	2:09:11	Kateryna Stetsenko (UKR)	2:32:45
29th	2008	Andriy Naumov (UKR)	2:11:06	Larisa Zyuzko (RUS)	2:29:55
28th	2007	Aleksey Sokolov (RUS)	2:09:07	Alina Ivanova (RUS)	2:29:20
27th	2006	Aleksey Sokolov (RUS)	2:11:39	Alina Ivanova (RUS)	2:29:49
26th	2005	Dmytro Osadchyy (UKR)	2:13:14	Zinaida Semenova (RUS)	2:32:53
25th	2004	Lezan Kipkosgei Kimutai (KEN)	2:13:07	Yelena Burykina (RUS)	2:32:53
24th	2003	Onesmus Musyoka Kilonzo (KEN)	2:17:03	Ruth Kutol (KEN)	2:27:22
23rd	2002	Frederick Cherono (KEN)	2:14:25	Lidiya Vasilevskaya (RUS)	2:32:58
22nd	2001	Zacharia Mpolokeng (RSA)	2:14:03	Debbie Robinson (GBR)	2:35:40
21st	2000	Simon Pride (GBR)	2:18:49	Sonia O'Sullivan (IRL)	2:35:42
20th	1999	John Mutai (KEN)	2:15:18	Esther Kiplagat (KEN)	2:34:24
19th	1998	Joshua Kipkemboi (KEN)	2:20:00	Teresa Duffy (IRL)	2:39:56
18th	1997	Joshua Kipkemboi (KEN)	2:15:56	Carol Galea (MLT)	2:39:33
17th	1996	Joseph Kahugu (KEN)	2:17:42	Cathy Shum (IRL)	2:38:56
16th	1995	William Musyoki (KEN)	2:16:57	Trudi Thomson (GBR)	2:38:23
15th	1994	Steve Brace (GBR)	2:17:13	Linda Rushmere (GBR)	2:40:17
14th	1993	John Treacy (IRL)	2:14:40	Cathy Shum (IRL)	2:38:14
13th	1992	Jerry Kiernan (IRL)	2:17:19	Karen Cornwall (GBR)	2:41:58
12th	1991	Tommy Hughes (GBR)	2:14:46	Christine Kennedy (IRL)	2:35:56
11th	1990	John Bolger (IRL)	2:17:17	Christine Kennedy (IRL)	2:41:27
10th	1989	John Griffin (IRL)	2:16:44	Pauline Nolan (IRL)	2:44:32
9th	1988	John Griffin (IRL)	2:16:02	Moira O'Neill (GBR)	2:37:06
8th	1987	Pavel Klimeš (TCH)	2:14:21	Carolyn Naisby (GBR)	2:42:08
7th	1986	Dick Hooper (IRL)	2:18:10	Maureen Hurst (GBR)	2:46:29
6th	1985	Dick Hooper (IRL)	2:13:48	Julia Gates (GBR)	2:41:26
5th	1984	Svend-Erik Kristensen (DEN)	2:18:25	Ailish Smyth (IRL)	2:47:30
4th	1983	Ronny Agten (BEL)	2:14:19	Mary Purcell (IRL)	2:46:09
3rd	1982	Jerry Kiernan (IRL)	2:13:45	Debbie Mueller (USA)	2:40:57
2nd	1981	Neil Cusack (IRL)	2:13:58	Emily Dowling (IRL)	2:48:22
1st	1980	Dick Hooper (IRL)	2:16:14	Carey May (IRL)	2:42:11
