"Rank","Player Name","No. of Titles","Runner-up","Final Appearances"
"1","Jansher Khan","8","1","9"
"2","Jahangir Khan","6","3","9"
"3","Geoff Hunt","4","1","5"
"4","Amr Shabana","4","0","4"
"5","Nick Matthew","3","0","3"
"6","Ramy Ashour","2","1","3"
"6","David Palmer","2","1","3"
"8","Peter Nicol","1","2","3"
"9","Rodney Eyles","1","1","2"
"9","Thierry Lincou","1","1","2"
"9","Ross Norman","1","1","2"
"12","Rodney Martin","1","0","1"
"12","Jonathon Power","1","0","1"
"14","Chris Dittmar","0","5","5"
"15","Grégory Gaultier","0","4","4"
"15","Qamar Zaman","0","4","4"
"17","Ahmed Barada","0","1","1"
"17","Lee Beachill","0","1","1"
"17","Karim Darwish","0","1","1"
"17","Mohamed El Shorbagy","0","1","1"
"17","Del Harris","0","1","1"
"17","Mohibullah Khan","0","1","1"
"17","Peter Marshall","0","1","1"
"17","John White","0","1","1"
"17","Dean Williams","0","1","1"
"17","James Willstrop","0","1","1"
