Year	Location(s)	Number of contestants	Ladies winner	Men's winner
1965	Skåne, Blekinge, Denmark	156	Sweden Inga-Britt Bengtsson	Sweden Nils Bohman
1966	Småland (4), Västergötland	672	Sweden Kerstin Granstedt	Finland Juhani Salmenkylä
1967	Motala	1 910	Sweden Ulla Lindkvist	Sweden Kalle Johansson
1968	Borås	3 250	Sweden Ulla Lindkvist	Norway Åge Hadler
1969	Rommehed	5 355	Sweden Ulla Lindkvist	Sweden Stefan Green
1970	Kristianstad	6 378	Sweden Ulla Lindkvist	Sweden Bernt Frilén
1971	Malmköping	8 627	Sweden Ulla Lindkvist	Sweden Hans Aurell
1972	Eksjö	8 253	Sweden Ulla Lindkvist	Sweden Hans Aurell
1973	Rättvik	10 449	Sweden Ulla Lindkvist	Sweden Bengt Gustafsson
1974	Kristianstad	10 196	Sweden Ulla Lindkvist	Sweden Ernst Jönsson
1975	Haninge	9 322	Sweden Anne Lundmark	Finland Matti Mäkinen
1976	Ransäter	14 843	Hungary Sarolta Monspart	Sweden Gert Pettersson
1977	Visby	7 186	Finland Liisa Veijalainen	Norway Sigurd Dæhli
1978	Skara	15 148	Finland Liisa Veijalainen	Sweden Kjell Lauri
1979	Örebro	15 842	Sweden Britt-Marie Karlsson	Sweden Lars-Henrik Undeland
1980	Uppsala	15 142	Finland Liisa Veijalainen	Sweden Lars Lönnkvist
1981	Mohed	18 983	Sweden Annichen Kringstad	Sweden Jörgen Mårtensson
1982	Luleå	13 631	Sweden Annichen Kringstad	Sweden Lars Lönnkvist
1983	Anderstorp	22 498	Sweden Annichen Kringstad	Sweden Håkan Eriksson
1984	Bräkne-Hoby	16 123	Sweden Karin Gunnarsson	Sweden Kent Olsson
1985	Falun	25 021	Sweden Annichen Kringstad	Sweden Joakim Ingelsson
1986	Borås	17 353	Sweden Annichen Kringstad	Sweden Anders Erik Olsson
1987	Norrköping	16 216	Sweden Katarina Borg	Sweden Lars Lönnkvist
1988	Sundsvall	16 413	Sweden Barbro Lönnkvist	Sweden Lars Lönnkvist
1989	Östersund	17 818	Sweden Barbro Lönnkvist	Sweden Niklas Löwegren
1990	Göteborg	20 172	Norway Ragnhild Bente Andersen	Sweden Per Ek
1991	Arboga	16 581	Sweden Arja Hannus	Sweden Håkan Eriksson
1992	Södertälje	17 806	Sweden Gunilla Svärd	Denmark Allan Mogensen
1993	Falkenberg	15 006	Sweden Annika Zell	Norway Petter Thoresen
1994	Örnsköldsvik	14 414	Sweden Katarina Borg	Norway Petter Thoresen
1995	Hässleholm	14 304	Finland Eija Koskivaara	Sweden Jörgen Olsson
1996	Karlstad	17 007	Sweden Annika Zell	Sweden Jörgen Mårtensson
1997	Umeå	11 179	Sweden Katarina Borg	Sweden Jörgen Mårtensson
1998	Gävle	13 249	Norway Hanne Staff	Sweden Johan Ivarsson
1999	Borlänge	15 238	Sweden Jenny Johansson	Sweden Fredrik Löwegren
2000	Hallsberg	13 740	Norway Hanne Staff	Sweden Jimmy Birklin
2001	Märsta	12 525	Sweden Marlena Jansson	Sweden Johan Ivarsson
2002	Skövde	14 651	Switzerland Simone Niggli-Luder	Finland Mats Haldin
2003	Uddevalla	14 998	United Kingdom Heather Monro	Finland Mats Haldin
2004	Göteborg	13 259	Sweden Jenny Johansson	Russia Valentin Novikov
2005	Skillingaryd	12 657	Sweden Emma Engstrand	Sweden Emil Wingstedt
2006	Mohed	13 500	Switzerland Simone Niggli-Luder	Lithuania Simonas Krepsta
2007	Mjölby	14 300	Switzerland Simone Niggli-Luder	Norway Anders Nordberg
2008	Sälen	24 375	Norway Anne Margrethe Hausken	Finland Tero Föhr
2009	Eksjö	15 589	Sweden Helena Jansson	Sweden Martin Johansson
2010	Örebro	16 069	Switzerland Simone Niggli-Luder	Sweden David Andersson
2011	Mohed	12 939	Sweden Tove Alexandersson	Sweden Erik Rost
2012	Halmstad	21172	Russia Tatiana Ryabkina	Norway Olav Lundanes
2013	Boden	12907	Sweden  Tove Alexandersson	France Thierry Gueorgiou
2014	Kristianstad			
2015	Borås			
2016	Sälen			
