Finished	Post	Horse	Jockey	Trainer	Owner	Time / behind
1st	6	Silver Charm	Gary L. Stevens	Bob Baffert	Bob & Beverly Lewis	2:02.44
2nd	5	Captain Bodgit	Alex Solis	Gary A. Capuano	Team Valor	
3rd	12	Free House	David Flores	J. Paco Gonzalez	John Toffan & Trudy McCaffery	
4th	3	Pulpit	Shane Sellers	Frank L. Brothers	Claiborne Farm	
5th	10	Crypto Star	Pat Day	Wayne M. Catalano	Evelyn & Darrell Yates	
6th	9	Phantom on Tour	Jerry D. Bailey	Lynn S. Whiting	W. Cal Partee	
7th	5	Jack Flash	Craig Perret	Nick Zito	Dogwood Stable	
8th	6	Hello	Mike Smith	Ronald McAnally	Sandee & Al Kirkwood	
9th	1	Concerto	Carlos H. Marquez, Jr.	John J. Tammaro, III	Kinsman Stable	
10th	13	Celtic Warrior	Francisco Torres	Danny Hutt	Hutt, Quackenbush & Shaffrick	
11th	4	Crimson Classic	Robby Albarado	Forrest Kaelin	John W. Clay	
12th	15	Shammy Davis	Willie Martinez	Nick Zito	Fox Hill Farm	
13th	11	Deeds Not Words	Corey Nakatani	D. Wayne Lukas	Michael Tabor & Susan Magnier	
