"Region","Date","Format","Version(s)","Label"
"France","September 4, 2012","Digital download","Main single
Inferno remix
Bluelight remix","Sony Music"
"Germany","September 4, 2012","Digital download","Inferno remix","Sony Music"
"United States","September 4, 2012","Digital download","Main single
Inferno remix
Bluelight remix","RCA Records"
"United States","September 11, 2012","Rhythmic airplay
Urban airplay","Inferno remix","RCA Records"
"United States","September 11, 2012","Urban AC airplay","Bluelight remix","RCA Records"
"United States","October 16, 2012","Mainstream airplay","Main Single
Inferno remix","RCA Records"
"United States","October 16, 2012","Hot Adult Contemporary airplay","Main Single","RCA Records"
"Germany","November 2, 2012","CD single","Main single
Inferno remix","Sony Music"
"United Kingdom","November 18, 2012","Digital EP","Main Single
Bluelight remix
Inferno remix
Instrumental","RCA Records"
"United States","March 18, 2013","Adult Contemporary airplay","Main Single","RCA Records"
