Class	No	Team	Drivers	Chassis	Engine	Laps
S\n1.6	160	Silvestre Semilia	Silvestre Semilia\n Giuseppe Crescenti	Alfa Romeo Giulia Spider	Alfa Romeo 1.6 I4	6
GT\n1.6	186	Luigi Rinaldi	Luigi Rinaldi\n Mario Radicella	Alfa Romeo GTA	Alfa Romeo 1.6 I4	6
P\n3.0	14	Autodelta SpA	Toine Hezemans\n Masten Gregory	Alfa Romeo T33/3	Alfa Romeo 3.0L V8	5
P\n2.0	52	Etna	"Peter von Serzawa"\n Santo Scigliano	Fiat 124 Spider	Fiat 2.0L I4	5
GT\n1.6	188	Etna	Checco D'Angelo\n "Jimmy"	Alfa Romeo GTA	Alfa Romeo 1.6L I4	5
GT\n1.3	288	V10 Kleber	Ferdi Bökmann\n Hans E. Böhm	Simca 1300	Simca 1.3L I4	5
GT\n2.0	128		Ignazio Capuano\n Giancarlo Barba	Porsche 911S	Porsche 2.0L Flat-6	4
GT\n1.6	180	Scuderia Pegaso	Paolo de Luca\n Giuseppe Vassallo	Alfa Romeo GTA	Alfa Romeo 1.6L I4	4
S\n1.6	156	Scuderia Pegaso	Salvatore Barraco\n "Amphicar"	Alfa Romeo Giulia TZ	Alfa Romeo 1.6L I4	3
S\n1.6	156	Etna	Giuseppe D'Amico\n Girolamo Perniciaro	Alfa Romeo Giulia TZ	Alfa Romeo 1.6L I4	3
GT\n1.6	192	Scuderia Pegaso	Giovanni Dell'Olio\n Vincenzo Virgilio	Alfa Romeo GTA	Alfa Romeo 1.6L I4	3
GT\n1.6	198	Salvatore Gagliano	Salvatore Gagliano\n Alfonso di Garbo	Alfa Romeo GTA	Alfa Romeo 1.6L I4	3
GT\n1.6	204	Gianluigi Verna	Francesco Cosentino\n Gianluigi Verna	Alfa Romeo GTA	Alfa Romeo 1.6L I4	3
P\n1.0	254	Romano Martini	Francesco Patané\n "Oras"	Fiat-Abarth 1000SP	Abarth 1.0L I4	3
GT\n1.6	264	Romano Martini	Romano Martini\n Alessandro Federico	ATS 1000 SP	Ford 1.0L I4	3
P\n3.0	38	Abarth-Osella	Arturo Merzario\n Johannes Ortner	Abarth 3000SP	Abarth 3.0L V8	2
P\n1.0	256	Scuderia Brescia Corse	Luigi Moreschi\n "Patrizia"	AMS SP	Ford 1.0L I4	2
P\n1.0	266	"Gero"	"Gero"\n "Roger"	De Sanctis	Ford 1.0L I4	2
GT\n1.6	276	Scuderia Pegaso	Antonio Catalano\n Marco de Bartoli	Lancia Fulvia HF	Lancia 1.6L V4	2
GT\n2.0	124	Giampaolo Baruffi	Giancarlo Sala\n Giampaolo Baruffi	Porsche 911	Porsche 2.0L Flat-6	1
GT\n1.6	196	Giovanni Rizzo	Giovanni Rizzo\n Stefano Alongi	Alfa Romeo GTA	Alfa Romeo 1.6L I4	1
S\n1.3	232	Aldo Bersano	Aldo Bersano\n William Scheeren	Abarth 1300S	Abarth 1.3L I4	1
GT\n1.3	272	Jolly Club	Antonio Trenti\n Alberto Fasce	Lancia Fulvia HF	Lancia 1.6L V4	1
P\n3.0	20	Porsche System	Vic Elford\n Hans Herrmann	Porsche 908/03	Porsche 3.0L Flat-8	0
P\n3.0	32	Autodelta SpA	Umberto Maglioli\n Nanni Galli	Alfa Romeo T33/3	Alfa Romeo 3.0L V8	0
GT\n1.6	204	Antonio Guagliardo	Antonio La Luce\n Antonio Guagliardo	Abarth 2000S	Alfa Romeo 1.6L I4	0
P\n1.3	220	Jack Wheeler	Jack Wheeler\n Martin Davidson	Jerboa SP	BMC 1.3L I4	0
S\n1.3	234	Settecolli	Enzo Buzzetti\n Gianni Marini	Abarth 1300S	Abarth 1.6L I4	0
GT\n1.3	280	Scuderia Pegaso	Giuseppe Chiaramonte\n Giuseppe Spatafora	Lancia Fulvia HF	Lancia 1.6L V4	0
