Property	Test method	units	4275	4301	4435	4630	4645
Tensile Strength	ASTM D 638	MPa (kpsi)	117 (16.9)	113 (16.4)	94 (13.6)	81 (11.8)	114 (16.6)
Tensile Modulus	ASTM D 638	GPa (kpsi)	8.8 (1,280)	6.8 (990)	14.5 (2,100)	7.4 (1,080)	18.6 (2,700)
Tensile Elongation	ASTM D 638	%	2.6	3.3	1.0	1.9	0.8
Flexural Strength	ASTM D 790	MPa (kpsi)	208 (30.2)	215 (31.2)	152 (22.0)	131 (19.0)	154 (22.4)
Flexural Modulus	ASTM D 790	GPa (kpsi)	7.3 (1.060)	6.9 (1,000)	14.8 (2,150)	6.8 (990)	12.4 (1,800)
Compressive Strength	ASTM D 695	MPa (kpsi)	123 (17.8)	166 (24.1)	138 (20.0)	99 (14.4)	157 (22.8)
Izod Impact Strength, Notched	ASTM D 256	J/m (ft-lb/in)	85 (1.6)	64 (1.2)	43 (0.8)	48 (0.9)	37 (0.7)
Izod Impact Strength, Unnotched	ASTM D 4812	J/m (ft-lb/in)	270 (5)	430 (8)	210 (4)	160 (3)	110 (2)
Heat Deflection Temperature at 264 psi	ASTM D 648	°C (°F)	280 (536)	279 (534)	278 (532)	280 (536)	281 (538)
Coefficient Linear Thermal Expansion	ASTM D 696	ppm/°C (ppm/°F)	25 (14)	25 (14)	14 (8)	16 (9)	9 (3)
