Place	Player	Country	Score	To par	Money ($)
1	Ralph Guldahl	United States	72-68-70-69=279	–9	1,500
2	Sam Snead	United States	70-70-72-68=280	–8	800
T3	Billy Burke	United States	69-72-71-70=282	–6	550
T3	Lawson Little	United States	72-72-68-70=282	–6	550
5	Gene Sarazen	United States	73-66-72-72=283	–5	400
6	Craig Wood	United States	72-73-71-68=284	–4	300
7	Byron Nelson	United States	71-69-72-75=287	–1	250
8	Henry Picard	United States	71-71-76-71=289	+1	175
9	Ben Hogan	United States	75-71-72-72=290	+2	125
T10	Ed Dudley	United States	75-75-69-72=291	+3	100
T10	Toney Penna	United States	72-75-72-72=291	+3	100
