Rank	Athlete	Time	Notes	Q
1	Habtamu Fayisa (ETH)	5:38.62	PB	FA
2	Peter Matheka Mutuku (KEN)	5:38.72	PB	FA
3	Zakaria Kiprotich (UGA)	5:44.51	PB	FA
4	Waleed Elayah (YEM)	5:51.58	PB	FA
5	Bilal Tabti (ALG)	5:56.21	PB	FA
6	Yousif Daifalla (SUD)	5:56.46	PB	FA
7	Salem Attiatalla (EGY)	6:03.41		FA
8	Daniel Wong (USA)	6:05.92	PB	FA
9	David Morcillo (ESP)	6:10.90		FB
10	Laurentiu Rosu (ROU)	6:12.77		FB
11	Grant Gwynne (AUS)	6:16.83		FB
12	Ioran Etchechury (BRA)	6:39.87		FB
13	Bacem Salhi (TUN)	6:43.17		FB
	Ahmed Burhan (KSA)	DSQ		FB
	Zak Seddon (GBR)	DSQ		FB
