"Township","FIPS","Population","Population
density
/km² (/sq mi)","Land area
km² (sq mi)","Water area
km² (sq mi)","Water %","Geographic coordinates"
"Alta","01500","221","2 (6)","93 (36)","0 (0)","0.48%","38°7′27″N 97°38′44″W﻿ / ﻿38.12417°N 97.64556°W"
"Burrton","09600","1,143","12 (32)","93 (36)","0 (0)","0.17%","38°1′32″N 97°39′55″W﻿ / ﻿38.02556°N 97.66528°W"
"Darlington","17025","601","7 (17)","92 (35)","0 (0)","0.10%","37°57′5″N 97°19′32″W﻿ / ﻿37.95139°N 97.32556°W"
"Emma","21025","4,181","45 (116)","93 (36)","0 (0)","0%","38°8′10″N 97°25′46″W﻿ / ﻿38.13611°N 97.42944°W"
"Garden","25300","294","3 (8)","93 (36)","0 (0)","0%","38°7′44″N 97°32′14″W﻿ / ﻿38.12889°N 97.53722°W"
"Halstead","29625","353","4 (10)","92 (35)","0 (0)","0.07%","38°2′9″N 97°31′51″W﻿ / ﻿38.03583°N 97.53083°W"
"Highland","31875","415","5 (12)","92 (35)","0 (0)","0.19%","38°7′38″N 97°19′9″W﻿ / ﻿38.12722°N 97.31917°W"
"Lake","37825","173","2 (5)","92 (36)","1 (0)","1.05%","37°57′46″N 97°39′7″W﻿ / ﻿37.96278°N 97.65194°W"
"Lakin","38150","357","4 (10)","92 (35)","0 (0)","0.06%","37°57′18″N 97°32′20″W﻿ / ﻿37.95500°N 97.53889°W"
"Macon","43925","1,056","11 (30)","92 (36)","0 (0)","0%","38°2′8″N 97°24′58″W﻿ / ﻿38.03556°N 97.41611°W"
"Newton","50500","1,950","28 (73)","69 (27)","0 (0)","0.07%","38°3′27″N 97°19′31″W﻿ / ﻿38.05750°N 97.32528°W"
"Pleasant","56250","439","5 (12)","93 (36)","1 (0)","0.81%","38°2′27″N 97°12′8″W﻿ / ﻿38.04083°N 97.20222°W"
"Richland","59350","360","4 (10)","94 (36)","0 (0)","0.20%","37°57′39″N 97°12′1″W﻿ / ﻿37.96083°N 97.20028°W"
"Sedgwick","63825","1,711","18 (48)","93 (36)","0 (0)","0%","37°56′24″N 97°25′22″W﻿ / ﻿37.94000°N 97.42278°W"
"Walton","75225","552","6 (15)","95 (37)","0 (0)","0.06%","38°7′26″N 97°13′1″W﻿ / ﻿38.12389°N 97.21694°W"
