"#","Player","Span","Caps","Total caps","Win %"
"1.","Fabien Pelous","1997-2006","42","118","64.28%"
"2.","Raphaël Ibañez","1998-2007","41","98","63.41%"
"3.","Jean-Pierre Rives","1978-1984","34","59","55.88%"
"3.","Philippe Saint-André","1994-1997","34","69","73.53%"
"5.","Thierry Dusautoir","2009-","31","54","54.84%"
"6.","Daniel Dubroca","1986-1988","11","33","72.00%"
"6.","Fabien Galthié","1999-2003","11","64","64.00%"
"8.","Guy Basquet","1948-1952","11","33","50.00%"
"9.","Michel Crauste","1961-1966","11","63","68.18%"
"10.","Jacques Fouroux","1974-1977","11","27","66.67%"
