Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2007	Asian Formula Renault Challenge	Champ Motorsports	12	0	0	0	1	64	14th
2008	Asian Formula Renault Challenge	Champ Motorsports	13	0	0	0	3	193	4th
2009	Asian Formula Renault Challenge	Asia Racing Team	12	6	2	4	7	287	2nd
2009	Formula Renault 2.0 Northern European Cup	Krenek Motorsport	14	0	0	0	0	44	21st
2010	ATS Formel 3 Cup	China Sonangol	5	0	0	0	0	0	19th
2010	Austria Formula 3 Cup	Sonangol Motopark	4	1	2	3	2	35	9th
2011	Formula Pilota China	Asia Racing Team	12	2	0	0	3	124	2nd
2012	Formula 3 Euro Series	Angola Racing Team	21	0	0	0	0	14	14th
2012	59th Macau Grand Prix Formula 3	Angola Racing Team	2	0	0	0	0	—	23rd
2012	Masters of Formula 3	Angola Racing Team	1	0	0	0	0	—	18th
2012	British Formula 3 Championship	Angola Racing Team	5	0	0	0	0	—	—
2013	GP3 Series	Carlin	16	0	0	0	0	0	23rd
