Outcome	No.	Date	Tournament	Surface	Partner	Opponents	Score
Winner	1.	April 18, 2004	Jackson, United States	Clay	Alisa Kleybanova	Cory Ann Avants\n Kristen Schlukebir	6–2, 6–3
Runner–up	1.	September 26, 2004	Albuquerque, United States	Hard	María Emilia Salerni	Maureen Drake\n Carly Gullickson	3–6, 6–7(6–8)
Winner	2.	March 27, 2005	Redding, United States	Hard	Yulia Beygelzimer	Leanne Baker\n Francesca Lubiani	6–4, 6–7(1–7), 6–3
Runner–up	2.	May 8, 2005	Raleigh, United States	Clay	Maria Fernanda Alves	Ashley Harkleroad\n Lindsay Lee-Waters	2–6, 6–0, 3–6
Runner–up	3.	March 19, 2006	Orange, United States	Hard	Lilia Osterloh	Kateryna Bondarenko\n Alona Bondarenko	2–6, 4–6
Winner	3.	November 12, 2006	Pittsburgh, United States	Hard (i)	Alisa Kleybanova	Ashley Harkleroad\n Galina Voskoboeva	6–4, 5–7, 6–1
Runner–up	4.	February 11, 2007	Midland, United States	Hard (i)	Maureen Drake	Laura Granville\n Abigail Spears	4–6, 6–3, 3–6
Runner–up	5.	July 7, 2007	Southlake, United States	Hard	Valérie Tétreault	Surina De Beer\n Kim Grant	6–4, 4–6, 4–6
Winner	4.	July 22, 2007	Hamilton, Canada	Clay	Surina De Beer	Michaela Johansson\n Paula Zabala	walkover
Winner	5.	August 4, 2007	Vancouver, Canada	Hard	Marie-Ève Pelletier	Soledad Esperón\n Agustina Lepore	6–4, 6–4
Winner	6.	October 21, 2007	Lawrenceville, United States	Hard	Alisa Kleybanova	Leanne Baker\n Julie Ditty	6–2, 6–0
Winner	7.	November 12, 2007	Pittsburgh, United States	Hard (i)	Alisa Kleybanova	Raquel Kops-Jones\n Abigail Spears	6–4, 4–6, [10–6]
Runner–up	6.	April 27, 2008	Dothan, United States	Clay	Maria Fernanda Alves	Tetiana Luzhanska\n Michaela Paštiková	1–6, 3–6
Winner	8.	October 18, 2008	Toronto, Canada	Hard (i)	Marie-Ève Pelletier	Nikola Frankova\n Carmen Klaschka	6–4, 6–2
Runner–up	7.	September 27, 2009	Saguenay, Canada	Hard (i)	Rebecca Marino	Sofia Arvidsson\n Séverine Brémond Beltrame	3–6, 1–6
Runner–up	8.	April 13, 2013	Poza Rica, Mexico	Hard	Olga Savchuk	María Fernanda Álvarez Terán\n Maria Fernanda Alves	2–6, 3–6
Runner–up	9.	May 18, 2013	Saint-Gaudens, France	Clay	Kurumi Nara	Julia Glushko\n Paula Ormaechea	5–7, 6–7(11–13)
