"Year","Winner","Score","County","Opponent","Score","County"
"2013-14","Mount Leinster Rangers","0-11","Carlow","Oulart-the-Ballagh","0-08","Wexford"
"2012-13","Kilcormac/Killoughey","1-12","Offaly","Oulart-the-Ballagh","0-11","Wexford"
"2011-12","Coolderry","1-15","Offaly","Oulart-the-Ballagh","1-11","Wexford"
"2010-11","O'Loughlin Gaels","0-14","Kilkenny","Oulart-the-Ballagh","1-08","Wexford"
"2009-10","Ballyhale Shamrocks","1-16","Kilkenny","Tullamore","1-08","Offaly"
"2008-09","Ballyhale Shamrocks","2-13","Kilkenny","Birr","1-11","Offaly"
"2007-08","Birr","1-11","Offaly","Ballyboden St Endas","0-13","Dublin"
"2006-07","Ballyhale Shamrocks","1-20","Kilkenny","Birr","1-08","Offaly"
"2005-06","James Stephens","2-13","Kilkenny","UCD","1-12","Dublin"
"2004-05","James Stephens","1-13","Kilkenny","UCD","1-12","Dublin"
"2003-04","O'Loughlin Gaels","0-15","Kilkenny","Birr","0-09","Offaly"
"2002-03","Birr","2-05","Offaly","Gowran","1-02","Kilkenny"
"2001-02","Birr","0-10; 2-10","Offaly","Castletown","1-07; 0-05","Laois"
"2000-01","Graigue-Ballycallan","0-14","Kilkenny","UCD","1-08","Dublin"
"1999-00","Birr","1-16","Offaly","Castletown","0-11","Laois"
"1998-99","Rathnure","1-13","Wexford","Portlaoise","1-06","Laois"
"1997-98","Birr","0-11","Offaly","Castletown","0-05","Laois"
"1996-97","Camross","1-12","Laois","O'Toole's","2-05","Dublin"
"1995-96","Glenmore","2-13","Kilkenny","Oulart-the-Ballagh","2-10","Wexford"
"1994-95","Birr","3-07","Offaly","Oulart-the-Ballagh","2-05","Wexford"
"1993-94","St. Rynagh's","1-14","Offaly","Dicksboro","2-10","Kilkenny"
"1992-93","Buffer's Alley","2-13","Wexford","St. Rynagh's","0-13","Offaly"
"1991-92","Birr","2-14","Offaly","Ballyhale Shamrocks","0-03","Kilkenny"
"1990-91","Glenmore","0-15","Kilkenny","Camross","1-09","Laois"
"1989-90","Ballyhale Shamrocks","2-11","Kilkenny","Cuala","0-07","Dublin"
"1988-89","Buffer's Alley","1-12","Wexford","Ballyhale Shamrocks","1-09","Kilkenny"
"1987-88","Rathnure","3-08","Wexford","Portlaoise","1-13","Laois"
"1986-87","Rathnure","2-16","Wexford","Camross","3-09","Laois"
"1985-86","Buffer's Alley","3-09","Wexford","Kinnitty","0-07","Offaly"
"1984-85","St. Martin's","2-11","Kilkenny","Kinnitty","0-12","Offaly"
"1983-84","Ballyhale Shamrocks","3-06","Kilkenny","Kinnitty","0-09","Offaly"
"1982-83","St. Rynagh's","1-16","Offaly","Buffer's Alley","2-10","Wexford"
"1981-82","James Stephens","0-13","Kilkenny","Faythe Harriers","1-09","Wexford"
"1980-81","Ballyhale Shamrocks","3-10","Kilkenny","Coolderry","1-08","Offaly"
"1979-80","Crumlin","3-05","Dublin","Camross","0-11","Laois"
"1978-79","Ballyhale Shamrocks","1-13","Kilkenny","Crumlin","1-06","Dublin"
"1977-78","Rathnure","0-16","Wexford","The Fenians","1-10","Kilkenny"
"1976-77","Camross","3-09","Laois","James Stephens","1-14","Kilkenny"
"1975-76","James Stephens","1-14","Kilkenny","St. Rynagh's","2-04","Offaly"
"1974-75","The Fenians","2-06","Kilkenny","St. Rynagh's","1-06","Offaly"
"1973-74","Rathnure","1-18","Wexford","St. Rynagh's","2-09","Offaly"
"1972-73","St. Rynagh's","5-05","Offaly","Rathnure","2-13","Wexford"
"1971-72","Rathnure","2-12","Wexford","Bennettsbridge","1-08","Kilkenny"
"1970-71","St. Rynagh's","4-10","Offaly","Rathnure","2-09","Wexford"
