Date	Name	Moving from	Moving to	Fee
3 March 2009	Silvestre Varela	Estrela da Amadora	Porto	Free
14 April 2009	Mario Rondón	Pontassolense	Nacional	Free
18 April 2009	Patric	São Caetano	Benfica	Undisclosed Fee
23 April 2009	Orlando Sá	Braga	Porto	Undisclosed Fee
8 May 2009	Kamani Hill	Wolfsburg	Vitória de Guimarães	Free
16 May 2009	Manuel José	Cluj	Paços de Ferreira	Free
17 May 2009	Jorge Gonçalves	Racing de Santander	Vitória de Guimarães	Loan
22 May 2009	Ramires	Cruzeiro	Benfica	€ 7,500,000
26 May 2009	Luis Aguiar	Braga	Dynamo Moscow	Undisclosed Fee
26 May 2009	Jonathan Bru	AEP Paphos	Académica de Coimbra	Free
29 May 2009	Peterson Peçanha	Thrasyvoulos	Marítimo	Free
30 May 2009	Maicon	Nacional	Porto	€ 2,000,000
31 May 2009	David Mendieta	12 de Octubre	Vitória de Guimarães	Undisclosed Fee
1 June 2009	Boris Peškovič	Académica de Coimbra	Cluj	Free
4 June 2009	Álvaro Pereira	Cluj	Porto	€ 4,500,000
6 June 2009	Anselmo	Estrela da Amadora	Nacional	Free
9 June 2009	José Shaffer	Racing	Benfica	€ 1,900,000
11 June 2009	Nuno Piloto	Académica de Coimbra	Iraklis	Free
11 June 2009	Paulo Jorge	Braga	APOEL	Undisclosed Fee
15 June 2009	Gustavo Lazzaretti	Atlético Paranaense	Vitória de Guimarães	Loan
16 June 2009	Janício	Vitória de Setúbal	Anorthosis	Free
17 June 2009	Jorge Gonçalves	Racing de Santander	Vitória de Guimarães	Loan
17 June 2009	Beto	Leixões	Porto	Undisclosed Fee
18 June 2009	Angelo Peña	Estudiantes de Mérida	Braga	Undisclosed Fee
19 June 2009	Nenê	Nacional	Cagliari	€ 4,500,000
21 June 2009	Filipe Mendes	Estrela da Amadora	Paços de Ferreira	Free
23 June 2009	Kostas Katsouranis	Benfica	Panathinaikos	€ 2,500,000
23 June 2009	Grégory	Vitória de Guimarães	Sporting Gijón	Free
23 June 2009	João Tomás	Boavista	Rio Ave	Free
23 June 2009	Fernando Alexandre	Estrela da Amadora	Braga	Free
25 June 2009	Alex	Wolfsburg	Vitória de Guimarães	Free
25 June 2009	Ney Santos	Estrela da Amadora	Braga	Free
26 June 2009	Chico Silva	Paços de Ferreira	Oliveirense	Free
26 June 2009	Brayan Angulo	Leixões	Deportivo La Coruña	€ 100,000
29 June 2009	Javier Saviola	Real Madrid	Benfica	€ 5,000,000
29 June 2009	Miguel Lopes	Rio Ave	Porto	€ 600,000
30 June 2009	Lucho González	Porto	Marseille	€ 18,000,000
1 July 2009	Nejc Pečnik	Celje	Nacional	Undisclosed Fee
1 July 2009	Diogo Valente	Porto	Braga	Free
1 July 2009	Matías Fernández	Villarreal	Sporting CP	€ 3,635,000
2 July 2009	Rodrigo Possebon	Manchester United	Braga	Loan
2 July 2009	Tarik Sektioui	Porto	Ajman Club	Free
3 July 2009	Paulo Machado	Porto	Toulouse	€ 3,500,000
3 July 2009	Emídio Rafael	Portimonense	Académica de Coimbra	Free
3 July 2009	Bruno Amaro	Nacional	Académica de Coimbra	Loan
4 July 2009	Jean Paul Yontcha	Otopeni	Belenenses	Free
4 July 2009	Kevin Amuneke	Politehnica Timişoara	Porto	Free
4 July 2009	Stélvio	Braga	União de Leiria	Loan
4 July 2009	Diego Gaúcho	Gil Vicente	União de Leiria	Free
6 July 2009	Kiko	Paços de Ferreira	Gil Vicente	Loan
6 July 2009	Fernando Belluschi	Olympiacos	Porto	€ 5,000,000
7 July 2009	Luiz Carlos	União de Leiria	South China	Loan
7 July 2009	Ladji Keita	AEP Paphos	Vitória de Setúbal	Free
7 July 2009	Lisandro López	Porto	Lyon	€ 24,000,000
8 July 2009	Diogo Viana	Porto	VVV-Venlo	Loan
8 July 2009	Cristian Trombetta	Nueva Chicago	Leixões	Free
8 July 2009	Cauê	Santo André	Leixões	Free
8 July 2009	João Pedro	União de Leiria	Oliveirense	Free
10 July 2009	Filipe da Costa	Levski Sofia	Nacional	Free
10 July 2009	Paulão	Porto	Rio Ave	Free
10 July 2009	Saulo	Belenenses	Celta Vigo	Free
11 July 2009	Vukašin Dević	Red Star Belgrade	Belenenses	Free
11 July 2009	Vieirinha	Porto	PAOK	€ 1,000,000
12 July 2009	Alan	Comercial	Vitória de Setúbal	Free
12 July 2009	Romeu Ribeiro	Benfica	Trofense	Loan
13 July 2009	Fernando Ávalos	Belenenses	Nea Salamis	Free
13 July 2009	João Fajardo	Vitória de Guimarães	Panthrakikos	Free
14 July 2009	Vítor Vinha	Académica de Coimbra	Nea Salamis	Loan
14 July 2009	Daniel Candeias	Porto	Recreativo Huelva	Loan
14 July 2009	Ibson	Porto	Spartak Moscow	Undisclosed Fee
14 July 2009	Tininho	Belenenses	Steaua București	Free
14 July 2009	Saulo	Belenenses	Celta Vigo	Free
14 July 2013	Pedro Celestino	Sporting CP	Belenenses	Free
15 July 2009	Radamel Falcao	River Plate	Porto	€ 3,930,000
15 July 2009	Diego Valeri	Lanús	Porto	Undisclosed Fee
17 July 2009	Hélder Barbosa	Porto	Vitória de Setúbal	Loan
17 July 2009	Carlos Carneiro	Paços de Ferreira	Vizela	Free
18 July 2009	Wanderley	Cruzeiro	Marítimo	€ 750,000
18 July 2009	Aldo	Cruzeiro	Marítimo	Loan
18 July 2009	Ruca	Porto	Marítimo	Free
18 July 2009	Bruno Grassi	Marítimo	Tourizense	Loan
18 July 2009	Ruben Lima	Benfica	Vitória de Setúbal	Loan
18 July 2009	Leandro Lima	Porto	Cruzeiro	Loan
18 July 2009	Aly Cissokho	Porto	Lyon	€ 15,000,000
19 July 2009	Gonçalo	Nacional	Santa Clara	Loan
19 July 2009	Roberto Tucker	Quilmes	Leixões	Free
24 July 2009	Alberto	Rio Branco	União de Leiria	Free
24 July 2009	Hammes	Rio Branco	União de Leiria	Free
20 July 2009	Maykon	Belenenses	Paços de Ferreira	Free
20 July 2009	Pelé	Porto	Real Valladolid	Loan
20 July 2009	Barroca	Tourizense	Académica de Coimbra	Free
21 July 2009	Javi García	Real Madrid	Benfica	€ 7,000,000
21 July 2009	Sebastián Prediger	Colón	Porto	€ 2,000,000
21 July 2009	Weldon	Sport	Benfica	€ 276,000
22 July 2009	Przemysław Kaźmierczak	Porto	Vitória de Setúbal	Free
23 July 2009	Miguel Rosa	Benfica	Carregado	Loan
23 July 2009	Ivan Santos	Benfica	Carregado	Loan
23 July 2009	Abdou Guirassy	Ribeirão	Nacional	Free
23 July 2009	Felipe Caicedo	Manchester City	Sporting CP	Loan
24 July 2009	Vítor Castanheira	Braga	Chaves	Free
24 July 2009	Barge	Estoril	Belenenses	Free
24 July 2009	Maciel	União de Leiria	Trofense	Loan
27 July 2009	Milan Stepanov	Porto	Málaga	Loan
29 July 2009	Miguel Fidalgo	Nacional	Académica de Coimbra	Loan
31 July 2009	Júlio César	Belenenses	Benfica	€ 500,000
8 August 2009	Igor Pita	Nacional	Beira-Mar	Loan
12 August 2009	Hugo Santos	Naval	Operário	Free
17 August 2009	Kheireddine Zarabi	Belenenses	Vitória de Setúbal	Free
17 August 2009	Nelson Benítez	Porto	Leixões	Loan
21 August 2009	Beto	Recreativo Huelva	Belenenses	Free
24 August 2009	Adriano	Porto	Braga	Free
26 August 2009	Amaury Bischoff	Arsenal	Académica de Coimbra	Free
26 August 2009	Mehdi Kerrouche	Gazélec Ajaccio	Naval	Free
28 August 2009	Felipe Menezes	Goiás	Benfica	Undisclosed Fee
29 August 2009	Nuno Coelho	Porto	Académica de Coimbra	Free
29 August 2009	Bruno Vale	Porto	Belenenses	Loan
29 August 2009	Miguel Ángel Angulo	Valencia	Sporting CP	Free
29 August 2009	Tiago Luís	Santos	União de Leiria	Loan
29 August 2009	Wênio	Vitória de Guimarães	Leixões	Free
29 August 2009	Jorginho	Braga	Gaziantepspor	Free
30 August 2009	Roland Linz	Braga	Gaziantepspor	Undisclosed Fee
30 August 2009	Seydou Koné	Botoșani	União de Leiria	Free
30 August 2009	El Hadji Diouf	AEK Athens	Vitória de Setúbal	Loan
31 August 2009	Milan Purović	Sporting CP	Videoton	Loan
31 August 2009	Nuno Frechaut	Braga	Metz	Free
31 August 2009	Ivo Pinto	Porto	Vitória de Setúbal	Loan
31 August 2009	Patric	Benfica	Cruzeiro	Loan
31 August 2009	Tiago Pinto	Sporting CP	Braga	Free
