"Party","First Duma","Second Duma","Third Duma","Fourth Duma"
"Russian Social Democratic Party","18 (Mensheviks)","47 (Mensheviks)","19 (Bolsheviks)","15 (Bolsheviks)"
"Socialist-Revolutionary Party","–","37","–","–"
"Labour group","136","104","13","10"
"Progressist Party","27","28","28","41"
"Constitutional Democratic Party (Kadets)","179","92","52","57"
"Non-Russian National Groups","121","–","26","21"
"Centre Party","–","–","–","33"
"Octobrist Party","17","42","154","95"
"Nationalists","60","93","26","22"
"Rightists","8","10","147","154"
"TOTAL","566","453","465","448"
