Title	Year	Language	Role	Notes
Shakti	1982	Hindi	N/A	Credited as "Murliss"
Dil Vil Pyar Vyar	2002	Hindi	N/A	
Maqbool	2003	Hindi	Devsare	
Market	2003	Hindi		
Dhoop	2003	Hindi	Colonel Rathore	
Main Hoon Na	2004	Hindi	Khan	
Masti: Sanam Teri Kasam	2004	Hindi	Eunuch at band stand	
Karam	2005	Hindi	Kaif	
Mangal Pandey: The Rising	2005	Hindi	Sheikh Paltu	
Ek Khiladi Ek Haseena	2005	Hindi	Bakra - target	
Apaharan	2005	Hindi	Muralidhar	
Kal: Yesterday and Tomorrow	2005	Hindi	Sekhar	
Chocolate	2005	Hindi		
Teesri Aankh: The Hidden Camera	2006	Hindi	Dinesh	
The Memsahib	2006		Kishore Sinh Thakker	
Rockin' Meera	2006		Prem	
Fight Club – Members Only	2006	Hindi		
Buddha Mar Gaya	2006	Hindi	Rohan Alexander	
Dhamaal	2007	Hindi	Inspector Kulkarni (Crime Branch)	
Dhol	2007	Hindi	Zicomo	
Athidi	2007	Telugu	Kaiser/Ajay Sastry	
Eik Dasttak	2007			
Black Friday	2004	Hindi		
Laaga Chunari Mein Daag	2007	Hindi		
Kantri	2008	Telugu		
Sunday	2008	Hindi		
One Two Three	2008	Hindi	MM Munde	
Jaane Tu... Ya Jaane Na	2008	Hindi	Inspector (special appearance)	
Golmaal Returns	2008	Hindi	M.D Sawant	
Mere Khwabon Mein Jo Aaye	2009			
Chal Chala Chal	2009	Hindi	Gajendra Singh	
13B: Fear Has a New Address	2009	Tamil/Hindi	Inspector Shiva	
Saluun	2009		Sipahi Ji	
Rokkkit	2010			
Shaapit	2010	Hindi	Kaaya's Father	
Lamhaa	2010	Hindi	News Reporter	
Dabangg	2010	Hindi		
Golmaal 3	2010	Hindi	Dhande	
Tees Maar Khan	2010	Hindi	Agent-Mukherjee	
Oosaravelli	2011	Telugu	Chota Gangleader	
Singham	2011	Hindi	SP	
Chatur Singh Two Star	2011	Hindi		
Dhoni	2011	Tamil/Telugu	Ghani Bhai	
Mr. Nookayya	2012	Telugu	Kidnapper	
Aalaap	2012	Hindi	Naxalite	
Choron Ki Baraat	2012	Hindi	Tejeshwar Singh	
Jeena Hai Toh Thok Daal	2012	Hindi	Hanumant Singh	
OMG: Oh My God!	2012	Hindi		
Chakravyuh	2012	Hindi		
Krishnam Vande Jagadgurum	2012	Telugu	Chakravarthi	
Karma Yodha	2012	Malayalam		
Hungame pe Hungama	2013	Hindi		
Platform No. 6	2013	Telugu		
Pattathu Yaanai	2013	Tamil	Marudhamuthu	
Zindagi 50-50	2013	Hindi		
Yevadu	2013	Telugu	Durani	
Karmachari	2013	Telugu		
