#	Title	English Translation	Original Album	Length
1	Mimpi Yang Sempurna	A Perfect Dream	Kisah 2002 Malam	4:30
2	Bintang Di Surga	Stars in The Heaven	Bintang Di Surga	
3	Aku Dan Bintang	The Stars and Me	Taman Langit	3:39
4	Jauh Mimpiku	Distant Dreams of Mine	OST. Alexandria	
5	Hari Yang Cerah Untuk Jiwa Yang Sepi	A Bright Day for A Lonely Soul	Hari Yang Cerah	3:59
6	Menunggu Pagi	Waiting For Dawn	OST. Alexandria	
7	Khayalan Tingkat Tinggi	High-Level Imagination	Bintang Di Surga	
8	Sahabat	Best Friend	Taman Langit	4:33
9	Sally Sendiri	Sally Alone	Hari Yang Cerah	4:17
10	Langit Tak Mendengar	The Sky Didn't Listen	OST. Alexandria	
11	Di Belakangku	Behind Me	Bintang Di Surga	
12	Kita Tertawa	We Laugh	Taman Langit	3:29
13	Membebaniku	Burdening Me	OST. Alexandria	4:25
14	Cobalah Mengerti	Try To Understand	Hari Yang Cerah	3:30
15	Topeng	Mask	Taman Langit	4:25
