"Date","Time","Opponent#","Rank#","Site","TV","Result","Attendance"
"September 1","2:30 PM","#9 (FCS) Northern Iowa*","#12","Camp Randall Stadium • Madison, WI","BTN","W 26–21","79,568"
"September 8","3:00 PM","at Oregon State*","#13","Reser Stadium • Corvallis, OR","FX","L 7–10","42,189"
"September 15","7:00 PM","Utah State*","#22","Camp Randall Stadium • Madison, WI","BTN","W 16–14","79,332"
"September 22","11:00 AM","UTEP*","#24","Camp Randall Stadium • Madison, WI","ESPN2","W 37–26","79,806"
"September 29","7:00 PM","at #20 Nebraska","#23","Memorial Stadium • Lincoln, NE","ABC","L 27–30","85,962"
"October 6","2:30 PM","Illinois","","Camp Randall Stadium • Madison, WI","ABC/ESPN2","W 31–14","80,096"
"October 13","11:00 AM","at Purdue","","Ross-Ade Stadium • West Lafayette, IN","BTN","W 38–14","46,007"
"October 20","11:00 AM","Minnesota","","Camp Randall Stadium • Madison, WI (Paul Bunyan's Axe)","ESPNU","W 38–13","80,587"
"October 27","2:30 PM","Michigan State","#25","Camp Randall Stadium • Madison, WI","ABC/ESPN2","L 13–16 OT","80,538"
"November 10","11:00 AM","at Indiana","","Memorial Stadium • Bloomington, IN","ESPN2","W 62–14","43,240"
"November 17","2:30 PM","Ohio State","","Camp Randall Stadium • Madison, WI","ABC/ESPN2","L 14–21 OT","80,112"
"November 24","2:30 PM","at Penn State","","Beaver Stadium • University Park, PA","ESPN2","L 21–24 OT","93,505"
"December 1","7:00 PM","vs. #14 Nebraska","","Lucas Oil Stadium • Indianapolis, IN (Big Ten Championship Game)","FOX","W 70–31","41,260"
"January 1, 2013","4:10 PM","vs. #8 Stanford","#23","Rose Bowl • Pasadena, CA (Rose Bowl)","ESPN","L 14–20","93,259"
