Week	Date	Opponent	Result	Attendance
1	September 9, 1990	at New England Patriots	W 27–24	45,305
2	September 16, 1990	Buffalo Bills	W 30–7	68,142
3	September 23, 1990	at New York Giants	L 20–3	76,483
4	September 30, 1990	at Pittsburgh Steelers	W 28–6	54,691
5	October 7, 1990	New York Jets	W 20–16	69,678
6	Bye	Bye	Bye	Bye
7	October 18, 1990	New England Patriots	W 17–10	62,630
8	October 28, 1990	at Indianapolis Colts	W 27–7	59,213
9	November 4, 1990	Phoenix Cardinals	W 23–3	54,294
10	November 11, 1990	at New York Jets	W 17–3	68,362
11	November 19, 1990	Los Angeles Raiders	L 13–10	70,553
12	November 25, 1990	at Cleveland Browns	W 30–13	70,225
13	December 2, 1990	at Washington Redskins	L 42–20	53,599
14	December 9, 1990	Philadelphia Eagles	W 23–20	67,034
15	December 16, 1990	Seattle Seahawks	W 24–17	57,851
16	December 23, 1990	at Buffalo Bills	L 24–14	80,235
17	December 30, 1990	Indianapolis Colts	W 23–17	59,547
