Record	Athlete	Nation	Venue	Date	#
4.05 m (13 ft 31⁄4 in)	Sun Caiyun	China	Nanjing, China	21 May 1992	1
4.08 m (13 ft 41⁄2 in)	Sun Caiyun	China	Taiyuan, China	18 May 1995	2
4.08 m (13 ft 41⁄2 in)	Zhong Guiqing	China	Taiyuan, China	18 May 1995	1
4.10 m (13 ft 51⁄4 in)	Daniela Bártová	Czech Republic	Ljubljana, Slovenia	21 May 1995	1
4.12 m (13 ft 6 in)	Daniela Bártová	Czech Republic	Duisburg, Germany	18 June 1995	2
4.13 m (13 ft 61⁄2 in)	Daniela Bártová	Czech Republic	Wesel, Germany	24 June 1995	3
4.14 m (13 ft 63⁄4 in)	Daniela Bártová	Czech Republic	Gateshead, England	2 July 1995	4
4.15 m (13 ft 71⁄4 in)	Daniela Bártová	Czech Republic	Ostrava, Czech Republic	6 July 1995	5
4.16 m (13 ft 73⁄4 in)	Daniela Bártová	Czech Republic	Feldkirch, Austria	14 July 1995	6
4.17 m (13 ft 8 in)	Daniela Bártová	Czech Republic	Feldkirch, Austria	15 July 1995	7
4.18 m (13 ft 81⁄2 in)	Andrea Müller	Germany	Zittau, Germany	5 August 1995	1
4.20 m (13 ft 91⁄4 in)	Daniela Bártová	Czech Republic	Köln, Germany	18 August 1995	8
4.21 m (13 ft 91⁄2 in)	Daniela Bártová	Czech Republic	Linz, Austria	22 August 1995	9
4.22 m (13 ft 10 in)	Daniela Bártová	Czech Republic	Salgotarjan, Hungary	11 September 1995	10
4.25 m (13 ft 111⁄4 in)	Emma George	Australia	Melbourne, Australia	30 November 1995	1
4.28 m (14 ft 01⁄2 in)	Emma George	Australia	Perth, Australia	17 December 1995	2
4.41 m (14 ft 51⁄2 in)	Emma George	Australia	Perth, Australia	28 January 1996	3
4.42 m (14 ft 6 in)	Emma George	Australia	Reims, France	29 June 1996	4
4.45 m (14 ft 7 in)	Emma George	Australia	Sapporo, Japan	14 July 1996	5
4.50 m (14 ft 9 in)	Emma George	Australia	Melbourne, Australia	8 February 1997	6
4.55 m (14 ft 11 in)	Emma George	Australia	Melbourne, Australia	20 February 1997	7
4.57 m (14 ft 113⁄4 in)	Emma George	Australia	Auckland, New Zealand	21 February 1998	8
4.58 m (15 ft 01⁄4 in)	Emma George	Australia	Melbourne, Australia	14 March 1998	9
4.59 m (15 ft 01⁄2 in)	Emma George	Australia	Brisbane, Australia	21 March 1998	10
