| No. | Constituency      | Winner Candidate                           | Party       | Votes  | Margin |
| 1   | Abdasa            | Chhabilbhai Naranbhai Patel                | INC         | 60704  | 7613   |
| 2   | Mandvi            | Tarachand Jagashi Chheda                   | BJP         | 61984  | 8506   |
| 3   | Bhuj              | Dr Nimaben Aacharya                        | BJP         | 69174  | 8973   |
| 4   | Anjar             | Ahir Vasanbhai Gopalbhai                   | BJP         | 64789  | 4728   |
| 5   | Gandhidham        | Maheshwari Ramesh Vachchhraj               | BJP         | 72988  | 21313  |
| 6   | Rapar             | Patel Vaghajibhai Dharamshibhai            | BJP         | 55280  | 9216   |
| 7   | Vav               | Shankarbhai Lagdhirbhai Patel              | BJP         | 72640  | 11911  |
| 8   | Tharad            | Parbat Patel                               | BJP         | 68517  | 3473   |
| 9   | Dhanera           | Patel Joitabhai Kasnabhai                  | INC         | 87460  | 30291  |
| 10  | Danta             | Kharadi Kantibhai Kalabhai                 | INC         | 73751  | 26990  |
| 11  | Vadgam            | Manilal Jethabhai Vaghela                  | INC         | 90375  | 21839  |
| 12  | Palanpur          | Patel Maheshkumar Amrutlal                 | INC         | 75097  | 5284   |
| 13  | Deesa             | Vaghela Liladharbhai Khodaji               | BJP         | 66294  | 17706  |
| 14  | Deodar            | Chauhan Keshaji Shivaji                    | BJP         | 76265  | 20809  |
| 15  | Kankrej           | Khanpura Dharshibhai Lakhabhai             | INC         | 73900  | 600    |
| 16  | Radhanpur         | Thakor Nagarji Harchandji                  | BJP         | 69493  | 3834   |
| 17  | Chanasma          | Dilipkumar Virajibhai Thakor               | BJP         | 83462  | 16824  |
| 18  | Patan             | Desai Ranchhodbhai Mahijibhai              | BJP         | 67224  | 5871   |
| 19  | Sidhpur           | Balvantsinh Chandansinh Rajput             | INC         | 87518  | 25824  |
| 20  | Kheralu           | Bharatsinhji Dabhi                         | BJP         | 68195  | 18386  |
| 21  | Unjha             | Patel Narayanbhai Lalludas                 | BJP         | 75708  | 24201  |
| 22  | Visnagar          | Patel Rushikesh Ganeshbhai                 | BJP         | 76185  | 29399  |
| 23  | Becharaji         | Patel Rajanikant Somabhai                  | BJP         | 68447  | 6456   |
| 24  | Kadi              | Chavada Rameshbhai Maganbhai               | INC         | 84276  | 1217   |
| 25  | Mehsana           | Nitinbhai Patel                            | BJP         | 90134  | 24205  |
| 26  | Vijapur           | Patel Prahladbhai Ishvarbhai               | INC         | 70729  | 8759   |
| 27  | Himmatnagar       | Chavda Rajendrasinh Ranjitsinh             | INC         | 85008  | 12356  |
| 28  | Idar              | Ramanlal Vora                              | BJP         | 90279  | 11380  |
| 29  | Khedbrahma        | Ashvin Kotwal                              | INC         | 88488  | 50137  |
| 30  | Bhiloda           | Anil Joshiyara                             | INC         | 95799  | 31543  |
| 31  | Modasa            | Thakor Rajendrasinh Shivsinh               | INC         | 88879  | 22858  |
| 32  | Bayad             | Vaghela Mahendrasinh Shankersinh           | INC         | 74646  | 35923  |
| 33  | Prantij           | Baraiya Mahendrasinh Kacharsinh            | INC         | 76097  | 7014   |
| 34  | Dehgam            | Kaminiba Rathod                            | INC         | 61043  | 2297   |
| 35  | Gandhinagar South | Thakor Shambhuji Chelaji                   | BJP         | 87999  | 8011   |
| 36  | Gandhinagar North | Patel Ashokkumar Ranchhodbhai              | BJP         | 73551  | 4225   |
| 37  | Mansa             | Chaudhari Amitbhai Harisingbhai            | INC         | 78068  | 8028   |
| 38  | Kalol             | THAKOR BALDEVJI CHANDUJI                   | INC         | 64757  | 343    |
| 39  | Viramgam          | Tejeshree Patel                            | INC         | 84930  | 16983  |
| 40  | Sanand            | Karamsibhai Virjibhai Patel                | INC         | 73453  | 4148   |
| 41  | Ghatlodiya        | Anandiben Patel                            | BJP         | 154599 | 110395 |
| 42  | Vejalpur          | Chauhan Kishorsinh Babulal                 | BJP         | 113507 | 40985  |
| 43  | Vatva             | Pradipsinh Bhagwatsinh Jadeja              | BJP         | 95580  | 46932  |
| 44  | Ellisbridge       | Rakesh Shah                                | BJP         | 106631 | 76672  |
| 45  | Naranpura         | Amit Shah                                  | BJP         | 103988 | 63335  |
| 46  | Nikol             | Panchal Jagdish Ishwarbhai                 | BJP         | 88886  | 49302  |
| 47  | Naroda            | Wadhwani Nirmalaben Sunilbhai              | BJP         | 96333  | 58352  |
| 48  | Thakkar Bapanagar | Kakadiya Vallabhbhai Gobarbhai             | BJP         | 88731  | 49251  |
| 49  | Bapunagar         | Rajput Jagrupsinh Girdansinh               | BJP         | 51058  | 2603   |
| 50  | Amraiwadi         | Patel Hasmukhbhai Somabhai                 | BJP         | 108683 | 65425  |
| 51  | Dariyapur         | Gyasuddin Habibuddin Shekh                 | INC         | 60967  | 2621   |
| 52  | Jamalpur-Khadia   | Bhatt Bhushan Ashok                        | BJP         | 48058  | 6331   |
| 53  | Maninagar         | Narendra Modi                              | BJP         | 120470 | 34097  |
| 54  | Danilimda         | Shailesh Manubhai Parmar                   | INC         | 73573  | 14301  |
| 55  | Sabarmati         | Arvindkumar Gandalal Patel                 | BJP         | 107036 | 67583  |
| 56  | Asarwa            | Rajanikant Mohanlal Patel                  | BJP         | 76829  | 35045  |
| 57  | Daskroi           | Patel Babubhai Jamnadas                    | BJP         | 95813  | 37633  |
| 58  | Dholka            | Chudasama Bhupendrasinh Manubha            | BJP         | 75242  | 18845  |
| 59  | Dhandhuka         | Kolipatel Laljibhai Chaturbhai             | BJP         | 77573  | 28277  |
| 60  | Dasada            | Makwana Punambhai Kalabhai                 | BJP         | 65404  | 10640  |
| 61  | Limbdi            | Kolipatel Somabhai Gandalal                | INC         | 72203  | 1561   |
| 62  | Wadhwan           | Doshi Varshaben Narendrabhai               | BJP         | 83049  | 17558  |
| 63  | Chotila           | Shamjibhai Bhimjibhai Chauhan              | BJP         | 72111  | 11972  |
| 64  | Dhrangadhra       | Kavadiya Jayantibhai Ramjibhai             | BJP         | 87621  | 17403  |
| 65  | Morbi             | Kantilal Amrutiya                          | BJP         | 77386  | 2760   |
| 66  | Tankara           | Kundariya Mohanbhai Kalyanjibhai           | BJP         | 63630  | 15407  |
| 67  | Wankaner          | Pirzada Mahamadjavid Abdulmutalib          | INC         | 59038  | 5311   |
| 68  | Rajkot East       | Rajguru Indranil Sanjaybhai                | INC         | 60877  | 4272   |
| 69  | Rajkot West       | Vajubhai Vala                              | BJP         | 90405  | 24978  |
| 70  | Rajkot South      | Govind Patel                               | BJP         | 77308  | 28477  |
| 71  | Rajkot Rural      | Bhanuben Manoharbhai Babariya              | BJP         | 57753  | 11466  |
| 72  | Jasdan            | Gohel Bholabhai Bhikhabhai                 | INC         | 78055  | 10847  |
| 73  | Gondal            | Jadeja Jayrajsinh Temubha                  | BJP         | 79709  | 19766  |
| 74  | Jetpur            | Radadiya Jayeshbhai Vitthalbhai            | INC         | 85827  | 18033  |
| 75  | Dhoraji           | Vitthalbhai Hansrajbhai Radadiya           | INC         | 76189  | 26258  |
| 76  | Kalavad           | Chavda Meghjibhai Amarabhai                | BJP         | 49027  | 6119   |
| 77  | Jamnagar Rural    | Raghavji Hansraj Patel                     | INC         | 60499  | 3304   |
| 78  | Jamnagar North    | Jadeja Dharmendrasinh Merubha              | INC         | 61642  | 9448   |
| 79  | Jamnagar South    | Trivedi Vasuben Narendrabhai               | BJP         | 55894  | 2862   |
| 80  | Jam Jodhpur       | Shapriya Chimanbhai Dharamshibhai          | BJP         | 75395  | 28191  |
| 81  | Khambhalia        | Poonamben Hematbhai Maadam                 | BJP         | 79087  | 38382  |
| 82  | Dwarka            | Pabubha Virambha Manek                     | BJP         | 70062  | 5616   |
| 83  | Porbandar         | Babubhai Bhimabhai Bokhiria                | BJP         | 77604  | 17146  |
| 84  | Kutiyana          | Kandhal Sarmanbhai Jadeja                  | NCP         | 61416  | 18474  |
| 85  | Manavadar         | Chavda Jawaharbhai Pethalajibhai           | INC         | 72879  | 4402   |
| 86  | Junagadh          | Mashru Mahendrabhai Liladharbhai           | BJP         | 66669  | 13796  |
| 87  | Visavadar         | Keshubhai Patel                            | GPP         | 85967  | 42186  |
| 88  | Keshod            | Arvindbhai Keshavbhai Ladani               | BJP         | 53772  | 7937   |
| 89  | Mangrol           | Chudasama Rajeshbhai Naranbhai             | BJP         | 68452  | 15714  |
| 90  | Somnath           | Barad Jasabhai Bhanabhai                   | INC         | 56701  | 2096   |
| 91  | Talala, Gujarat   | Jashubhai Dhanabhai Barad                  | INC         | 62722  | 1478   |
| 92  | Kodinar           | Solanki Jethabhai Danabhai                 | BJP         | 63319  | 8477   |
| 93  | Una               | Vansh Punjabhai Bhimabhai                  | INC         | 69824  | 7507   |
| 94  | Dhari             | Kotadiya Nalinbhai Nanjibhai               | GPP         | 41516  | 1575   |
| 95  | Amreli            | Paresh Dhanani                             | INC         | 86583  | 29893  |
| 96  | Lathi             | Bavkubhai Nathabhai Undhad                 | INC         | 48793  | 2764   |
| 97  | Savarkundla       | Vaghasiya Vallabhbhai Vasharambhai         | BJP         | 37246  | 2384   |
| 98  | Rajula            | Solanki Hirabhai Odhavjibhai               | BJP         | 75447  | 18710  |
| 99  | Mahuva            | Makwana Bhavanaben Raghvbhai               | BJP         | 57498  | 28352  |
| 100 | Talaja            | Shyal Bhartiben Dhirubhai                  | BJP         | 66357  | 32844  |
| 101 | Gariadhar         | Keshubhai Hirjibhai Nakran                 | BJP         | 53377  | 16028  |
