"Rank","Player","Nation","Club","Goals"
"1","Jhonny Arteaga","COL","FC New York","13"
"2","Matthew Delicâte","ENG","Richmond Kickers","10"
"3","José Angulo","USA","Harrisburg City Islanders","9"
"3","Maxwell Griffin","USA","Orlando City","9"
"3","Luke Mulholland","ENG","Wilmington Hammerheads","9"
"6","Andriy Budnyy","UKR","Wilmington Hammerheads","8"
"6","Jamie Watson","USA","Orlando City","8"
"6","Andrew Welker","USA","Harrisburg City Islanders","8"
"9","Chris Banks","USA","Wilmington Hammerheads","7"
"9","Sallieu Bundu","SLE","Charlotte Eagles","7"
"9","George Davis IV","USA","Dayton Dutch Lions","7"
"9","Sainey Touray","GAM","Harrisburg City Islanders","7"
