"Year","Competition","Venue","Position","Notes"
"1991","European Junior Championships","Thessaloniki, Greece","10th","4.90 m"
"1992","World Junior Championships","Seoul, South Korea","1st","5.45 m"
"1996","European Indoor Championships","Stockholm, Sweden","14th (q)","5.45 m"
"1996","Olympic Games","Atlanta, United States","23rd (q)","5.40 m"
"1997","World Championships","Athens, Greece","27th (q)","5.30 m"
"1998","European Championships","Budapest, Hungary","10th","5.40 m"
"2000","European Indoor Championships","Ghent, Belgium","13th (q)","5.20 m"
"2001","Universiade","Beijing, PR China","3rd","5.60 m"
"2005","European Indoor Championships","Madrid, Spain","15th (q)","5.40 m"
"2006","World Indoor Championships","Moscow, Russia","14th (q)","5.45 m"
"2006","European Championships","Gothenburg, Sweden","8th","5.50 m"
