"Plant Name","Location","Country","Startup Date","Capacity (mmtpa)","Corporation"
"Qatargas II","Ras Laffan","Qatar","2009","7.8",""
"Arzew GL4Z","","Algeria","1964","0.90",""
"Arzew GL1Z","","Algeria","1978","",""
"Arzew GL1Z","","Algeria","1997","7.9",""
"Skikda GL1K","","Algeria","1972","",""
"Skikda GL1K","","Algeria","1981","",""
"Skikda GL1K","","Algeria","1999","6.0",""
"Angola LNG","Soyo","Angola","2013","5.2","Chevron"
"Lumut 1","","Brunei","1972","7.2",""
"Badak A-B","Bontang","Indonesia","1977","",""
"Badak A-D","Bontang","Indonesia","1986","",""
"Badak A-E","Bontang","Indonesia","1989","",""
"Badak A-F","Bontang","Indonesia","1993","",""
"Badak A-G","Bontang","Indonesia","1998","",""
"Badak NGL A-H","Bontang","Indonesia","1999","22.6",""
"Atlantic LNG","Point Fortin","Trinidad and Tobago","1999","","Atlantic LNG"
"[Atlantic LNG]","[Point Fortin]","Trinidad and Tobago","2003","9.9","Atlantic LNG"
"","Damietta","Egypt","2004","5.5","Segas LNG"
"","Idku","Egypt","2005","7.2",""
"Bintulu MLNG 1","","Malaysia","1983","7.6",""
"Bintulu MLNG 2","","Malaysia","1994","7.8",""
"Bintulu MLNG 3","","Malaysia","2003","3.4",""
"Nigeria LNG","","Nigeria","1999","23.5",""
"Northwest Shelf Venture","Karratha","Australia","2009","16.3",""
"Withnell Bay","Karratha","Australia","1989","",""
"Withnell Bay","Karratha","Australia","1995","(7.7)",""
"Sakhalin II","","Russia","2009","9.6.",""
"Yemen LNG","Balhaf","Yemen","2008","6.7",""
"Tangguh LNG Project","Papua Barat","Indonesia","2009","7.6",""
"Qatargas I","Ras Laffan","Qatar","1996","(4.0)",""
"Qatargas I","Ras Laffan","Qatar","2005","10.0",""
"Qatargas III","","Qatar","2010","7.8",""
"Rasgas I, II and III","Ras Laffan","Qatar","1999","36.3",""
"Qalhat","","Oman","2000","7.3",""
"Das Island I","","United Arab Emirates","1977","",""
"Das Island I and II","","United Arab Emirates","1994","5.7",""
"Melkøya","Hammerfest","Norway","2007","4.2","Statoil"
