"","Name on the Register","Date listed","Location","City or town","Summary"
"1","Academy of the Sacred Heart","June 25, 1987
(#87001061)","171 Lake Shore Dr.
42°23′35″N 82°53′37″W﻿ / ﻿42.393056°N 82.893611°W","Grosse Pointe Farms","This school was established in 1887 as a boarding school for young ladies by the Religious of the Sacred Heart, an order of cloistered nuns. It is now run as an independent day school, known as the Grosse Pointe Academy, by a lay Board of Trustees who continue the educational mission of the school."
"2","Russell A. Alger, Jr. House","July 8, 1982
(#82002917)","32 Lake Shore Dr.
42°23′13″N 82°53′50″W﻿ / ﻿42.386944°N 82.897222°W","Grosse Pointe Farms","The Russell A. Alger, Jr. House was built in 1910 and served as the family home of Russell A. Alger Jr. until 1949, when it was donated to the community and dedicated to the memory of veterans and soldiers of World War II. It was rechristened the Grosse Pointe War Memorial, and is also known as The Moorings."
"3","Annapolis Park Historic District","May 18, 2006
(#06000405)","Julius, Matthew, Hanover, Farnum, Alan, and Paul
42°16′14″N 83°19′59″W﻿ / ﻿42.270556°N 83.333056°W","Westland","During World War II, the African-American population in Detroit ballooned to 300,000 residents, but housing covenants, overpriced rent, and other forms of discrimination restricted where they could live. Julius and William Schwartz platted the Annapolis Park suburb in Westland in 1953 specifically for African-Americans."
"4","Henry W. Baker House","April 22, 1982
(#82002922)","233 S. Main St.
42°22′19″N 83°28′03″W﻿ / ﻿42.371944°N 83.4675°W","Plymouth","This house was built for Henry W. Baker, president of the Plymouth Iron Windmill Company, which in 1888 introduced the Daisy air rifle and later changed its name to the Daisy Manufacturing Company. The house is of a fanciful Italianate design, likely based on an illustration in a pattern book. The house was a landmark in Plymouth because of the unusual tower, shaped like a pagoda, atop the mansard roof."
"5","Tivadar and Dorothy Balogh House","September 30, 2013
(#13000800)","49800 Joy Road (Plymouth Township)
42°21′02″N 83°31′52″W﻿ / ﻿42.350548°N 83.531141°W","Cherry Hill vicinity","The Tivadar and Dorothy Balogh House was constructed in 1958-59 by architect Tividar Balogh for himself, his wife, Dorothy and their family. The house is a two-story cubic structure, clad in redwood siding. The house sits on a partial basement on one side and support posts on the other side. The section beneath the house was originally open; the space beneath gives the house an impressive \"lightness\" and makes it appear to hover above the landscape."
"6","Thomas and Maria Blackman Bartlett House","June 2, 2000
(#00000614)","500 N. Ridge Rd. (Canton Township)
42°18′30″N 83°32′05″W﻿ / ﻿42.308333°N 83.534722°W","Cherry Hill","The Thomas and Maria Blackman Bartlett House (also known as the Bartlett-Travis House) was originally constructed c. 1840 in a Greek Revival style, but in subsequent years has been updated with Victorian elements. In 1989, the house was moved to its current location and placed on a new foundation. Restoration work was begun in 1994 and finished in 2002."
"7","Beverly Road Historic District","April 7, 1995
(#94001428)","23-45 Beverly Rd.
42°23′18″N 82°54′06″W﻿ / ﻿42.388333°N 82.901667°W","Grosse Pointe Farms","The Beverly Road Historic District covers the original area of the Beverly Park Subdivision, platted by Henry B. Joy in 1911. The district was one of the earliest upper-class subdivisions in the Grosse Pointes, and marked the change of the area from a farming and summer-home community into an upscale year-round community."
"8","David and Elizabeth Bell Boldman House","June 2, 2000
(#00000615)","3339 S. Canton Center Rd. (Canton Township)
42°16′54″N 83°29′09″W﻿ / ﻿42.281667°N 83.485833°W","Sheldon","The David and Elizabeth Bell Boldman House was a basilica-style Greek Revival with a two-story center section flanked by single-story wings. The former site of the house is now vacant."
"9","Benjamin and Mary Ann Bradford House","June 9, 2000
(#00000648)","48145 Warren Rd.
42°20′07″N 83°30′54″W﻿ / ﻿42.335278°N 83.515°W","Canton","In 1825, Moses Bradford moved to Canton Township, one of the first settlers to stake a claim in the area. The following year, Aruna and Mary Bradford, Moses's parents, followed their son to Canton Township. On arrival, they bought the property this house now sits on; in 1835 they sold the parcel to their other son, Benjamin. In 1860, Benjamin built the house that now stands on the property; it remained in the Bradford family until 1911."
"10","Jos. Campau Historic District","October 17, 2012
(#12000870)","Bounded by Holbrook, Pulaski, Casmere, & Lehman Sts.
42°23′55″N 83°03′32″W﻿ / ﻿42.39852°N 83.058922°W","Hamtramck","The Jos. Campau Historic District contains a unique collection of early 20th century commercial architecture, constructed as Hamtramck expanded in the wake of the 1915 opening of the nearby Dodge Main Plant."
"11","Cherry Hill Historic District","April 2, 2003
(#03000176)","Cherry Hill and Ridge Rds.
42°18′17″N 83°32′20″W﻿ / ﻿42.304722°N 83.538889°W","Canton Township","The Cherry Hill Historic District contains buildings on Cherry Hill and Ridge Roads in the unincorporated crossroads community of Cherry Hill. CHerry Hill was established in 1825, and the district includes the Italianate Cherry Hill House inn, the Gothic Revival Cherry Hill United Methodist Church and associated cemetery, the Cherry Hill School, the Thomas and Maria Blackman Bartlett House, the Thomas and Isabella Moore Clyde House, and buildings used for one of Henry Ford's Village industry projects."
"12","Christ Church Chapel","September 10, 1993
(#93000424)","61 Grosse Pointe Rd.
42°23′29″N 82°54′03″W﻿ / ﻿42.391389°N 82.900833°W","Grosse Pointe Farms","The Grosse Pointe Episcopal congregation began as a branch of Christ Church Detroit in 1923. This building, completed in 1930, was initially referred to as a \"chapel,\" because it was intended to be one element of a larger building. The Neo-Gothic chapel is built in a Latin cross configuration with a 50-foot (15 m) tower at one corner."
"13","Thomas and Isabella Moore Clyde House","April 2, 2003
(#03000175)","50325 Cherry Hill Rd.
42°18′21″N 83°32′07″W﻿ / ﻿42.305833°N 83.535278°W","Canton Township","The Thomas Clyde House is a 1 1⁄2-story clapboard upright and wing Greek Revival house with an unusual asymmetrical facade. It was built c. 1845, and moved from its original location across the street to its present location in 1924."
"14","Commandant's Quarters","October 15, 1970
(#70000286)","21950 Michigan Ave.
42°18′23″N 83°14′38″W﻿ / ﻿42.306389°N 83.243889°W","Dearborn","The Commandant's Quarters was built in 1833 as part of the Detroit Arsenal, which was relocated from Detroit due to fear that the stored explosives would endanger the city's population. It is the oldest building in Dearborn still located on its original site, and is considered to be one of the seven most significant buildings in Michigan."
"15","Charles G. Curtiss Sr. House","December 2, 1993
(#93001350)","168 S. Union St.
42°22′19″N 83°27′58″W﻿ / ﻿42.371944°N 83.466111°W","Plymouth","This house is a two-story wood-framed house sitting on a fieldstone foundation. It was built in approximately 1890 by Charles G. Curtiss Sr., a builder from Plymouth. The form of the house (a gabled ell with tower) had been poplar regionally and nationally since the 1850s, but by the time this house was built was much out of fashion."
"16","Dearborn Inn and Colonial Homes","December 10, 1982
(#82000549)","20301 Oakwood Blvd.
42°17′48″N 83°13′41″W﻿ / ﻿42.296667°N 83.228056°W","Dearborn","The Dearborn Inn, was conceived by Henry Ford, who saw a need for food and accommodations for visitors flying into the nearby Ford Airport. The Inn was designed by architect Albert Kahn, and upon its opening in 1931 became the first airport hotel in the country."
"17","Defer Elementary School","May 2, 2001
(#01000458)","15425 Kercheval
42°23′00″N 82°56′07″W﻿ / ﻿42.383336°N 82.935183°W","Grosse Pointe Park","In 1921, in response to the influx of families, five school districts in what is now the Grosse Pointe area were consolidated into Rural Agricultural District No. 1 (later renamed the Grosse Pointe Public School System). The first building constructed after consolidation was Defer Elementary School, built on the site of a rhubarb patch owned by Ludwig Meininger."
"18","Paul Harvey Deming House","July 25, 1996
(#96000811)","111 Lake Shore Rd.
42°23′30″N 82°53′40″W﻿ / ﻿42.391667°N 82.894444°W","Grosse Pointe Farms","This house was a 15,000-square-foot (1,400 m2), 2 1⁄2-story Tudor Revival built in the shape of a U. It was built for Paul Harvey Deming, Chairman of the Board of the George Worthington Company. The house was demolished in 1997."
"19","Phillip and Maria Hasselbach Dingledey House","June 2, 2000
(#00000616)","1638 N. Haggerty Rd. (Canton Township)
42°19′06″N 83°26′55″W﻿ / ﻿42.318333°N 83.448611°W","Westland","The Phillip and Maria Hasselbach Dingledey House was an upright and wing style farmhouse with a relatively unusual double upright. The house is no longer at its listed location; a small commercial complex now occupies the site."
"20","East River Road Historic District","August 13, 1974
(#74001003)","East River Rd. near the Grosse Ile Parkway
42°07′33″N 83°08′30″W﻿ / ﻿42.125833°N 83.141667°W","Grosse Ile","This district includes several Gothic Revival mansions built in the 1850s, St. James Episcopal Church (also on the Register) and the Michigan Central Railroad Depot."
"21","East River Road – North Hickory Canal Bridge","February 4, 2000
(#00000042)","E. River Rd. over N. Hickory Canal
42°05′46″N 83°09′02″W﻿ / ﻿42.096111°N 83.150556°W","Grosse Ile","The East River Road – North Hickory Canal Bridge is 64 feet (20 m) continuous concrete slab bridge. Wayne County used this type of bridge in the years during and after World War II, presumably because of the difficulty of obtaining steel during these years."
"22","John and Emma Lacey Eberts House","July 16, 2009
(#09000524)","109 Vinewood Ave.
42°12′27″N 83°09′02″W﻿ / ﻿42.207372°N 83.1506°W","Wyandotte","In 1872, John Eberts Jr. married Emma Lacey, and that same year the couple hired Raphael R. Thomas to build this house."
"23","Orson Everitt House","October 14, 1980
(#80001933)","39040 W. Seven Mile Rd.
42°25′31″N 83°25′47″W﻿ / ﻿42.425278°N 83.429722°W","Livonia","This irregularly massed Queen Anne features a broad porch and a circular turret. It is likely the design of the house was selected from a house plan book; a similar house plan can be found in Herbert C. Chivers' Artistic Homes."
"24","Fair Lane","November 13, 1966
(#66000399)","4901 Evergreen Rd.
42°18′58″N 83°14′08″W﻿ / ﻿42.316111°N 83.235556°W","Dearborn","Fair Lane was Henry and Clara Ford's estate in Dearborn, Michigan. It was named after an area in County Cork where Ford's adoptive grandfather, Patrick Ahern, was born. The extensive 1300 acre (5.3 km²) estate along the River Rouge included a large limestone house, electrical power plant on the dammed river, boathouse, stables and gardens designed by Jens Jensen. The estate was eventually donated to the University of Michigan for a new Dearborn campus."
"25","Ferry Street – Thorofare Canal Bridge","February 18, 2000
(#00000118)","Ferry St. over Thorofare Canal
42°08′17″N 83°09′23″W﻿ / ﻿42.138056°N 83.156389°W","Grosse Ile","The Ferry Street-Thorofare Canal Bridge is a good representative example of a continuous concrete slab, used by the Wayne County Road Commission during World War II and immediately after, presumably due to the difficulty of obtaining steel."
"26","First United Methodist Church","August 3, 1982
(#82002918)","16300 Woodward Ave.
42°24′55″N 83°06′11″W﻿ / ﻿42.415278°N 83.103056°W","Highland Park","In 1868, a frame chapel for interdenominational services was built behind where the First United Methodist Church currently stands. The site went through different hands, and in 1916, the Methodist congregation built the present Gothic church. In 1956, the original frame chapel behind the present church was demolished. Since 1995, Soul Harvest Ministries has operated from the building."
"27","John and Edna Truesdell Fischer Farmstead","June 2, 2000
(#00000617)","4896–5228 S. Sheldon Rd. (Canton Township)
42°16′10″N 83°28′36″W﻿ / ﻿42.269444°N 83.476667°W","Sheldon","This farmstead includes an 1897 Queen Anne house built by the children of German immigrants, as well as a 1945 ranch house, 18 greenhouses, a boiler house, a modern garage, and the remnants of a barn and silo."
"28","Ford River Rouge Complex","June 2, 1978
(#78001516)","3001 Miller Rd.
42°18′08″N 83°09′52″W﻿ / ﻿42.302222°N 83.164444°W","Dearborn","This complex is a Ford Motor Company automobile factory complex located along the Rouge River. Construction on the plant began in 1917, and when it was completed in 1928 it had become the largest integrated factory in the world. The Rouge measures 1.5 miles (2.4 km) wide by 1 mile (1.6 km) long, including 93 buildings with nearly 16 million square feet (1.5 km2) of factory floor space."
"29","Ford Valve Plant","August 1, 1995
(#95000866)","235 E. Main St.
42°25′56″N 83°28′40″W﻿ / ﻿42.432222°N 83.477778°W","Northville","The Ford Valve Plant was the first of Henry Ford's \"Village Industries\" factories, designed to bring the economic advantages of industrial jobs to rural communities through the establishment of decentralized, non-disruptive manufacturing plants."
"30","Henry Ford Square House","November 25, 1980
(#80001932)","29835 Beechwood Ave.
42°19′37″N 83°20′07″W﻿ / ﻿42.326944°N 83.335278°W","Garden City","The Henry Ford Square House (also known as the Henry Ford Honeymoon House) is a four-room house built by hand by Henry Ford soon after his marriage, using timber cut on the property and finished in the sawmill he operated. Henry's wife Clara drew the plans for the house, and the couple moved in during June 1889, 14 months after they were married."
"31","Ford-Bacon House","December 1, 1997
(#97001476)","45 Vinewood
42°12′26″N 83°08′54″W﻿ / ﻿42.207222°N 83.148333°W","Wyandotte","In 1897, Edward Ford (also the builder of the George P. MacNichol House across the street) hired Malcomson & Higginbotham to design this house for himself and his wife Carrie. Ford lived in the house only a short time, and in 1902, his daughter Mary Ford Bacon and her husband Mark R. Bacon moved in, residing in the house until 1942. The house is now used as the Bacon Memorial District Library."
"32","Gibraltar Road – Waterway Canal Bridge","February 10, 2000
(#00000082)","Gibraltar Rd. over Waterway Canal
42°05′42″N 83°11′26″W﻿ / ﻿42.095°N 83.190556°W","Gibraltar","The Gibraltar Road Bridge is an unusual reinforced-concrete cantilevered-arch bridge. After construction, the Wayne County Road Commissioners noted that \"this low sweeping arch bridge is in keeping with its surroundings and is one of the features which make Gibraltar Road so attractive.\""
"33","Grace Evangelical Lutheran Church","August 3, 1982
(#82002919)","12375 Woodward Ave.
42°23′52″N 83°05′32″W﻿ / ﻿42.397778°N 83.092222°W","Highland Park","Grace Evangelical Lutheran Church was originally a mission on the west side of Detroit, and the congregation worshipped in built a frame Victorian Gothic chapel (built for the Highland Park Presbyterian Church congregation) one block south of the current site. The present cathedral was built from 1929 to 1930, and was used by the congregation until 1979, when the Grace Evangelical congregation sold their church building to an Apostolic African-American congregation, the Prayer Temple of Love Cathedral."
