"Year","Host / Location","Division I Overall","Division I Undergraduate","Division II Overall","Division II Community College"
"1997","Penn","Chicago","N/A","N/A","N/A"
"1998","Vanderbilt","Stanford","Swarthmore","Harvard","N/A"
"1999","Michigan","Chicago","Carleton","Princeton","N/A"
"2000","Boston U","Illinois","Princeton","Harvard","N/A"
"2001","Washington, St. Louis","Chicago","Princeton","Pittsburgh","N/A"
"2002","North Carolina","Michigan","Princeton","Yale","Valencia CC"
"2003","UCLA and Caltech","Chicago","Harvard","Berkeley","Valencia CC"
"2004","Washington, St. Louis","Cal-Berkeley","Illinois","UCLA","Valencia CC"
"2005","Tulane","Michigan","VA Commonwealth","Chicago","Faulkner St CC"
"2006","Maryland","Cal-Berkeley","Williams College","Stanford","Broward CC"
"2007","Minnesota","Chicago","Carleton","Maryland","Valencia CC"
"2008","Washington, St. Louis","Maryland","Harvard","Carleton","Valencia CC"
"2009","Dallas, Texas","Chicago","Minnesota","Chicago","Northeast Alabama CC"
"2010","Chicago, Illinois","Chicago","Minnesota","Brown","St. Charles CC"
"2011","Chicago, Illinois","Minnesota","VCU","Yale","Chipola"
"2012","Chicago, Illinois","Virginia","Ohio State","Harvard","Chipola"
"2013","Chicago, Illinois","Yale","Ohio State","Stanford","Chipola"
"2014","Chicago, Illinois","Virginia","Yale","Harvard","Valencia"
