Occasion #	Location	Date	Gold	Time	Silver	Time	Bronze	Time	Report
1	Chelyabinsk, Russia	18 November	Pekka Koskela\n Finland	35.00	Jan Smeekens\n Netherlands	35.01	Yūya Oikawa\n Japan	35.07	[1]
1	Chelyabinsk, Russia	19 November	Joji Kato\n Japan	34.92	Mo Tae-bum\n South Korea	35.01	Yūya Oikawa\n Japan	35.14	[2]
2	Astana, Kazakhstan	25 November	Mo Tae-bum\n South Korea	34.89	Tucker Fredricks\n United States	34.94	Stefan Groothuis\n Netherlands	35.01	[3]
2	Astana, Kazakhstan	26 November	Jan Smeekens\n Netherlands	35.05	Mo Tae-bum\n South Korea	35.06	Tucker Fredricks\n United States	35.19	[4]
3	Heerenveen, Netherlands	2 December	Tucker Fredricks\n United States	34.98	Joji Kato\n Japan	35.07	Mo Tae-bum\n South Korea	35.08	[5]
3	Heerenveen, Netherlands	3 December	Pekka Koskela\n Finland	35.01	Joji Kato\n Japan	35.02	Jesper Hospes\n Netherlands	35.06	[6]
4	Salt Lake City, United States	21 January	Keiichiro Nagashima\n Japan	34.37	Jan Smeekens\n Netherlands	34.40	Tucker Fredricks\n United States	34.45	[7]
4	Salt Lake City, United States	22 January	Dmitry Lobkov\n Russia	34.54	Keiichiro Nagashima\n Japan	34.57	Tucker Fredricks\n United States	34.60	[8]
6	Heerenveen, Netherlands	2 March	Dmitry Lobkov\n Russia	35.11	Hein Otterspeer\n Netherlands	35.14	Keiichiro Nagashima\n Japan	35.20	[9]
6	Heerenveen, Netherlands	3 March	Tucker Fredricks\n United States	35.05	Michel Mulder\n Netherlands	35.12	Joji Kato\n Japan	35.16	[10]
7	Berlin, Germany	9 March	Jamie Gregg\n Canada	35.06	Pekka Koskela\n Finland	35.07	Mo Tae-bum\n South Korea	35.17	[11]
7	Berlin, Germany	10 March	Michel Mulder\n Netherlands	35.01	Mo Tae-bum\n South Korea	35.04	Jan Smeekens\n Netherlands	35.08	[12]
