Name	type	elevation\n(ground station)	elevation\n(mountain station)	slope length	capacity\n(persons/hour)	construction year
Fiesch- -alp 1+2	cable car	1074	2227	2940	800	1973
Fiesch- -alp 3+4	cable car	1071	2221	2937	270	1966
Fiescheralp-Eggishorn	cable car	2225	2879	1836	495	1968
Heimat	chairlift	1858	2301	1144	1400	2000
Talegga	chairlift	2208	2727	1782	2200	2010
Flesch	chairlift	2208	2630	1357	2400	1993
Trainer 1	surface lift	2206	2264	218	1200	1987
Trainer 2	surface lift	2206	2264	218	1200	1987
Laxeralp 1	surface lift	2135	2179	396	1100	1981
Laxeralp 2	surface lift	2179	2280	394	1214	1981
