kōhaku #date#red team host#white team host#mediator#winning team
1#3 january 1951#michiko katō#shuuichi fujikura#masaharu tanabe#white
2#3 january 1952#kiyoko tange#shuuichi fujikura#masaharu tanabe#white
3#2 january 1953#suga honda#teru miyata#masayori shimura#white
4#31 december 1953#takiko mizunoe#keizo takahashi#seigoro kitade#red
5#31 december 1954#natsue fukuji#keizo takahashi#shōzaburō ishii#red
6#31 december 1955#teru miyata#keizo takahashi#shōzaburō ishii#red
7#31 december 1956#teru miyata#keizo takahashi#shōzaburō ishii#white
8#31 december 1957#takiko mizunoe#keizo takahashi#shōzaburō ishii#red
9#31 december 1958#tetsuko kuroyanagi#keizo takahashi#shōzaburō ishii#red
10#31 december 1959#meiko nakamura#keizo takahashi#shōzaburō ishii#red
11#31 december 1960#meiko nakamura#keizo takahashi#shōzaburō ishii#white
12#31 december 1961#meiko nakamura#keizo takahashi#toshiaki hosaka#white
13#31 december 1962#mitsuko mori#teru miyata#shōzaburō ishii#white
14#31 december 1963#eri chiemi#teru miyata#shōzaburō ishii#red
15#31 december 1964#eri chiemi#teru miyata#shōzaburō ishii#white
16#31 december 1965#michiko hayashi#teru miyata#shōzaburō ishii#white
17#31 december 1966#peggy hayama#teru miyata#shōzaburō ishii#red
18#31 december 1967#yumiko kokonoe#teru miyata#shōzaburō ishii#red
19#31 december 1968#kiyoko suizenji#kyu sakamoto#teru miyata#white
20#31 december 1969#yukari ito#kyu sakamoto#teru miyata#red
21#31 december 1970#hibari misora#teru miyata#shizuo yamakawa#red
22#31 december 1971#kiyoko suizenji#teru miyata#shizuo yamakawa#white
23#31 december 1972#naomi sagara#teru miyata#shizuo yamakawa#red
24#31 december 1973#kiyoko suizenji#teru miyata#shizuo yamakawa#red
25#31 december 1974#naomi sagara#shizuo yamakawa#masao domon & yōzō nakae#red
26#31 december 1975#naomi sagara#shizuo yamakawa#hiroshi aikawa#white
27#31 december 1976#naomi sagara#shizuo yamakawa#hiroshi aikawa#red
28#31 december 1977#naomi sagara#shizuo yamakawa#hiroshi aikawa#white
29#31 december 1978#mitsuko mori#shizuo yamakawa#hiroshi aikawa#white
30#31 december 1979#kiyoko suizenji#shizuo yamakawa#yōzō nakae#red
31#31 december 1980#tetsuko kuroyanagi#shizuo yamakawa#yōzō nakae#red
32#31 december 1981#tetsuko kuroyanagi#shizuo yamakawa#keiichi ubukata#white
33#31 december 1982#tetsuko kuroyanagi#shizuo yamakawa#keiichi ubukata#red
34#31 december 1983#tetsuko kuroyanagi#kenji suzuki#tamori#white
35#31 december 1984#mitsuko mori#kenji suzuki#keiichi ubukata#red
36#31 december 1985#masako mori#kenji suzuki#masaho senda#red
37#31 december 1986#yuki saito & yoriko mekata#yūzō kayama & masaho senda#seiichi yoshikawa#white
38#31 december 1987#akiko wada#yūzō kayama#seiichi yoshikawa#red
39#31 december 1988#akiko wada#yūzō kayama#keiko sugiura#white
40#31 december 1989#yoshiko mita#tetsuya takeda#sadatomo matsudaira#red
41#31 december 1990#yoshiko mita#toshiyuki nishida#sadatomo matsudaira#white
42#31 december 1991#yūko ayano#masaaki sakai#shizuo yamakawa#red
43#31 december 1992#hikari ishida#masaaki sakai#shizuo yamakawa#white
44#31 december 1993#hikari ishida#masaaki sakai#miyuki morita#white
45#31 december 1994#emiko kaminuma#ichiro furutachi#yasuo miyakawa#red
46#31 december 1995#emiko kaminuma#ichiro furutachi#ryūji miyamoto & mitsuyo kusano#white
47#31 december 1996#takako matsu#ichiro furutachi#ryūji miyamoto & mitsuyo kusano#white
48#31 december 1997#akiko wada#masahiro nakai#ryūji miyamoto#white
49#31 december 1998#junko kubo#masahiro nakai#ryūji miyamoto#red
50#31 december 1999#junko kubo#nakamura kankurō v#ryūji miyamoto#white
51#31 december 2000#junko kubo#motoya izumi#ryūji miyamoto#red
52#31 december 2001#yumiko udō#wataru abe#tamio miyake#white
53#31 december 2002#yumiko udō#wataru abe#tamio miyake#red
54#31 december 2003#yumiko udō & takako zenba#wataru abe & tetsuya takayama#tōko takeuchi#white
55#31 december 2004#fumie ono#wataru abe#masaaki horio#red
57#31 december 2006#yukie nakama#masahiro nakai#tamio miyake & megumi kurosaki#white
58#31 december 2007#masahiro nakai#tsurube shōfukutei#kazuya matsumoto & miki sumiyoshi#white
59#31 december 2008#yukie nakama#masahiro nakai#kazuya matsumoto#white
60#31 december 2009#yukie nakama#masahiro nakai#wataru abe#white
61#31 december 2010#nao matsushita#arashi#wataru abe#white
62#31 december 2011#mao inoue#arashi#wataru abe#red
