#week 1#week 2#week 3#week 4#week 5
january#mackenzie ryan#kelli peters#meagan radelat#kimberly holland #[month ended]
february#rochelle loewen#rebecca roozrokh#andrea marin#j'tia taylor#[month ended]
march#jenny gable#claudia costa#crystal lee#meagan rose campbell#natalie taylor
april#carrie ann beckett#amy sue cooper #amanda renae#summer ehly#[month ended]
may#masha christensen#tiffany logan#cynthia lea#hollie winnard#elizabeth primeaux
june#mandy ashford#tiffani hollowell#jessica kramer#danielle gamba #[month ended]
july#sheila levell#tanya sue#paula larocca#araya robinson#[month ended]
august#marie thompson#misty dawn#amy robinson#alexis tyler#kate marie
september#brandy canada#christina carson#vivian le brock#amy mccarthy #[month ended]
october#julia marie#jeniffer silva#brenda jones#carrie minter#[month ended]
november#yumi lee#nicole kelley#trista ashley#christina linehan#alex chanler
