rank#heat & lane#name#nationality#time
1#h14 - l5#kosuke kitajima#japan#00: 59.96
2#h15 - l5#alexander dale oen#norway#1:00.34
3#h16 - l4#brendan hansen#usa#1:00.59
4#h09 - l4#giedrius titenis#lithuania#1:00.92
5#h14 - l4#oleg lisogor#ukraine#1:00.99
6#h14 - l3#james gibson#great britain#1:01.03
7#h14 - l3#valeriy dymo#ukraine#1:01.06
7#h15 - l4#brenton rickard#australia#1:01.06
9#h16 - l3#hugues duboscq#france#1:01.08
10#h12 - l2#cameron van der burgh#south africa#1:01.12
11#h11 - l4#mihail alexandrov#bulgaria#1:01.15
12#h16 - l2#scott usher#usa#1:01.36
13#h16 - l6#chris cook#great britain#1:01.49
14#h15 - l7#alessandro terrin#italy#1:01.61
15#h14 - l2#dmitry komornikov#russia#1:01.66
16#h16 - l5#roman sloudnov#russia#1:01.69
16#h15 - l8#robin van aggele#netherlands#1:01.69
18#h16 - l1#mike brown#canada#1:01.75
19#h12 - l4#glenn snyders#new zealand#1:01.91
20#h11 - l3#jiri jedlicka#czech republic#1:01.92
21#h16 - l7#edoardo giorgetti#italy#1:01.95
22#h15 - l6#makoto yamashita#japan#1:02.08
23#h14 - l8#henrique barbosa#brazil#1:02.13
24#h13 - l1#lai zhongjian#china#1:02.18
25#h15 - l1#valentin preda#romania#1:02.19
26#h15 - l2#richárd bodor#hungary#1:02.28
27#h13 - l2#jim piper#australia#1:02.36
28#h14 - l1#johannes neumann#germany#1:02.50
29#h13 - l8#sławomir wolniak#poland#1:02.50
30#h14 - l7#felipe lima#brazil#1:02.58
31#h12 - l5#maxim podoprigora#austria#1:02.71
31#h12 - l8#thabang moeketsane#south africa#1:02.71
33#h11 - l5#mladen tepavčević#serbia#1:02.80
33#h13 - l4#sławomir kuczko#poland#1:02.80
35#h12 - l1#chris boe christensen#denmark#1:02.83
36#h16 - l8#emil tahirovič#slovenia#1:02.85
37#h13 - l6#jakob jóhann sveinsson#iceland#1:02.91
38#h11 - l6#edvinas dautartas#lithuania#1:03.07
39#h10 - l6#sofiane daid#algeria#1:03.09
40#h12 - l6#dániel gyurta#hungary#1:03.33
41#h13 - l5#wang haibo#china#1:03.38
42#h12 - l7#malick fall#senegal#1:03.42
43#h10 - l7#tomas fucik#czech republic#1:03.44
44#h15 - l3#romanos iasonas alyfantis#greece#1:03.51
45#h11 - l2#mikalai vasilyeu#belarus#1:03.62
46#h12 - l3#yevgeniy ryzhkov#kazakhstan#1:03.70
47#h10 - l2#tom be'eri#israel#1:03.72
47#h10 - l1#michael malul#israel#1:03.72
49#h11 - l8#alwin de prins#luxembourg#1:04.00
50#h11 - l7#martti aljand#estonia#1:04.13
51#h13 - l7#matjaž markič#slovenia#1:04.20
52#h09 - l3#sujong sin#south korea#1:04.31
53#h10 - l3#hsin hung chiang#chinese taipei#1:04.49
54#h09 - l6#dean kent#new zealand#1:04.51
55#h10 - l4#nikola delic#croatia#1:04.58
56#h9 - l5#andrei capitanciuc#moldova#1:04.76
57#h10 - l8#dimitri waeber#switzerland#1:04.80
58#h07 - l6#wael kobrosly#lebanon#1:04.83
59#h08 - l1#vidvuds maculevics#latvia#1:05.36
60#h11 - l1#wei wen wang#chinese taipei#1:05.38
61#h09 - l7#sergiu postica#moldova#1:05.45
62#h09 - l2#mohammad alirezaei#iran#1:05.64
63#h07 - l3#radomyos matjiur#thailand#1:05.70
64#h08 - l2#diego bonilla#colombia#1:05.75
65#h09 - l8#herry yudhianto#indonesia#1:05.81
66#h09 - l1#andrei cross#barbados#1:05.91
67#h08 - l4#edgar robert crespo#panama#1:06.00
68#h07 - l4#rainui terupaia#tahiti#1:06.10
69#h08 - l5#jin leonard tan#singapore#1:06.14
70#h08 - l6#andrey morkovin#uzbekistan#1:06.46
70#h08 - l7#billy arfianto#indonesia#1:06.46
72#h10 - l5#kirils sanzarovecs#latvia#1:06.65
73#h07 - l1#kevin hensley#virgin islands#1:06.86
74#h06 - l7#josh laban#virgin islands#1:07.28
75#h08 - l3#gerard bordado#philippines#1:07.37
76#h08 - l8#kee guan benjamin ng#singapore#1:07.92
77#h06 - l5#milan glamocic#bosnia and herzegovina#1:07.99
78#h07 - l7#yusuf alyousuf#saudi arabia#1:08.22
79#h07 - l2#mustafa al - saleh#syria#1:08.34
80#h07 - l8#see tuan yap#malaysia#1:08.39
81#h06 - l8#eric williams#nigeria#1:08.77
82#h07 - l5#genaro mathias prono britez#paraguay#1:08.89
83#h06 - l6#erik rajohnson#madagascar#1:09.01
84#h06 - l4#antonio leon candia#paraguay#1:09.32
85#h05 - l4#amar shah#kenya#1:09.67
86#h04 - l5#celestino aguon#guam#1:10.46
87#h06 - l2#chisela kanchela#zambia#1:10.64
88#h05 - l3#melvin chua#malaysia#1:10.65
89#h04 - l4#hei ming lao#macau#1:10.84
90#h03 - l4#boldbaataryn bütekh - uils#mongolia#1:11.06
91#h05 - l1#rodion davelaar#netherlands antilles#1:11.38
92#h04 - l7#omar jasim#brunei#1:11.38
93#h05 - l5#alexander rivero#bolivia#1:11.62
94#h06 - l1#osama al araj#qatar#1:11.73
95#h05 - l7#aram nazaryan#armenia#1:12.21
96#h05 - l8#jehad al henidi#jordan#1:12.72
97#h04 - l8#guvanch ataniyazov#turkmenistan#1:13.12
98#h04 - l1#eric artur medina su#panama#1:13.17
99#h05 - l2#onan thom#guyana#1:13.62
100#h04 - l6#kevin cheung ho yan#mauritius#1:13.87
101#h04 - l2#gavin sants#gibraltar#1:13.88
102#h05 - l6#jamie zammitt#gibraltar#1:14.43
103#h02 - l3#a. aldhaheri#united arab emirates#1:15.93
104#h03 - l6#eli ebenezer wong#northern mariana islands#1:15.95
105#h03 - l2#julio smith#seychelles#1:16.55
