ngc number#object type#constellation#right ascension ( j2000 )#declination ( j2000 )
3310#spiral galaxy#ursa major#10h38m45.9s#°30′12″
3311#elliptical galaxy#hydra#10h36m43.3s#°31′41″
3312#spiral galaxy#hydra#10h37m02.3s#°33′54″
3314#spiral galaxy occulted by another spiral galaxy#hydra#10h37m12.8s#°41′04″
3344#spiral galaxy#leo minor#10h43m31.1s#°55′20″
3351#spiral galaxy#leo#10h43m57.7s#°42′13″
3359#spiral galaxy#ursa major#10h46m36.6s#°13′25″
3368#spiral galaxy#leo#10h46m45.8s#°49′10″
3369#lenticular galaxy#hydra#10h46m44.9s#°14′34″
3370#spiral galaxy#leo#10h47m04.2s#°16′23″
3371#lenticular galaxy#leo#10h48m16.9s#°37′43″
3372#diffuse nebula#carina#10h44m19.0s#°53′21″
3379#elliptical galaxy#leo#10h47m49.8s#°34′55″
3384#lenticular galaxy#leo#10h48m16.9s#°37′43″
