season#date#winners#score#runners - up#venue#location
1975 - 76#july 12 , 1976#olympiacos#81 - 69#aek athens#glyfada indoor hall#glyfada , athens
1976 - 77#july 15 , 1977#olympiacos#103 - 88#panionios#panathinaiko stadium#athens
1977 - 78#june 5 , 1978#olympiacos#83 - 72#aek athens#panathinaiko stadium#athens
1978 - 79#june 21 , 1979#panathinaikos#79 - 72#olympiacos#panathinaiko stadium#athens
1979 - 80#july 16 , 1980#olympiacos#85 - 80#aek athens#panathinaiko stadium#athens
1980 - 81#july 17 , 1981#aek athens#84 - 78#iraklis#glyfada indoor hall#glyfada , athens
1981 - 82#june 30 , 1982#panathinaikos#66 - 63#paok#alexandrio melathron#thessaloniki
1982 - 83#april 20 , 1983#panathinaikos#72 - 62#olympiacos#glyfada indoor hall#glyfada , athens
1983 - 84#april 18 , 1984#paok#74 - 70#aris#alexandrio melathron#thessaloniki
1984 - 85#may 9 , 1985#aris#86 - 70#panathinaikos#peace and friendship stadium#piraeus , athens
1985 - 86#april 23 , 1986#panathinaikos#86 - 70#olympiacos#peace and friendship stadium#piraeus , athens
1986 - 87#april 15 , 1987#aris#110 - 70#panellinios#peace and friendship stadium#piraeus , athens
1987 - 88#may 18 , 1988#aris#84 - 71#aek athens#peace and friendship stadium#piraeus , athens
1988 - 89#may 13 , 1989#aris#91 - 86#paok#alexandrio melathron#thessaloniki
1989 - 90#may 21 , 1990#aris#75 - 62#paok#peace and friendship stadium#piraeus , athens
1990 - 91#april 11 , 1991#panionios#73 - 70#paok#peace and friendship stadium#piraeus , athens
1991 - 92#may 13 , 1992#aris#74 - 62#aek athens#peace and friendship stadium#piraeus , athens
1992 - 93#may 15 , 1993#panathinaikos#96 - 89#aris#peace and friendship stadium#piraeus , athens
1993 - 94#may 27 , 1994#olympiacos#63 - 51#iraklis#peace and friendship stadium#piraeus , athens
1994 - 95#march 5 , 1995#paok#72 - 53#panionios#lamia indoor hall#lamia
1995 - 96#march 24 , 1996#panathinaikos#85 - 74#iraklis#patras tofalos arena#patras
1996 - 97#april 13 , 1997#olympiacos#80 - 78#apollon patras#oaka indoor hall#marousi , athens
1997 - 98#february 1 , 1998#aris#71 - 68#aek athens#alexandrio melathron#thessaloniki
1998 - 99#january 31 , 1999#paok#71 - 54#aek athens#peace and friendship stadium#piraeus , athens
1999 - 00#april 2 , 2000#aek athens#59 - 57#panathinaikos#paok sports arena#pylaia , thessaloniki
2000 - 01#april 29 , 2001#aek athens#66 - 64#panathinaikos#oaka indoor hall#marousi , athens
2001 - 02#april 7 , 2002#olympiacos#74 - 66#maroussi#peace and friendship stadium#piraeus , athens
2002 - 03#april 6 , 2003#panathinaikos#81 - 76#aris#larissa neapolis arena#larissa
2003 - 04#february 29 , 2004#aris#73 - 70#olympiacos#lamia indoor hall#lamia
2004 - 05#february 19 , 2005#panathinaikos#72 - 68#aris#lido indoor hall#heraklion
2005 - 06#march 18 , 2006#panathinaikos#68 - 57#maroussi#galatsi arena#galatsi , athens
2006 - 07#march 24 , 2007#panathinaikos#87 - 48#rethymno aegean#oaka indoor hall#marousi , athens
2007 - 08#march 26 , 2008#panathinaikos#81 - 79#olympiacos#helliniko olympic arena#ellinikon , athens
2008 - 09#february 22 , 2009#panathinaikos#80 - 70#olympiacos#helliniko olympic arena#ellinikon , athens
2009 - 10#february 20 , 2010#olympiacos#68 - 64#panathinaikos#helliniko olympic arena#ellinikon , athens
2010 - 11#may 15 , 2011#olympiacos#74 - 68#panathinaikos#helliniko olympic arena#ellinikon , athens
2011 - 12#march 10 , 2012#panathinaikos#71 - 70#olympiacos#helliniko olympic arena#ellinikon , athens
2012 - 13#february 10 , 2013#panathinaikos#81 - 78#olympiacos#helliniko olympic arena#ellinikon , athens
