election#candidate#number of votes#share of votes#outcome of election
1935#manuel l. quezon#695332#67.99%#won
1941#manuel l. quezon#1340 , 320#81.78%#won
1946#sergio osmeña#1129 , 996#45.71%#lost
1949#josé p. laurel#1318 , 330#37.22%#lost
1953#ramon magsaysay#2912 , 992#68.90%#won
1957#carlos p. garcia#2072 , 257#41.28%#won
1961#carlos p. garcia#2902 , 996#44.95%#lost
1965#ferdinand marcos#3861 , 324#51.94%#won
1969#ferdinand marcos#5017 , 343#61.47%#won
1981#alejo santos (roy wing)#1716 , 449#8.25%#lost; main wing boycotted
1986#n / a#n / a#n / a#supported corazon aquino who became president
1992#salvador laurel#770046#3.40%#lost
1998#n / a#n / a#n / a#did not take part
2004#n / a#n / a#n / a#supported gloria macapagal - arroyo who won
2010#manny villar#5573 , 835#15.42%#lost
