branding#callsign#frequency#power (kw)#location
sonshine radio#dzar#1026khz#50kw#metro manila
sonshine radio laoag#dwar#819khz#5kw#laoag
sonshine radio dagupan#dzrd#981khz#5kw#dagupan
sonshine radio tuguegarao#dzyt#765khz#5kw#tuguegarao
sonshine radio ilagan#dzyi#711khz#5kw#ilagan , isabela
sonshine radio santiago#dwsi#864khz#5kw#santiago , isabela
sonshine radio cabanatuan#dway#1332khz#5kw#cabanatuan
sonshine radio san pablo#dzsp#864khz#5kw#san pablo
sonshine radio cebu#dyar#765khz#5kw#cebu
sonshine radio zamboanga#dxyz#963khz#5kw#zamboanga
sonshine radio davao#dxrd#711khz#10kw#davao
kingdom radio#dxaq#1404khz#15kw#davao central
sonshine radio cagayan de oro#dxcl#1098khz#5kw#cagayan de oro
sonshine radio general santos#dxre#837khz#5kw#general santos
sonshine radio cotabato#dxro#945khz#5kw#cotabato
sonshine radio butuan#dxrb#873khz#5kw#butuan
sonshine radio bislig#dxbl#801khz#1kw#bislig
