number#name#position#height#weight#class#hometown
0#sean ogirri#g#6 - 2#200#senior#denver , colorado
1#brad jones#g#6 - 0#170#senior#marked tree , arkansas
5#ryan dermody#f#6 - 8#205#sophomore#loveland , colorado
11#afam muojeke#g / f#6 - 7#198#freshman#jamaica , new york
12#byron geis#g#6 - 3#195#senior#gillette , wyoming
13#mikhail linskens#c#7 - 0#270#freshman#west flanders , belgium
15#adam waddell#f / c#6 - 9#215#freshman#cody , wyoming
20#joseph taylor#f#6 - 8#210#senior#los angeles , california
21#tyson johnson#f#6 - 6#235#junior#long island , new york
23#brandon ewing#g#6 - 2#190#junior#chicago , illinois
24#marios matalon#g#6 - 1#185#freshman#thessaloniki , greece
31#eric platt#g - f#6 - 5#205#sophomore#casper , wyoming
32#travis nelson#c#6 - 11#235#sophomore#marion , iowa
45#bienvenu songondo#f#6 - 10#220#senior#bangui , central african republic
55#travis bunker#g / f#6 - 5#200#junior#beaver , utah
