election#leader# of seats won# of national votes#% of national vote# of prefectural votes#% of prefectural vote
1956#ichirō hatoyama#61#11356 , 874#39.7%#14353 , 960#48.4%
1959#nobusuke kishi#71#12120 , 598#41.2%#15667 , 022#52.0%
1962#hayato ikeda#69#16581 , 637#46.4%#17112 , 986#47.1%
1965#eisaku satō#71#17583 , 490#47.2%#16651 , 284#44.2%
1968#eisaku satō#69#20120 , 089#46.7%#19405 , 546#44.9%
1971#eisaku satō#62#17759 , 395#44.5%#17727 , 263#44.0%
1974#kakuei tanaka#62#23332 , 773#44.3%#21132 , 372#39.5%
1977#takeo fukuda#63#18160 , 061#35.8%#20440 , 157#39.5%
1980#masayoshi ōhira#69#23778 , 190#43.3%#24533 , 083#42.5%
1983#yasuhiro nakasone#68#16441 , 437#35.3%#19975 , 034#43.2%
1986#yasuhiro nakasone#72#22132 , 573#38.58%#26111 , 258#45.07%
1989#sōsuke uno#36#17466 , 406#30.70%#15343 , 455#27.32%
1992#kiichi miyazawa#68#20528 , 293#45.23%#14961 , 199#33.29%
1995#yōhei kōno#46#10557 , 547#25.40%#11096 , 972#27.29%
1998#keizō obuchi#44#17033 , 851#30.45%#14128 , 719#25.17%
2001#junichiro koizumi#64#22299 , 825#41.04%#21114 , 727#38.57%
2004#junichiro koizumi#49#16797 , 686#30.03%#19687 , 954#35.08%
2007#shinzō abe#37#16544 , 696#28.1%#18606 , 193#31.35%
2010#sadakazu tanigaki#51#14071 , 671#24.07%#19496 , 083#33.38%
2013#shinzō abe#65#18460 , 404#34.7%#22681 , 192#42.7%
