name#latitude#longitude#diameter (km)#year named
akkruva colles#46.1n#115.5e#1059.0#1985
asherat colles#12.0n#162.0e#500.0#2003
chernava colles#10.5s#335.5e#1000.0#1997
jurate colles#56.8n#153.5e#418.0#1985
marake colles#55.7n#217.8e#150.0#1997
mena colles#52.5s#160.0e#850.0#1994
migazesh colles#49.0s#198.0e#230.0#2000
molpe colles#76.0n#192.0e#548.0#1991
nahete colles#38.0n#241.0e#400.0#1997
nuliayoq colles#48.0n#224.0e#350.0#1997
olosa colles#18.0n#353.3e#200.0#1997
ran colles#1.0n#163.0e#400.0#2003
ruad colles#68.0s#118.0e#400.0#1997
salofa colles#63.0s#167.0e#250.0#1997
t'ien hu colles#30.7n#15.1e#947.0#1991
urutonga colles#10.0n#154.0e#500.0#2003
