period#team#player#penalty#time
1st#nyr#dan fritsche#interference#2:39
1st#met#vadim ermolayev#hooking#6:23
1st#nyr#markus näslund#holding#9:43
1st#nyr#paul mara#holding#16:19
2nd#met#evgeni biryukov#interference#26:27
2nd#nyr#petr průcha#holding#29:17
2nd#met#vadim ermolayev#hooking#31:48
2nd#nyr#markus näslund#hooking#32:17
2nd#nyr#wade redden#interference#34:09
2nd#met#alexei kaigorodov#hooking#39:25
2nd#met#nikolai zavarukhin#hooking#39:28
3rd#met#vitali atyushov#slashing#42:19
3rd#met#stanislav chistov#hooking#49:20
3rd#met#evgeni varlamov#tripping#50:50
3rd#nyr#ryan callahan#roughing#55:37
3rd#met#karel pilař#roughing#55:37
