round#pick#overall#name#position#college
1#10#10#jack jenkins#fb#vanderbilt
3#10#25#bill dutton#hb#pittsburgh
5#10#40#bob dove#de#notre dame
6#10#50#wally ziemba#c#notre dame
7#10#60#lou rymkus#ot#notre dame
8#10#70#tony leon#g#alabama
9#10#80#bob motl#e#northwestern
10#10#90#walt mcdonald#db#tulane
11#10#100#george perpich#ot#georgetown
12#10#110#dan wood#c#mississippi
13#10#120#harry wright#g#notre dame
14#10#130#oscar britt#g#mississippi
15#10#140#dick weber#g#syracuse
16#10#150#joe day#rb#oregon state
17#10#160#frank dornfield#rb#georgetown
18#10#170#john baklarz#ot#arizona state
19#10#180#leo mogus#e#youngstown state
20#10#190#dick secrest#rb#rochester
21#10#200#don nolander#c#minnesota
22#10#210#johnny barrett#rb#georgetown
23#10#220#tom vohs#ot#colgate
24#10#230#charlie yancey#rb#mississippi state
25#10#240#roman bentz#g#tulane
26#10#250#swifty berthold#e#syracuse
27#10#260#vince pacewic#hb#loyola
28#10#270#joe riccardi#ot#ohio
29#10#280#john jaffurs#g#penn state
30#10#290#frank akins#fb#washington state
31#5#295#bill corry#rb#florida
32#5#300#bo bogovich#g#delaware
