tie no#home team#score#away team#date
1#sutton united#1 - 1#middlesbrough#9 january 1988
replay#middlesbrough#1 - 0#sutton united#12 january 1988
2#watford#1 - 1#hull city#9 january 1988
replay#hull city#2 - 2#watford#12 january 1988
replay#watford#1 - 0#hull city#18 january 1988
3#yeovil town#0 - 3#queens park rangers#9 january 1988
4#reading#0 - 1#southampton#9 january 1988
5#gillingham#0 - 3#birmingham city#9 january 1988
6#blackburn rovers#1 - 2#portsmouth#9 january 1988
7#sheffield wednesday#1 - 1#everton#9 january 1988
replay#everton#1 - 1#sheffield wednesday#13 january 1988
replay#everton#1 - 1#sheffield wednesday#25 january 1988
replay#sheffield wednesday#0 - 5#everton#27 january 1988
8#derby county#1 - 3#chelsea#9 january 1988
9#swindon town#0 - 0#norwich city#9 january 1988
replay#norwich city#0 - 2#swindon town#13 january 1988
10#shrewsbury town#2 - 1#bristol rovers#9 january 1988
11#sheffield united#1 - 0#maidstone united#9 january 1988
12#ipswich town#1 - 2#manchester united#10 january 1988
13#stockport county#1 - 2#leyton orient#9 january 1988
14#newcastle united#1 - 0#crystal palace#9 january 1988
15#barnsley#3 - 1#bolton wanderers#9 january 1988
16#coventry city#2 - 0#torquay united#9 january 1988
17#west ham united#2 - 0#charlton athletic#9 january 1988
18#brighton & hove albion#2 - 0#bournemouth#9 january 1988
19#plymouth argyle#2 - 0#colchester united#11 january 1988
20#bradford city#2 - 1#wolverhampton wanderers#9 january 1988
21#oldham athletic#2 - 4#tottenham hotspur#9 january 1988
22#wimbledon#4 - 1#west bromwich albion#9 january 1988
23#scunthorpe united#0 - 0#blackpool#9 january 1988
replay#blackpool#1 - 0#scunthorpe united#12 january 1988
24#huddersfield town#2 - 2#manchester city#9 january 1988
replay#manchester city#0 - 0#huddersfield town#12 january 1988
replay#huddersfield town#0 - 3#manchester city#25 january 1988
25#mansfield town#4 - 0#bath city#9 january 1988
26#port vale#1 - 0#macclesfield town#10 january 1988
27#halifax town#0 - 4#nottingham forest#9 january 1988
28#arsenal#2 - 0#millwall#9 january 1988
29#leeds united#1 - 2#aston villa#9 january 1988
30#stoke city#0 - 0#liverpool#9 january 1988
replay#liverpool#1 - 0#stoke city#12 january 1988
31#oxford united#2 - 0#leicester city#9 january 1988
32#hartlepool united#1 - 2#luton town#9 january 1988
